User ID: 28404-21206

Trial                  Virus                             Units
---------------------------------------------------------------
001                  URL-32968                              5
002                  BTN-83953                            104
003                  PHE-99329                             47
004                  CDC-36833                             67
005                  ANR-65636                             73
006                  PZV-75529                             57
007                  NHP-43928                             78
008                  JVL-65247                             11
009                  GZN-34688                             36
010                  LZL-53762                             29
011                  PHE-99329                            127
012                  EFG-46945                            135
013                  URL-32968                             75
014                  TNG-52497                            146
015                  WQB-83823                            176
016                  KQA-89952                             80
017                  ANR-65636                            170
018                  GZN-34688                            183
019                  PHE-99329                             52
020                  LWR-78574                            172
021                  TLT-23593                            149
022                  KQA-89952                             53
023                  BMN-57337                             40
024                  HKZ-33728                            121
025                  KDV-97563                             54
026                  VXR-68924                            194
027                  RGZ-73449                             99
028                  WBB-69295                            182
029                  BTG-65524                            120
030                  QBZ-39849                            153
031                  LNC-68448                             28
032                  GMS-89977                             25
033                  ZKV-31415                            129
034                  NMA-58554                             58
035                  HVE-32966                             96
036                  SPN-64546                            189
037                  WQB-83823                            133
038                  DHY-22445                             30
039                  HVX-35287                             95
040                  SPN-64546                            154
041                  NWL-28282                            158
042                  ANR-65636                             84
043                  BMN-57337                            162
044                  FYK-67999                            116
045                  LZL-53762                            177
046                  NHP-43928                            185
047                  NXD-76943                             32
048                  TXF-47848                            119
049                  HZF-45469                            155
050                  ZPF-96697                            191
051                  YBD-67688                             65
052                  TXF-47848                            157
053                  WMD-65834                            110
054                  ZPF-96697                             87
055                  XJQ-35789                            136
056                  HNB-76282                             31
057                  NXD-76943                             37
058                  TNX-51117                            123
059                  YXL-38878                            106
060                  ZKV-31415                             13
061                  TRM-27792                             86
062                  BCU-27839                             89
063                  PQJ-67335                            180
064                  FYK-67999                             21
065                  NXD-76943                             34
066                  FNL-93857                            195
067                  PZV-75529                            164
068                  NMA-58554                            141
069                  ZXB-54692                             92
070                  LWR-78574                            163
071                  AAV-93236                            139
072                  JVL-65247                            103
073                  AJA-56777                            109
074                  NWL-28282                             19
075                  EPX-87469                            130
076                  ANR-65636                            186
077                  HCY-32686                              2
078                  KQA-89952                             44
079                  YBD-67688                             66
080                  GMS-89977                            199
081                  LNC-68448                            187
082                  RGZ-73449                            159
083                  GZN-34688                            112
084                  AAV-93236                            192
085                  LZL-53762                            200
086                  HNB-76282                            196
087                  FNL-93857                            122
088                  RLT-57887                             62
089                  TNA-63396                             72
090                  HVX-35287                             55
091                  CCG-95482                            169
092                  LNC-68448                            128
093                  VWM-74278                            114
094                  PQJ-67335                             48
095                  FNL-93857                            151
096                  ZXB-54692                            132
097                  CDC-36833                             91
098                  HNB-76282                             68
099                  VJN-37687                             33
100                  YMA-56284                             15
