User ID: 52930-30854

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EPX-87469                            107
002                  VXR-68924                            190
003                  YBD-67688                            176
004                  PNF-53949                             28
005                  XJQ-35789                            165
006                  XJQ-35789                            108
007                  WBB-69295                            142
008                  HVX-35287                            100
009                  AAV-93236                             55
010                  TLT-23593                            150
011                  YXL-38878                             26
012                  KMP-52243                            164
013                  PWT-38779                            114
014                  JPJ-26459                             17
015                  NWL-28282                            195
016                  CDC-36833                            130
017                  KMP-52243                            158
018                  NWL-28282                            136
019                  WMD-65834                             66
020                  DAU-26394                            148
021                  RLT-57887                            200
022                  FNR-28782                             38
023                  PHE-99329                             10
024                  BMN-57337                             16
025                  FNL-93857                             85
026                  URL-32968                             27
027                  GMS-89977                            133
028                  GUJ-74444                            102
029                  PNF-53949                            174
030                  ZXB-54692                            147
031                  LNC-68448                            141
032                  LNC-68448                            184
033                  GMS-89977                             11
034                  NXD-76943                             68
035                  NHP-43928                            119
036                  TQC-49936                            162
037                  YBD-67688                            156
038                  FNR-28782                             14
039                  YBD-67688                            128
040                  YXL-38878                             60
041                  VXR-68924                             34
042                  LWR-78574                             93
043                  KLA-57296                             21
044                  PWT-38779                             35
045                  LWR-78574                            193
046                  JYL-79355                             23
047                  NHP-43928                            175
048                  RGZ-73449                            170
049                  LZL-53762                            178
050                  NXD-76943                             79
051                  JPJ-26459                            120
052                  ZXB-54692                             80
053                  RGZ-73449                             52
054                  TQC-49936                             45
055                  BTN-83953                              3
056                  GMS-89977                            122
057                  RLT-57887                             37
058                  NVE-67597                             77
059                  DAU-26394                            117
060                  TRM-27792                            132
061                  GBK-45859                             69
062                  HVX-35287                             94
063                  RGZ-73449                             15
064                  TNX-51117                             53
065                  TXF-47848                             25
066                  HVX-35287                            189
067                  HNB-76282                             67
068                  GBK-45859                            157
069                  AAV-93236                             43
070                  KQA-89952                             82
071                  HKZ-33728                             18
072                  ZXB-54692                             48
073                  NMA-58554                             84
074                  ANR-65636                              7
075                  TXF-47848                            173
076                  QBD-79865                             72
077                  RLT-57887                             32
078                  SZA-87265                             41
079                  HCY-32686                            127
080                  WQM-46249                            160
081                  KMP-52243                            125
082                  SZA-87265                             96
083                  CQS-93978                             83
084                  CPU-63784                            154
085                  ANR-65636                            113
086                  KMP-52243                             50
087                  YLW-92835                             40
088                  FNL-93857                            191
089                  XRT-73276                            153
090                  DHY-22445                             99
091                  ZKV-31415                            177
092                  KDV-97563                            103
093                  PQJ-67335                             89
094                  RLT-57887                             73
095                  CCG-95482                            192
096                  YXL-38878                            183
097                  DAU-26394                             62
098                  VWM-74278                            144
099                  KMP-52243                            149
100                  DHY-22445                            188
