User ID: 80997-59183

Trial                  Virus                             Units
---------------------------------------------------------------
001                  SZA-87265                            161
002                  QBD-79865                            121
003                  AJA-56777                            148
004                  PHE-99329                            163
005                  LWR-78574                              3
006                  VJN-37687                            167
007                  KQA-89952                             17
008                  ANR-65636                            113
009                  ZPF-96697                             20
010                  PNF-53949                            133
011                  ANR-65636                             12
012                  KDV-97563                            116
013                  VJN-37687                            100
014                  XKG-42573                             55
015                  DHY-22445                             38
016                  YXL-38878                             53
017                  RGZ-73449                            107
018                  GMS-89977                             29
019                  PQJ-67335                            134
020                  NVE-67597                             90
021                  TRM-27792                            164
022                  CQS-93978                             66
023                  NHP-43928                            192
024                  VXR-68924                             59
025                  URL-32968                            143
026                  PHE-99329                             71
027                  EPX-87469                             84
028                  HCY-32686                             36
029                  ZHA-83572                              5
030                  AJA-56777                             45
031                  TNG-52497                             97
032                  QBZ-39849                            190
033                  AJA-56777                            154
034                  FNL-93857                            135
035                  KQA-89952                            189
036                  NVE-67597                             50
037                  DAU-26394                             78
038                  GZN-34688                             31
039                  URL-32968                             75
040                  HCY-32686                              8
041                  HCY-32686                             43
042                  BTN-83953                            172
043                  YLW-92835                            175
044                  TLT-23593                            118
045                  URL-32968                             13
046                  KQA-89952                             85
047                  TNA-63396                             95
048                  XRT-73276                             40
049                  SPN-64546                            153
050                  GBK-45859                             87
051                  TLT-23593                            198
052                  KMP-52243                             22
053                  GUJ-74444                            101
054                  KDV-97563                             94
055                  YXL-38878                             57
056                  VJN-37687                             54
057                  CPU-63784                             83
058                  KWH-94256                             58
059                  TNX-51117                            159
060                  TNG-52497                            128
061                  LZL-53762                            110
062                  AJA-56777                            104
063                  JYL-79355                             24
064                  WMD-65834                            187
065                  LNC-68448                            103
066                  BMN-57337                            158
067                  GBK-45859                            182
068                  CCG-95482                             73
069                  HNB-76282                            137
070                  FYK-67999                            186
071                  PWT-38779                            114
072                  BTN-83953                             80
073                  SZA-87265                             72
074                  XJQ-35789                            194
075                  SPN-64546                             30
076                  SPN-64546                             51
077                  DAU-26394                             14
078                  WQB-83823                             64
079                  QBD-79865                             76
080                  XRT-73276                             28
081                  KDV-97563                             46
082                  RGZ-73449                            146
083                  PHE-99329                            150
084                  EPX-87469                            122
085                  BTN-83953                             16
086                  FNR-28782                             69
087                  SPN-64546                             61
088                  FTD-84699                            120
089                  JPJ-26459                            111
090                  VXR-68924                            147
091                  HNB-76282                            102
092                  HNB-76282                            106
093                  AAV-93236                            115
094                  TXF-47848                            183
095                  CCG-95482                             93
096                  PZV-75529                            168
097                  NHP-43928                            145
098                  TNG-52497                             96
099                  TQC-49936                            174
100                  VJN-37687                            105
