User ID: 01524-65380

Trial                  Virus                             Units
---------------------------------------------------------------
001                  RLT-57887                            173
002                  QBZ-39849                             41
003                  SPN-64546                             51
004                  JYL-79355                            195
005                  HCY-32686                            194
006                  FNR-28782                             75
007                  DHY-22445                            159
008                  LWR-78574                            107
009                  QBD-79865                             79
010                  PHE-99329                            148
011                  HVE-32966                            153
012                  AJA-56777                            111
013                  PQJ-67335                             56
014                  DAU-26394                            136
015                  NHP-43928                             96
016                  XKG-42573                            178
017                  FNR-28782                             57
018                  SZA-87265                            143
019                  EFG-46945                            122
020                  JYL-79355                             61
021                  NXD-76943                             14
022                  TLT-23593                            150
023                  YXL-38878                            131
024                  JVL-65247                             73
025                  LNC-68448                             62
026                  QBD-79865                             26
027                  AJA-56777                            138
028                  LZL-53762                             59
029                  QBD-79865                            105
030                  QBD-79865                            144
031                  TLT-23593                            185
032                  NWL-28282                            183
033                  JPJ-26459                            162
034                  FNL-93857                             53
035                  GBK-45859                            137
036                  TNA-63396                             64
037                  ZPF-96697                            163
038                  HZF-45469                            116
039                  HKZ-33728                             29
040                  KDV-97563                             52
041                  QBD-79865                            151
042                  GUJ-74444                             21
043                  BTN-83953                             91
044                  HCY-32686                            180
045                  ZKV-31415                             77
046                  PWT-38779                              7
047                  HVX-35287                            141
048                  BTN-83953                             92
049                  WQB-83823                              1
050                  GZN-34688                            133
051                  XJQ-35789                             31
052                  QBZ-39849                             93
053                  VWM-74278                            157
054                  ZXB-54692                             65
055                  ZHA-83572                            161
056                  WBB-69295                              4
057                  JYL-79355                             35
058                  WQB-83823                            114
059                  HCY-32686                             12
060                  YLW-92835                             11
061                  QBD-79865                            187
062                  ZPF-96697                             25
063                  CQS-93978                            109
064                  FNL-93857                             18
065                  LZL-53762                            125
066                  GMS-89977                             63
067                  TNX-51117                            120
068                  ZKV-31415                            181
069                  SZA-87265                            147
070                  FNL-93857                             47
071                  HCY-32686                             32
072                  FYK-67999                             76
073                  XRT-73276                            170
074                  SPN-64546                             68
075                  VWM-74278                             50
076                  YLW-92835                            121
077                  BMN-57337                            101
078                  YXL-38878                              9
079                  AAV-93236                             19
080                  YBD-67688                             28
081                  SPN-64546                             85
082                  YMA-56284                             84
083                  JYL-79355                             48
084                  HKZ-33728                             34
085                  XJQ-35789                            176
086                  HKZ-33728                            106
087                  EFG-46945                            158
088                  FTD-84699                            145
089                  KMP-52243                            166
090                  LNC-68448                            127
091                  ZPF-96697                             78
092                  GMS-89977                            197
093                  CDC-36833                            135
094                  FNL-93857                              2
095                  JPJ-26459                              8
096                  RLT-57887                             43
097                  HVE-32966                            169
098                  JYL-79355                            167
099                  VXR-68924                            196
100                  NXD-76943                             15
