User ID: 26985-90240

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WQB-83823                             73
002                  BTN-83953                            190
003                  YXL-38878                            120
004                  VJN-37687                            199
005                  PWT-38779                            161
006                  WBB-69295                            171
007                  XJQ-35789                             10
008                  EFG-46945                            102
009                  CDC-36833                            128
010                  TRM-27792                            183
011                  FNL-93857                            113
012                  AJA-56777                            126
013                  SPN-64546                             83
014                  ZHA-83572                              9
015                  CCG-95482                             65
016                  CDC-36833                            160
017                  LZL-53762                              7
018                  YXL-38878                             81
019                  DHY-22445                            181
020                  CCG-95482                            198
021                  VJN-37687                            119
022                  JYL-79355                             99
023                  FYK-67999                            114
024                  LWR-78574                             80
025                  CDC-36833                             98
026                  SPN-64546                            185
027                  QBD-79865                              4
028                  GBK-45859                             32
029                  CCG-95482                            159
030                  LWR-78574                            192
031                  FNL-93857                            137
032                  NXD-76943                             53
033                  BTG-65524                            105
034                  GMS-89977                            200
035                  PHE-99329                              1
036                  VJN-37687                             37
037                  XBC-95594                            148
038                  YBD-67688                             82
039                  TRM-27792                             61
040                  CCG-95482                             36
041                  CQS-93978                             58
042                  KLA-57296                            177
043                  WBB-69295                            134
044                  ZKV-31415                             72
045                  XJQ-35789                             18
046                  WBB-69295                             70
047                  LWR-78574                             67
048                  CDC-36833                            175
049                  VXR-68924                             50
050                  KQA-89952                             90
051                  QBD-79865                            194
052                  YXL-38878                            174
053                  XRT-73276                             11
054                  VWM-74278                             13
055                  HZF-45469                            182
056                  NXD-76943                            125
057                  VJN-37687                            109
058                  NWL-28282                             87
059                  TNA-63396                            110
060                  HZF-45469                             54
061                  QBD-79865                             44
062                  PWT-38779                             47
063                  YXL-38878                            124
064                  ZXB-54692                            158
065                  FNL-93857                            136
066                  DHY-22445                             41
067                  ZPF-96697                            122
068                  YMA-56284                            170
069                  GBK-45859                             75
070                  PNF-53949                             31
071                  KDV-97563                              2
072                  PQJ-67335                            168
073                  NMA-58554                            186
074                  BCU-27839                            167
075                  EFG-46945                             27
076                  FNL-93857                             84
077                  XRT-73276                             63
078                  AJA-56777                             28
079                  NVE-67597                             51
080                  NMA-58554                            116
081                  FNL-93857                            166
082                  WQB-83823                             89
083                  TRM-27792                            100
084                  VWM-74278                             74
085                  PNF-53949                            139
086                  TQC-49936                            111
087                  TLT-23593                            179
088                  PQJ-67335                             76
089                  ZXB-54692                            130
090                  JPJ-26459                            187
091                  BMN-57337                             56
092                  GBK-45859                            123
093                  BTN-83953                             60
094                  WQB-83823                             92
095                  QBD-79865                             49
096                  GUJ-74444                             55
097                  ZPF-96697                             12
098                  NHP-43928                            169
099                  EFG-46945                            149
100                  WQM-46249                             62
