User ID: 52403-12854

Trial                  Virus                             Units
---------------------------------------------------------------
001                  LWR-78574                            150
002                  GZN-34688                             37
003                  BTN-83953                             23
004                  BTG-65524                            134
005                  VJN-37687                            126
006                  TRM-27792                            195
007                  BTG-65524                            106
008                  BMN-57337                            157
009                  PZV-75529                            166
010                  XJQ-35789                             18
011                  QBZ-39849                            196
012                  HVE-32966                            178
013                  CDC-36833                            116
014                  HKZ-33728                            132
015                  HNB-76282                             84
016                  QBZ-39849                            133
017                  JPJ-26459                            191
018                  CQS-93978                            118
019                  PQJ-67335                              2
020                  CPU-63784                              3
021                  FNR-28782                            190
022                  WQB-83823                            107
023                  ZPF-96697                             46
024                  DAU-26394                             28
025                  ZKV-31415                            189
026                  HNB-76282                            177
027                  KQA-89952                             24
028                  WQB-83823                             39
029                  BTG-65524                            101
030                  LZL-53762                             86
031                  PHE-99329                            136
032                  CQS-93978                             79
033                  BMN-57337                             15
034                  HNB-76282                            123
035                  HKZ-33728                            194
036                  SPN-64546                            141
037                  FNR-28782                              6
038                  URL-32968                            158
039                  CPU-63784                            160
040                  TNG-52497                            187
041                  TNA-63396                             68
042                  YLW-92835                            128
043                  GBK-45859                             35
044                  WQB-83823                             54
045                  KLA-57296                            105
046                  HCY-32686                             95
047                  AJA-56777                             20
048                  TRM-27792                            147
049                  NVE-67597                            186
050                  NHP-43928                             10
051                  ZHA-83572                            184
052                  LNC-68448                             82
053                  FYK-67999                            185
054                  DHY-22445                             21
055                  VXR-68924                            154
056                  PHE-99329                            111
057                  GZN-34688                            108
058                  HKZ-33728                            183
059                  GUJ-74444                            112
060                  ZPF-96697                            192
061                  CDC-36833                             12
062                  GMS-89977                              5
063                  ZHA-83572                             31
064                  TNX-51117                            176
065                  WQB-83823                             41
066                  HVE-32966                             77
067                  ANR-65636                             85
068                  PZV-75529                             65
069                  PQJ-67335                             17
070                  URL-32968                             44
071                  SPN-64546                            120
072                  DHY-22445                            149
073                  TRM-27792                             45
074                  HKZ-33728                             72
075                  XBC-95594                            198
076                  ZPF-96697                             66
077                  SPN-64546                            153
078                  ZKV-31415                            113
079                  ANR-65636                             36
080                  VWM-74278                             61
081                  VXR-68924                             26
082                  EFG-46945                            168
083                  DHY-22445                             69
084                  XKG-42573                             51
085                  KDV-97563                             97
086                  XRT-73276                             57
087                  XRT-73276                            100
088                  SPN-64546                            129
089                  HKZ-33728                            180
090                  PNF-53949                            197
091                  QBD-79865                            115
092                  HVE-32966                            148
093                  KLA-57296                            167
094                  QBZ-39849                            110
095                  ANR-65636                            155
096                  PZV-75529                             16
097                  YBD-67688                             62
098                  TNG-52497                            135
099                  JYL-79355                            139
100                  PHE-99329                            181
