User ID: 03335-55237

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CPU-63784                            149
002                  VJN-37687                             67
003                  VXR-68924                            155
004                  TNA-63396                             59
005                  HKZ-33728                             36
006                  KWH-94256                             42
007                  KLA-57296                            159
008                  JYL-79355                             38
009                  TNX-51117                            182
010                  GBK-45859                            107
011                  HCY-32686                             15
012                  BTG-65524                             86
013                  YMA-56284                             71
014                  YMA-56284                             43
015                  TNA-63396                             70
016                  TNG-52497                            121
017                  KQA-89952                            133
018                  PZV-75529                             61
019                  TNG-52497                            184
020                  CQS-93978                             85
021                  PWT-38779                             90
022                  YXL-38878                             55
023                  NHP-43928                            165
024                  BMN-57337                             51
025                  TNA-63396                            179
026                  ZKV-31415                            180
027                  QBZ-39849                              9
028                  LNC-68448                             79
029                  FNL-93857                            136
030                  PNF-53949                            152
031                  GZN-34688                             49
032                  HNB-76282                            163
033                  JVL-65247                             93
034                  LZL-53762                            173
035                  HNB-76282                            118
036                  CQS-93978                            200
037                  KWH-94256                            100
038                  BTG-65524                             68
039                  HZF-45469                             62
040                  KWH-94256                            130
041                  ZHA-83572                            171
042                  KWH-94256                            190
043                  QBD-79865                            199
044                  PQJ-67335                            129
045                  VJN-37687                            141
046                  EFG-46945                            174
047                  JPJ-26459                            127
048                  TXF-47848                             80
049                  GUJ-74444                            144
050                  XBC-95594                            164
051                  HZF-45469                             20
052                  HVE-32966                             91
053                  RLT-57887                             74
054                  BCU-27839                            175
055                  YLW-92835                             13
056                  JVL-65247                             99
057                  XBC-95594                            166
058                  JPJ-26459                            186
059                  ANR-65636                             75
060                  URL-32968                             44
061                  VXR-68924                            134
062                  TNG-52497                            104
063                  HZF-45469                             35
064                  KLA-57296                            143
065                  AAV-93236                             46
066                  SZA-87265                             40
067                  FTD-84699                             65
068                  CQS-93978                            109
069                  URL-32968                              8
070                  FTD-84699                            113
071                  TNA-63396                             16
072                  QBD-79865                             97
073                  YMA-56284                            148
074                  HKZ-33728                             96
075                  BTN-83953                            138
076                  KWH-94256                            181
077                  TQC-49936                              2
078                  URL-32968                            131
079                  HKZ-33728                             82
080                  QBZ-39849                            147
081                  ZXB-54692                             31
082                  VJN-37687                             19
083                  LWR-78574                             73
084                  URL-32968                             27
085                  JYL-79355                             58
086                  PNF-53949                             81
087                  XJQ-35789                            183
088                  FTD-84699                            111
089                  ZXB-54692                             34
090                  TQC-49936                            102
091                  XKG-42573                              1
092                  JPJ-26459                            103
093                  XJQ-35789                             48
094                  GUJ-74444                            194
095                  KWH-94256                             10
096                  FYK-67999                            135
097                  ZHA-83572                            124
098                  TNX-51117                             53
099                  EPX-87469                            142
100                  XKG-42573                            193
