User ID: 70615-99374

Trial                  Virus                             Units
---------------------------------------------------------------
001                  SPN-64546                            146
002                  HVE-32966                            192
003                  FYK-67999                             39
004                  NWL-28282                             16
005                  YBD-67688                             42
006                  KDV-97563                            170
007                  GZN-34688                            142
008                  YBD-67688                            154
009                  GUJ-74444                             83
010                  ZKV-31415                             99
011                  EFG-46945                            123
012                  CDC-36833                             10
013                  LWR-78574                            166
014                  EPX-87469                             85
015                  JPJ-26459                            171
016                  KWH-94256                             66
017                  TLT-23593                             46
018                  LNC-68448                            184
019                  TQC-49936                            135
020                  PZV-75529                            153
021                  CQS-93978                            199
022                  AJA-56777                             56
023                  XKG-42573                             86
024                  XKG-42573                            115
025                  KLA-57296                             26
026                  NHP-43928                            168
027                  XRT-73276                            116
028                  BTN-83953                             19
029                  VJN-37687                            165
030                  NXD-76943                             34
031                  DHY-22445                             70
032                  JYL-79355                            162
033                  KWH-94256                            190
034                  ANR-65636                            197
035                  YXL-38878                             63
036                  HVX-35287                              8
037                  GMS-89977                            157
038                  BTN-83953                             57
039                  VWM-74278                            172
040                  TLT-23593                            112
041                  CCG-95482                            136
042                  WQM-46249                             78
043                  HNB-76282                             58
044                  PQJ-67335                            178
045                  HVE-32966                            125
046                  JVL-65247                            155
047                  QBZ-39849                             61
048                  PHE-99329                             74
049                  CCG-95482                            138
050                  QBZ-39849                             89
051                  TLT-23593                            167
052                  SZA-87265                             51
053                  XRT-73276                             95
054                  NVE-67597                             80
055                  VJN-37687                             24
056                  BTN-83953                              9
057                  GMS-89977                             76
058                  NVE-67597                            106
059                  WBB-69295                             87
060                  BCU-27839                              6
061                  QBZ-39849                            105
062                  BTN-83953                            143
063                  FTD-84699                            100
064                  ZPF-96697                            117
065                  HZF-45469                            169
066                  TQC-49936                            128
067                  JYL-79355                             52
068                  TRM-27792                             29
069                  WBB-69295                             69
070                  ZPF-96697                             93
071                  YXL-38878                             35
072                  TNG-52497                             91
073                  BTG-65524                            149
074                  NWL-28282                             41
075                  PWT-38779                             45
076                  YBD-67688                             71
077                  LWR-78574                             31
078                  JYL-79355                            131
079                  QBZ-39849                            139
080                  PZV-75529                            152
081                  EFG-46945                             64
082                  URL-32968                            196
083                  BTG-65524                            163
084                  BTN-83953                             50
085                  PWT-38779                            186
086                  GMS-89977                             55
087                  YMA-56284                            161
088                  TNX-51117                            179
089                  SZA-87265                             38
090                  NWL-28282                             65
091                  NMA-58554                             75
092                  ZPF-96697                             32
093                  GMS-89977                            150
094                  PQJ-67335                             92
095                  KLA-57296                            132
096                  GUJ-74444                            194
097                  CPU-63784                             62
098                  URL-32968                             28
099                  VXR-68924                             59
100                  GMS-89977                             77
