User ID: 30768-54860

Trial                  Virus                             Units
---------------------------------------------------------------
001                  YBD-67688                             42
002                  SPN-64546                             85
003                  HKZ-33728                            180
004                  TXF-47848                            124
005                  SPN-64546                            113
006                  HVE-32966                             35
007                  WQB-83823                            185
008                  NWL-28282                            144
009                  YXL-38878                            165
010                  QBD-79865                            175
011                  KMP-52243                             33
012                  SZA-87265                             96
013                  QBZ-39849                             88
014                  TNA-63396                             12
015                  YXL-38878                             55
016                  JYL-79355                             30
017                  ZKV-31415                            151
018                  SZA-87265                             51
019                  KLA-57296                            157
020                  BTN-83953                             82
021                  EFG-46945                            117
022                  WBB-69295                            184
023                  EFG-46945                            146
024                  HCY-32686                            112
025                  VWM-74278                             53
026                  HVE-32966                            155
027                  NHP-43928                              2
028                  TQC-49936                             84
029                  TNG-52497                            147
030                  KQA-89952                            107
031                  KWH-94256                             81
032                  CQS-93978                             37
033                  ANR-65636                             46
034                  RGZ-73449                             90
035                  LWR-78574                            173
036                  YXL-38878                            199
037                  TNX-51117                            127
038                  NHP-43928                             10
039                  TQC-49936                             21
040                  QBD-79865                            176
041                  ZKV-31415                            167
042                  GBK-45859                             27
043                  HKZ-33728                             49
044                  DHY-22445                            163
045                  JYL-79355                             69
046                  GZN-34688                             92
047                  PQJ-67335                            182
048                  ZKV-31415                             80
049                  HZF-45469                            174
050                  SPN-64546                             17
051                  LZL-53762                            114
052                  YMA-56284                            106
053                  KQA-89952                            116
054                  BTG-65524                              8
055                  NHP-43928                             43
056                  YLW-92835                            105
057                  TLT-23593                            183
058                  HVE-32966                            156
059                  HCY-32686                              1
060                  HVX-35287                             75
061                  NWL-28282                             74
062                  NXD-76943                             70
063                  CPU-63784                            111
064                  TNX-51117                            121
065                  URL-32968                             91
066                  NWL-28282                             52
067                  QBZ-39849                            104
068                  ZXB-54692                              6
069                  NMA-58554                             44
070                  QBZ-39849                            196
071                  AAV-93236                             71
072                  FYK-67999                            198
073                  DAU-26394                            142
074                  CCG-95482                            128
075                  TNG-52497                            131
076                  WQM-46249                            194
077                  BCU-27839                            143
078                  RGZ-73449                             68
079                  KDV-97563                            158
080                  VXR-68924                             87
081                  TLT-23593                            150
082                  XJQ-35789                            172
083                  GZN-34688                            110
084                  PHE-99329                             67
085                  TNX-51117                            195
086                  LWR-78574                             59
087                  ANR-65636                              5
088                  FNL-93857                             78
089                  ZKV-31415                             13
090                  PZV-75529                            154
091                  BTN-83953                             66
092                  GUJ-74444                             98
093                  WMD-65834                             15
094                  HZF-45469                            108
095                  TNX-51117                            140
096                  SPN-64546                            138
097                  QBZ-39849                            168
098                  TQC-49936                            193
099                  NVE-67597                             83
100                  HZF-45469                             97
