User ID: 60571-51326

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PHE-99329                             35
002                  WBB-69295                             14
003                  PWT-38779                            187
004                  TNA-63396                            110
005                  SZA-87265                            149
006                  QBD-79865                             47
007                  AAV-93236                             37
008                  XKG-42573                            155
009                  HVE-32966                              4
010                  GMS-89977                            170
011                  JPJ-26459                            179
012                  HZF-45469                            102
013                  BTN-83953                            163
014                  HKZ-33728                            168
015                  PWT-38779                             92
016                  NMA-58554                            135
017                  VWM-74278                             78
018                  EPX-87469                            117
019                  NMA-58554                             99
020                  PWT-38779                             15
021                  TLT-23593                             19
022                  HNB-76282                            192
023                  PWT-38779                             85
024                  QBZ-39849                            145
025                  HCY-32686                            118
026                  AAV-93236                            180
027                  TNA-63396                              1
028                  QBZ-39849                            139
029                  RLT-57887                            150
030                  GUJ-74444                             95
031                  PHE-99329                            126
032                  SPN-64546                            147
033                  NMA-58554                             98
034                  CCG-95482                             62
035                  LWR-78574                            171
036                  TLT-23593                             59
037                  JYL-79355                             11
038                  NWL-28282                             43
039                  XRT-73276                              9
040                  KMP-52243                            129
041                  LWR-78574                            186
042                  NVE-67597                            136
043                  AJA-56777                              8
044                  VWM-74278                             54
045                  VJN-37687                             93
046                  JVL-65247                            199
047                  TXF-47848                             61
048                  HNB-76282                            156
049                  FNR-28782                            107
050                  DAU-26394                            122
051                  ZHA-83572                             69
052                  WQM-46249                            125
053                  KQA-89952                            196
054                  HZF-45469                             74
055                  HVE-32966                            172
056                  CPU-63784                             51
057                  BCU-27839                            121
058                  TNG-52497                             71
059                  FNR-28782                             38
060                  BTN-83953                            146
061                  TQC-49936                            178
062                  YLW-92835                             82
063                  HVE-32966                             56
064                  ZKV-31415                            157
065                  HKZ-33728                            152
066                  WMD-65834                            154
067                  JPJ-26459                            190
068                  XRT-73276                            108
069                  LWR-78574                            175
070                  CPU-63784                             70
071                  DAU-26394                            176
072                  CPU-63784                             97
073                  CPU-63784                            141
074                  AAV-93236                            105
075                  TNA-63396                             36
076                  PWT-38779                             31
077                  LNC-68448                            197
078                  DAU-26394                             12
079                  HVE-32966                             53
080                  ZXB-54692                            127
081                  BMN-57337                            120
082                  TNX-51117                            112
083                  WQM-46249                              7
084                  EFG-46945                             44
085                  AJA-56777                             20
086                  DAU-26394                            113
087                  PWT-38779                              6
088                  FYK-67999                             67
089                  RLT-57887                             86
090                  TRM-27792                             29
091                  SPN-64546                            184
092                  QBD-79865                            115
093                  LWR-78574                             24
094                  NXD-76943                            132
095                  FYK-67999                             55
096                  XJQ-35789                            100
097                  CQS-93978                              2
098                  LZL-53762                             75
099                  YXL-38878                             39
100                  VXR-68924                            158
