User ID: 75471-28954

Trial                  Virus                             Units
---------------------------------------------------------------
001                  XKG-42573                            139
002                  NVE-67597                            145
003                  GBK-45859                            173
004                  VJN-37687                            146
005                  CQS-93978                            182
006                  CDC-36833                             44
007                  DHY-22445                             26
008                  KQA-89952                            144
009                  CQS-93978                             87
010                  YMA-56284                             71
011                  LZL-53762                            136
012                  QBD-79865                            162
013                  LNC-68448                            120
014                  WQM-46249                            143
015                  HZF-45469                            150
016                  CQS-93978                             35
017                  AJA-56777                            108
018                  GZN-34688                             38
019                  NVE-67597                            149
020                  PNF-53949                            121
021                  DHY-22445                            165
022                  HKZ-33728                            115
023                  JYL-79355                            106
024                  SPN-64546                            194
025                  TNX-51117                             83
026                  NMA-58554                             91
027                  WMD-65834                             85
028                  QBZ-39849                             40
029                  GZN-34688                             33
030                  EPX-87469                             24
031                  URL-32968                            127
032                  XJQ-35789                             49
033                  KMP-52243                             12
034                  NXD-76943                            167
035                  URL-32968                            199
036                  AJA-56777                             42
037                  HZF-45469                              5
038                  KMP-52243                            142
039                  GMS-89977                            174
040                  VWM-74278                            112
041                  NWL-28282                            118
042                  CPU-63784                             60
043                  PNF-53949                            133
044                  URL-32968                            102
045                  GZN-34688                            177
046                  JVL-65247                             80
047                  ANR-65636                              7
048                  CPU-63784                            187
049                  TNX-51117                            196
050                  ANR-65636                            184
051                  VWM-74278                            155
052                  GUJ-74444                            195
053                  VWM-74278                             19
054                  JPJ-26459                             70
055                  SPN-64546                            185
056                  ZHA-83572                            152
057                  CQS-93978                            172
058                  XJQ-35789                            116
059                  FYK-67999                             23
060                  TQC-49936                            114
061                  ZXB-54692                            160
062                  PWT-38779                             31
063                  RLT-57887                             98
064                  LWR-78574                             88
065                  QBZ-39849                            180
066                  XJQ-35789                             75
067                  FNR-28782                            176
068                  ZPF-96697                             25
069                  PNF-53949                              8
070                  GUJ-74444                             16
071                  XKG-42573                            107
072                  SPN-64546                            140
073                  CPU-63784                             77
074                  NVE-67597                             82
075                  FTD-84699                            154
076                  YBD-67688                             66
077                  AJA-56777                            100
078                  KLA-57296                             90
079                  RGZ-73449                             56
080                  GBK-45859                            113
081                  SPN-64546                            159
082                  KMP-52243                             68
083                  BCU-27839                             10
084                  CCG-95482                             52
085                  KLA-57296                             28
086                  KMP-52243                              6
087                  GBK-45859                            128
088                  FNL-93857                            178
089                  LWR-78574                              2
090                  LWR-78574                             34
091                  HNB-76282                            101
092                  NWL-28282                             51
093                  ZPF-96697                            135
094                  GUJ-74444                             43
095                  XBC-95594                             79
096                  YXL-38878                            124
097                  KMP-52243                            193
098                  KLA-57296                            161
099                  TNG-52497                            179
100                  WBB-69295                             95
