User ID: 66537-00315

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GMS-89977                             43
002                  TNG-52497                            194
003                  EPX-87469                             51
004                  JVL-65247                            159
005                  FTD-84699                            186
006                  JPJ-26459                            118
007                  TNX-51117                            200
008                  WMD-65834                            103
009                  NXD-76943                            129
010                  QBZ-39849                             33
011                  WQB-83823                             87
012                  FNR-28782                            151
013                  VJN-37687                             56
014                  PWT-38779                            195
015                  ZKV-31415                            160
016                  TLT-23593                             73
017                  VJN-37687                            124
018                  LNC-68448                             53
019                  TNX-51117                             62
020                  FNL-93857                            126
021                  LNC-68448                            183
022                  HKZ-33728                             25
023                  TXF-47848                             17
024                  BTG-65524                            152
025                  EFG-46945                             44
026                  BCU-27839                            161
027                  JVL-65247                            108
028                  AAV-93236                             80
029                  KLA-57296                            143
030                  XBC-95594                            176
031                  TLT-23593                            167
032                  LNC-68448                             13
033                  HCY-32686                             28
034                  XBC-95594                             91
035                  URL-32968                             72
036                  LWR-78574                            141
037                  VXR-68924                            145
038                  GMS-89977                            188
039                  NVE-67597                            193
040                  TNA-63396                             36
041                  NXD-76943                            109
042                  WMD-65834                             82
043                  URL-32968                            131
044                  ZPF-96697                             71
045                  AJA-56777                            190
046                  XKG-42573                              3
047                  NWL-28282                             40
048                  JPJ-26459                            189
049                  GBK-45859                            102
050                  URL-32968                            148
051                  NHP-43928                            179
052                  AJA-56777                            158
053                  TXF-47848                            136
054                  PZV-75529                             15
055                  LZL-53762                            132
056                  PZV-75529                             47
057                  FNR-28782                            164
058                  HCY-32686                             30
059                  PWT-38779                              9
060                  TRM-27792                             55
061                  HKZ-33728                            162
062                  DHY-22445                            104
063                  LZL-53762                            177
064                  SZA-87265                             26
065                  KQA-89952                            114
066                  VXR-68924                            198
067                  KWH-94256                             22
068                  AJA-56777                            110
069                  JVL-65247                             99
070                  NHP-43928                             49
071                  ANR-65636                             69
072                  SPN-64546                             95
073                  TLT-23593                            142
074                  TLT-23593                            112
075                  NVE-67597                            140
076                  FYK-67999                             92
077                  VWM-74278                             68
078                  CCG-95482                            168
079                  KWH-94256                             11
080                  TRM-27792                            125
081                  BTN-83953                            127
082                  VJN-37687                             37
083                  HNB-76282                             32
084                  HKZ-33728                             65
085                  FTD-84699                             50
086                  FYK-67999                            153
087                  TNA-63396                            119
088                  KQA-89952                             98
089                  KDV-97563                             38
090                  TRM-27792                            121
091                  XKG-42573                            137
092                  NMA-58554                             46
093                  EFG-46945                            163
094                  HVE-32966                             21
095                  PQJ-67335                            116
096                  HVE-32966                             34
097                  TNX-51117                             35
098                  BTG-65524                            105
099                  YMA-56284                             54
100                  VWM-74278                            113
