User ID: 49650-25644

Trial                  Virus                             Units
---------------------------------------------------------------
001                  BCU-27839                            121
002                  FNL-93857                             50
003                  KDV-97563                            155
004                  YXL-38878                             42
005                  ZKV-31415                              3
006                  CPU-63784                            143
007                  BTN-83953                             89
008                  SPN-64546                            179
009                  ZPF-96697                             49
010                  FNL-93857                            157
011                  AAV-93236                            192
012                  GUJ-74444                            105
013                  DHY-22445                            189
014                  VXR-68924                             59
015                  HVX-35287                            118
016                  QBZ-39849                             67
017                  GBK-45859                             13
018                  JVL-65247                             34
019                  CQS-93978                            139
020                  SPN-64546                              8
021                  ANR-65636                             15
022                  KDV-97563                             84
023                  TNX-51117                             65
024                  ZPF-96697                             46
025                  KMP-52243                             53
026                  GBK-45859                             26
027                  ZPF-96697                            149
028                  PQJ-67335                            181
029                  FNL-93857                             11
030                  AAV-93236                             17
031                  BTG-65524                            137
032                  FTD-84699                            123
033                  BTN-83953                            153
034                  PHE-99329                            170
035                  HCY-32686                             21
036                  CCG-95482                             52
037                  PWT-38779                             18
038                  BMN-57337                             12
039                  HCY-32686                            116
040                  CPU-63784                            142
041                  RGZ-73449                            132
042                  ANR-65636                            125
043                  WBB-69295                            115
044                  URL-32968                            129
045                  KWH-94256                            138
046                  WBB-69295                              6
047                  FTD-84699                            151
048                  VXR-68924                            191
049                  QBD-79865                            146
050                  NHP-43928                            141
051                  QBD-79865                             72
052                  HVX-35287                             56
053                  WQB-83823                             69
054                  GBK-45859                            178
055                  JVL-65247                            197
056                  TNX-51117                             23
057                  HCY-32686                             27
058                  NXD-76943                             39
059                  YBD-67688                            165
060                  KDV-97563                             24
061                  FNR-28782                            188
062                  GZN-34688                            164
063                  BMN-57337                             51
064                  NHP-43928                            161
065                  FNR-28782                             68
066                  TNG-52497                            112
067                  XJQ-35789                            106
068                  WMD-65834                            176
069                  LNC-68448                             99
070                  GUJ-74444                            113
071                  KLA-57296                            190
072                  JVL-65247                             33
073                  NMA-58554                             54
074                  FNR-28782                            195
075                  ZHA-83572                             98
076                  SPN-64546                            152
077                  GZN-34688                              9
078                  EFG-46945                            174
079                  QBD-79865                             82
080                  ZPF-96697                            198
081                  GZN-34688                            171
082                  HCY-32686                            127
083                  VWM-74278                            196
084                  ANR-65636                            100
085                  QBZ-39849                            117
086                  AAV-93236                            154
087                  YMA-56284                            109
088                  HCY-32686                            194
089                  HZF-45469                             75
090                  PHE-99329                             44
091                  BCU-27839                            114
092                  RLT-57887                            133
093                  NWL-28282                            110
094                  WQM-46249                            145
095                  KLA-57296                            156
096                  XRT-73276                             95
097                  XJQ-35789                             22
098                  EPX-87469                            177
099                  CPU-63784                             10
100                  FYK-67999                            122
