User ID: 38749-83244

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HNB-76282                             96
002                  HVE-32966                             98
003                  TQC-49936                            104
004                  JYL-79355                             79
005                  HVX-35287                             29
006                  WBB-69295                             64
007                  VXR-68924                            117
008                  PHE-99329                             13
009                  NVE-67597                             20
010                  LNC-68448                            109
011                  TQC-49936                             84
012                  TLT-23593                             90
013                  CPU-63784                            113
014                  VJN-37687                             44
015                  YBD-67688                             95
016                  VWM-74278                            187
017                  WQB-83823                             82
018                  HZF-45469                            105
019                  KMP-52243                            196
020                  HNB-76282                             27
021                  YXL-38878                            102
022                  WBB-69295                             39
023                  AAV-93236                             11
024                  JPJ-26459                             54
025                  CPU-63784                             86
026                  LZL-53762                             75
027                  WMD-65834                            129
028                  AAV-93236                            181
029                  NHP-43928                            125
030                  BMN-57337                             74
031                  GZN-34688                            193
032                  PZV-75529                            177
033                  TNA-63396                            192
034                  FTD-84699                            191
035                  GBK-45859                             78
036                  CQS-93978                             55
037                  LZL-53762                             33
038                  BTN-83953                            198
039                  FYK-67999                             85
040                  SZA-87265                            147
041                  TXF-47848                            128
042                  AAV-93236                             36
043                  FTD-84699                            112
044                  DHY-22445                            134
045                  PWT-38779                             63
046                  NMA-58554                            174
047                  XRT-73276                            149
048                  ZKV-31415                             32
049                  NMA-58554                            141
050                  GBK-45859                             21
051                  TLT-23593                             14
052                  HNB-76282                            111
053                  ZPF-96697                            154
054                  LZL-53762                             87
055                  SPN-64546                             91
056                  YXL-38878                            194
057                  FTD-84699                            124
058                  RLT-57887                            121
059                  NWL-28282                             15
060                  XRT-73276                            176
061                  TNX-51117                            101
062                  CCG-95482                            157
063                  BTN-83953                              2
064                  DHY-22445                            107
065                  EFG-46945                             93
066                  ZKV-31415                             68
067                  CCG-95482                             35
068                  HCY-32686                             66
069                  PHE-99329                            189
070                  NMA-58554                              5
071                  GBK-45859                            166
072                  KLA-57296                             10
073                  NVE-67597                            173
074                  DHY-22445                            188
075                  VWM-74278                             94
076                  XRT-73276                            122
077                  BMN-57337                            126
078                  VWM-74278                            137
079                  DAU-26394                            164
080                  KQA-89952                            161
081                  BTG-65524                             31
082                  JYL-79355                             34
083                  AJA-56777                             89
084                  YXL-38878                             80
085                  HKZ-33728                            130
086                  JVL-65247                            179
087                  WBB-69295                            145
088                  DAU-26394                            138
089                  LNC-68448                             46
090                  HVX-35287                             37
091                  KDV-97563                            185
092                  NWL-28282                             25
093                  TXF-47848                            127
094                  WMD-65834                             22
095                  FYK-67999                             45
096                  HNB-76282                             43
097                  KQA-89952                              1
098                  SPN-64546                            162
099                  PWT-38779                             81
100                  ZPF-96697                             71
