User ID: 66552-00795

Trial                  Virus                             Units
---------------------------------------------------------------
001                  LWR-78574                            126
002                  RGZ-73449                            159
003                  FNL-93857                             25
004                  TNX-51117                             22
005                  WQB-83823                             21
006                  TLT-23593                            193
007                  PQJ-67335                             98
008                  XRT-73276                             38
009                  GZN-34688                              3
010                  YLW-92835                            157
011                  HVE-32966                              8
012                  NVE-67597                             81
013                  ANR-65636                            198
014                  TXF-47848                             82
015                  YMA-56284                            113
016                  VWM-74278                             40
017                  PHE-99329                              7
018                  GZN-34688                             74
019                  HVE-32966                            192
020                  NWL-28282                             41
021                  VWM-74278                             26
022                  PZV-75529                             77
023                  CDC-36833                             69
024                  KMP-52243                             17
025                  FNR-28782                             59
026                  TLT-23593                             45
027                  HVX-35287                            166
028                  HZF-45469                            153
029                  GBK-45859                            138
030                  GUJ-74444                             29
031                  KLA-57296                             87
032                  XJQ-35789                            134
033                  BTN-83953                            169
034                  VXR-68924                             27
035                  TXF-47848                             30
036                  WQB-83823                            185
037                  CQS-93978                             78
038                  NMA-58554                              2
039                  DAU-26394                            170
040                  YXL-38878                             84
041                  CQS-93978                            197
042                  HVX-35287                             93
043                  KWH-94256                             14
044                  FNR-28782                             66
045                  NHP-43928                              1
046                  XBC-95594                            165
047                  HVE-32966                             72
048                  XRT-73276                            178
049                  XKG-42573                            162
050                  ANR-65636                            119
051                  TQC-49936                             57
052                  ZPF-96697                            118
053                  VWM-74278                             11
054                  ZHA-83572                            191
055                  WQB-83823                            194
056                  EPX-87469                             55
057                  SZA-87265                            101
058                  NHP-43928                             63
059                  HKZ-33728                            108
060                  BCU-27839                             94
061                  HVX-35287                             97
062                  TNX-51117                             92
063                  JPJ-26459                             46
064                  VWM-74278                             52
065                  TQC-49936                              6
066                  AJA-56777                             61
067                  YXL-38878                            125
068                  GBK-45859                            144
069                  HZF-45469                            133
070                  RLT-57887                            102
071                  FTD-84699                            196
072                  RGZ-73449                            173
073                  ZKV-31415                            150
074                  GBK-45859                             54
075                  ANR-65636                            129
076                  WQB-83823                            146
077                  CDC-36833                            135
078                  TXF-47848                            142
079                  ZKV-31415                             71
080                  URL-32968                            160
081                  QBZ-39849                            151
082                  KLA-57296                            171
083                  TNA-63396                             68
084                  JYL-79355                            110
085                  JYL-79355                             15
086                  QBD-79865                             91
087                  GBK-45859                            120
088                  CPU-63784                            131
089                  NHP-43928                            104
090                  BTN-83953                             19
091                  BTN-83953                             13
092                  VXR-68924                            112
093                  YLW-92835                            152
094                  WQM-46249                            137
095                  TQC-49936                            136
096                  TRM-27792                             62
097                  BTN-83953                            100
098                  TLT-23593                            121
099                  NHP-43928                            106
100                  RLT-57887                            182
