User ID: 00885-84102

Trial                  Virus                             Units
---------------------------------------------------------------
001                  KDV-97563                            100
002                  TNG-52497                            135
003                  KDV-97563                            157
004                  PQJ-67335                            145
005                  QBD-79865                             49
006                  NMA-58554                             41
007                  CPU-63784                            179
008                  LZL-53762                             98
009                  YBD-67688                            142
010                  NWL-28282                             89
011                  TNG-52497                             11
012                  QBD-79865                             91
013                  HVX-35287                            170
014                  WQM-46249                            106
015                  TXF-47848                             52
016                  JVL-65247                             95
017                  VJN-37687                             39
018                  VXR-68924                            115
019                  TQC-49936                            109
020                  TNX-51117                              9
021                  XRT-73276                            158
022                  ZPF-96697                            192
023                  SZA-87265                             27
024                  ANR-65636                            153
025                  JPJ-26459                             32
026                  KQA-89952                             61
027                  XBC-95594                             93
028                  YLW-92835                             46
029                  HVX-35287                             68
030                  VWM-74278                             65
031                  EFG-46945                            126
032                  PQJ-67335                            165
033                  TQC-49936                             57
034                  LNC-68448                             13
035                  NMA-58554                            196
036                  QBD-79865                              5
037                  HKZ-33728                            108
038                  TNX-51117                            191
039                  TLT-23593                             25
040                  BMN-57337                              1
041                  JYL-79355                             43
042                  HCY-32686                              6
043                  VWM-74278                            197
044                  JYL-79355                             64
045                  FNR-28782                            186
046                  RGZ-73449                            110
047                  DAU-26394                            151
048                  ZPF-96697                            156
049                  CDC-36833                              4
050                  HCY-32686                            111
051                  TNA-63396                            140
052                  JPJ-26459                             40
053                  FNR-28782                            147
054                  URL-32968                            104
055                  ANR-65636                             20
056                  RLT-57887                            189
057                  NWL-28282                             70
058                  LWR-78574                            155
059                  AJA-56777                            173
060                  GBK-45859                            107
061                  XKG-42573                             88
062                  EPX-87469                            128
063                  LZL-53762                             97
064                  PNF-53949                            187
065                  LZL-53762                            174
066                  ZHA-83572                             67
067                  VXR-68924                             33
068                  JVL-65247                             54
069                  TNG-52497                             48
070                  SPN-64546                             51
071                  JPJ-26459                            172
072                  FNR-28782                             21
073                  ZHA-83572                            175
074                  NWL-28282                             12
075                  FNR-28782                            113
076                  FNL-93857                             84
077                  NHP-43928                             47
078                  NVE-67597                            102
079                  TQC-49936                             99
080                  AJA-56777                              8
081                  XBC-95594                            190
082                  BTN-83953                            164
083                  WQB-83823                             80
084                  RGZ-73449                            146
085                  HVE-32966                             94
086                  GZN-34688                             37
087                  BTG-65524                             42
088                  AJA-56777                            122
089                  TNX-51117                            195
090                  TXF-47848                            199
091                  TNA-63396                            129
092                  TNG-52497                             38
093                  LWR-78574                             90
094                  TLT-23593                            180
095                  JPJ-26459                            124
096                  CCG-95482                             79
097                  KDV-97563                             85
098                  CCG-95482                            193
099                  WQM-46249                            168
100                  QBZ-39849                            194
