User ID: 83545-99452

Trial                  Virus                             Units
---------------------------------------------------------------
001                  FNR-28782                            191
002                  HVX-35287                             14
003                  TQC-49936                             10
004                  LZL-53762                            135
005                  YMA-56284                             83
006                  CQS-93978                            101
007                  KLA-57296                            166
008                  GZN-34688                             56
009                  DAU-26394                             43
010                  CCG-95482                             70
011                  XJQ-35789                             81
012                  XBC-95594                             26
013                  GZN-34688                            119
014                  JYL-79355                             40
015                  BCU-27839                            164
016                  PQJ-67335                             85
017                  KQA-89952                            183
018                  FTD-84699                             41
019                  JYL-79355                             79
020                  FYK-67999                             88
021                  YXL-38878                            130
022                  PNF-53949                            105
023                  GUJ-74444                            151
024                  HKZ-33728                             49
025                  URL-32968                              6
026                  ZPF-96697                            185
027                  WQM-46249                            190
028                  HCY-32686                            134
029                  PWT-38779                            158
030                  EPX-87469                             65
031                  LNC-68448                            179
032                  KMP-52243                             94
033                  GBK-45859                             71
034                  NHP-43928                            144
035                  JPJ-26459                            133
036                  URL-32968                            147
037                  FYK-67999                             62
038                  WQM-46249                             39
039                  JYL-79355                            178
040                  GBK-45859                             61
041                  TRM-27792                             69
042                  ZKV-31415                            186
043                  NMA-58554                              9
044                  XJQ-35789                            114
045                  KLA-57296                             98
046                  TQC-49936                             44
047                  EPX-87469                             84
048                  ANR-65636                            106
049                  WMD-65834                             16
050                  ZKV-31415                              7
051                  RGZ-73449                            149
052                  TLT-23593                             54
053                  XJQ-35789                             87
054                  XBC-95594                             52
055                  YMA-56284                             78
056                  SPN-64546                            127
057                  PHE-99329                             34
058                  HVE-32966                            146
059                  CCG-95482                            196
060                  CDC-36833                             53
061                  PQJ-67335                             74
062                  QBD-79865                             76
063                  XKG-42573                             92
064                  GBK-45859                             38
065                  URL-32968                            171
066                  EPX-87469                             29
067                  NXD-76943                             60
068                  KQA-89952                             31
069                  TXF-47848                            197
070                  BMN-57337                            132
071                  XRT-73276                            111
072                  XRT-73276                            180
073                  GBK-45859                            199
074                  PNF-53949                            200
075                  FTD-84699                             82
076                  NXD-76943                            140
077                  TRM-27792                            195
078                  GZN-34688                            176
079                  CCG-95482                            182
080                  NWL-28282                             25
081                  LNC-68448                             57
082                  GBK-45859                            103
083                  LZL-53762                             96
084                  CCG-95482                             45
085                  TNA-63396                            155
086                  ZHA-83572                            189
087                  JVL-65247                             73
088                  DHY-22445                            156
089                  QBZ-39849                              4
090                  CCG-95482                             48
091                  FNL-93857                            192
092                  EPX-87469                            161
093                  HVX-35287                             90
094                  HVX-35287                            124
095                  WQB-83823                            175
096                  NVE-67597                            198
097                  PWT-38779                             33
098                  QBZ-39849                             23
099                  VJN-37687                            188
100                  LWR-78574                            150
