User ID: 68589-74799

Trial                  Virus                             Units
---------------------------------------------------------------
001                  KQA-89952                             84
002                  HZF-45469                             91
003                  ZXB-54692                             89
004                  ANR-65636                            154
005                  EFG-46945                             86
006                  TQC-49936                            129
007                  VWM-74278                            138
008                  GMS-89977                             75
009                  WMD-65834                             96
010                  ANR-65636                            185
011                  BTN-83953                             78
012                  XJQ-35789                            179
013                  LZL-53762                            199
014                  HCY-32686                             77
015                  TNA-63396                            117
016                  GMS-89977                             51
017                  VJN-37687                             95
018                  FTD-84699                            176
019                  BCU-27839                            128
020                  GMS-89977                            172
021                  VXR-68924                             52
022                  JVL-65247                            134
023                  CDC-36833                             29
024                  ZKV-31415                              5
025                  WBB-69295                            174
026                  NMA-58554                            112
027                  LWR-78574                            130
028                  FNR-28782                            122
029                  HVE-32966                             81
030                  WMD-65834                            155
031                  SPN-64546                             43
032                  KMP-52243                             31
033                  WBB-69295                            182
034                  YLW-92835                            192
035                  ANR-65636                             82
036                  ZXB-54692                             42
037                  HZF-45469                            111
038                  BTN-83953                            105
039                  EFG-46945                            180
040                  CCG-95482                             53
041                  WQM-46249                             28
042                  DHY-22445                             18
043                  KLA-57296                             68
044                  HZF-45469                             38
045                  YMA-56284                            194
046                  ANR-65636                             69
047                  GBK-45859                             73
048                  WBB-69295                            156
049                  ZHA-83572                            164
050                  BMN-57337                             83
051                  ZHA-83572                            151
052                  ANR-65636                             90
053                  TNX-51117                             23
054                  YMA-56284                             71
055                  JVL-65247                              7
056                  CDC-36833                            137
057                  HVE-32966                            100
058                  GZN-34688                             94
059                  LZL-53762                            147
060                  AJA-56777                             61
061                  FNL-93857                            141
062                  PWT-38779                              6
063                  WQB-83823                             62
064                  NVE-67597                            140
065                  DHY-22445                            169
066                  JYL-79355                            142
067                  VJN-37687                             10
068                  EFG-46945                            178
069                  VWM-74278                            104
070                  ZHA-83572                             67
071                  KQA-89952                            123
072                  BTN-83953                             65
073                  WQM-46249                            197
074                  WQB-83823                             45
075                  PWT-38779                             79
076                  FNR-28782                             49
077                  NVE-67597                             14
078                  ANR-65636                            191
079                  URL-32968                             32
080                  FNR-28782                              1
081                  JPJ-26459                             93
082                  YBD-67688                            184
083                  FNR-28782                            167
084                  ZKV-31415                              9
085                  VWM-74278                            171
086                  ZKV-31415                             85
087                  JVL-65247                            124
088                  HVE-32966                             80
089                  TRM-27792                             58
090                  SPN-64546                            103
091                  LWR-78574                            127
092                  DAU-26394                             33
093                  DHY-22445                            126
094                  HZF-45469                             44
095                  TNA-63396                            189
096                  TNX-51117                            110
097                  HVX-35287                            195
098                  CPU-63784                            136
099                  YLW-92835                            163
100                  AJA-56777                            106
