User ID: 75471-28954

Trial                  Virus                             Units
---------------------------------------------------------------
001                  ZXB-54692                              9
002                  URL-32968                            107
003                  RGZ-73449                            165
004                  SZA-87265                            156
005                  KMP-52243                             37
006                  XRT-73276                            127
007                  DAU-26394                             41
008                  XKG-42573                             62
009                  GBK-45859                             31
010                  HNB-76282                              7
011                  KQA-89952                            136
012                  FNL-93857                            176
013                  QBZ-39849                            120
014                  HCY-32686                            110
015                  TNG-52497                             86
016                  NWL-28282                             51
017                  ANR-65636                             71
018                  TXF-47848                            142
019                  HVX-35287                             52
020                  BMN-57337                             45
021                  XKG-42573                              4
022                  GMS-89977                            148
023                  ZKV-31415                             59
024                  JYL-79355                             64
025                  CQS-93978                            150
026                  JVL-65247                             60
027                  LWR-78574                              8
028                  RLT-57887                              2
029                  VXR-68924                             70
030                  NWL-28282                             77
031                  TNA-63396                            188
032                  KLA-57296                            190
033                  PWT-38779                             89
034                  WQB-83823                            172
035                  URL-32968                             42
036                  HKZ-33728                             93
037                  DAU-26394                             12
038                  ANR-65636                             72
039                  FNL-93857                            163
040                  JVL-65247                             76
041                  GBK-45859                            128
042                  FNL-93857                             23
043                  PNF-53949                             91
044                  PWT-38779                             80
045                  CDC-36833                            162
046                  URL-32968                              6
047                  TNX-51117                            138
048                  URL-32968                            191
049                  HVE-32966                            200
050                  AAV-93236                            193
051                  AAV-93236                             17
052                  BTN-83953                             61
053                  ZHA-83572                             81
054                  VXR-68924                             49
055                  NHP-43928                             66
056                  JYL-79355                             18
057                  NXD-76943                            146
058                  LWR-78574                             13
059                  XRT-73276                             25
060                  YBD-67688                            115
061                  PHE-99329                             78
062                  GUJ-74444                             30
063                  GBK-45859                             11
064                  TNG-52497                             27
065                  CCG-95482                             79
066                  KMP-52243                            118
067                  XKG-42573                             84
068                  FTD-84699                             87
069                  HCY-32686                             85
070                  EPX-87469                             88
071                  RLT-57887                             29
072                  FYK-67999                            198
073                  WBB-69295                             19
074                  XJQ-35789                            195
075                  GZN-34688                             82
076                  TRM-27792                             34
077                  URL-32968                            122
078                  YBD-67688                            170
079                  KMP-52243                            147
080                  WQB-83823                            129
081                  DHY-22445                              5
082                  ANR-65636                             94
083                  KWH-94256                             54
084                  KDV-97563                            175
085                  HKZ-33728                             53
086                  PNF-53949                            196
087                  NWL-28282                             10
088                  JPJ-26459                            121
089                  EPX-87469                            116
090                  LWR-78574                            114
091                  KQA-89952                              1
092                  LWR-78574                            140
093                  WBB-69295                             58
094                  BTG-65524                            171
095                  FTD-84699                             50
096                  ZXB-54692                            174
097                  YLW-92835                             16
098                  XRT-73276                             24
099                  BMN-57337                            117
100                  GMS-89977                             83
