User ID: 66552-00795

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GMS-89977                            195
002                  LNC-68448                            110
003                  TLT-23593                             23
004                  NWL-28282                            151
005                  SZA-87265                             71
006                  CPU-63784                             90
007                  ANR-65636                            153
008                  ZPF-96697                            142
009                  JYL-79355                            146
010                  XKG-42573                            117
011                  SZA-87265                             92
012                  WMD-65834                            185
013                  CQS-93978                             16
014                  VJN-37687                             51
015                  KWH-94256                            156
016                  HCY-32686                              4
017                  CPU-63784                            101
018                  KMP-52243                            159
019                  EFG-46945                             17
020                  HNB-76282                            148
021                  AJA-56777                            175
022                  ZKV-31415                             61
023                  HVE-32966                            149
024                  RLT-57887                             91
025                  XRT-73276                            102
026                  HVX-35287                            118
027                  XBC-95594                             94
028                  ZXB-54692                            124
029                  VJN-37687                            113
030                  RLT-57887                             63
031                  AAV-93236                            114
032                  JYL-79355                              6
033                  GZN-34688                             81
034                  SPN-64546                            108
035                  VXR-68924                             53
036                  TRM-27792                            157
037                  LWR-78574                            181
038                  JPJ-26459                            154
039                  JPJ-26459                             88
040                  GBK-45859                             80
041                  GBK-45859                            165
042                  GMS-89977                             20
043                  YLW-92835                             59
044                  NHP-43928                            194
045                  VXR-68924                             48
046                  TLT-23593                            128
047                  WBB-69295                             74
048                  CCG-95482                              3
049                  KLA-57296                            112
050                  CQS-93978                            135
051                  RLT-57887                            187
052                  YLW-92835                             28
053                  NHP-43928                            116
054                  HVE-32966                             54
055                  KDV-97563                             50
056                  PNF-53949                            188
057                  PHE-99329                            169
058                  TNG-52497                             42
059                  SPN-64546                             22
060                  HZF-45469                            126
061                  HKZ-33728                            193
062                  JPJ-26459                            186
063                  JPJ-26459                             60
064                  RLT-57887                            164
065                  XBC-95594                             19
066                  EPX-87469                            171
067                  XJQ-35789                            172
068                  FYK-67999                             43
069                  AJA-56777                            184
070                  TQC-49936                            152
071                  GMS-89977                            182
072                  URL-32968                            199
073                  CCG-95482                             82
074                  YBD-67688                            168
075                  TNX-51117                             24
076                  FTD-84699                             77
077                  AAV-93236                            115
078                  JVL-65247                            127
079                  PZV-75529                             45
080                  XJQ-35789                            131
081                  PWT-38779                             30
082                  TNG-52497                             72
083                  ZXB-54692                            200
084                  KLA-57296                            129
085                  PZV-75529                            173
086                  JPJ-26459                             32
087                  QBZ-39849                             96
088                  KLA-57296                             93
089                  HCY-32686                             27
090                  CDC-36833                             87
091                  LWR-78574                            147
092                  NHP-43928                            137
093                  TNX-51117                            121
094                  PHE-99329                             52
095                  FNR-28782                             37
096                  JYL-79355                              2
097                  YMA-56284                             69
098                  TQC-49936                            120
099                  WBB-69295                            125
100                  NMA-58554                             44
