User ID: 66552-00795

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EPX-87469                            130
002                  ZXB-54692                             37
003                  DAU-26394                             45
004                  KDV-97563                             49
005                  FTD-84699                            167
006                  ZXB-54692                            191
007                  SPN-64546                            175
008                  CQS-93978                            187
009                  CDC-36833                            129
010                  GUJ-74444                             39
011                  CDC-36833                             74
012                  GBK-45859                            172
013                  WBB-69295                            189
014                  VXR-68924                            100
015                  YXL-38878                            197
016                  URL-32968                            163
017                  NVE-67597                             20
018                  BTG-65524                             28
019                  QBZ-39849                             78
020                  EPX-87469                             71
021                  PQJ-67335                              2
022                  KMP-52243                             55
023                  CQS-93978                             35
024                  LNC-68448                            135
025                  JVL-65247                             86
026                  WBB-69295                             93
027                  ZKV-31415                            118
028                  CDC-36833                             92
029                  NWL-28282                            147
030                  VWM-74278                             72
031                  FNR-28782                             41
032                  URL-32968                             14
033                  DAU-26394                            195
034                  KMP-52243                             43
035                  TNG-52497                            161
036                  KMP-52243                             12
037                  GUJ-74444                            142
038                  VWM-74278                            180
039                  KQA-89952                             69
040                  QBD-79865                            113
041                  NHP-43928                            192
042                  HCY-32686                             25
043                  ZHA-83572                             21
044                  PHE-99329                             96
045                  TNX-51117                             85
046                  KMP-52243                             88
047                  FYK-67999                            182
048                  TNX-51117                            181
049                  TNX-51117                              3
050                  EFG-46945                            102
051                  JPJ-26459                             70
052                  KWH-94256                            154
053                  WQM-46249                            162
054                  GZN-34688                             53
055                  EPX-87469                             73
056                  WQB-83823                             98
057                  DHY-22445                             59
058                  LZL-53762                            123
059                  RGZ-73449                             75
060                  GMS-89977                             48
061                  EPX-87469                             94
062                  ZXB-54692                            106
063                  TNG-52497                            108
064                  FTD-84699                             13
065                  BMN-57337                              5
066                  XKG-42573                             66
067                  URL-32968                            196
068                  FTD-84699                            127
069                  TQC-49936                            137
070                  TQC-49936                            107
071                  EPX-87469                             68
072                  NXD-76943                            170
073                  LWR-78574                             17
074                  HZF-45469                             77
075                  GZN-34688                            143
076                  GUJ-74444                            112
077                  VXR-68924                            152
078                  PHE-99329                             80
079                  TQC-49936                             87
080                  GMS-89977                            155
081                  LZL-53762                             58
082                  ZKV-31415                            101
083                  LZL-53762                             26
084                  XRT-73276                             99
085                  XJQ-35789                            186
086                  WQB-83823                            128
087                  XJQ-35789                            126
088                  BTG-65524                            176
089                  YBD-67688                            124
090                  TQC-49936                            153
091                  KDV-97563                            164
092                  FNR-28782                            132
093                  KMP-52243                             36
094                  TRM-27792                             50
095                  FNL-93857                             24
096                  YBD-67688                            173
097                  BCU-27839                             46
098                  GMS-89977                            160
099                  RGZ-73449                              7
100                  TNA-63396                            193
