User ID: 41724-49926

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CCG-95482                            116
002                  HVX-35287                             46
003                  NHP-43928                            152
004                  FYK-67999                            185
005                  GMS-89977                             51
006                  HCY-32686                             25
007                  RLT-57887                              1
008                  WQM-46249                            195
009                  VJN-37687                            187
010                  ANR-65636                            177
011                  TQC-49936                             64
012                  XRT-73276                             73
013                  CDC-36833                             90
014                  KDV-97563                             66
015                  ANR-65636                            193
016                  NMA-58554                             43
017                  TXF-47848                            175
018                  JYL-79355                            127
019                  EFG-46945                             49
020                  VWM-74278                             61
021                  LNC-68448                            181
022                  KDV-97563                             16
023                  GZN-34688                             88
024                  TXF-47848                            137
025                  NHP-43928                             29
026                  NHP-43928                             40
027                  BMN-57337                            164
028                  HKZ-33728                            110
029                  URL-32968                            100
030                  CDC-36833                            157
031                  CPU-63784                            182
032                  HVX-35287                             68
033                  TQC-49936                            130
034                  DAU-26394                             18
035                  TQC-49936                             52
036                  TXF-47848                            124
037                  HVX-35287                             28
038                  RLT-57887                             96
039                  PHE-99329                            166
040                  EFG-46945                            173
041                  FTD-84699                            106
042                  CQS-93978                             92
043                  KDV-97563                            197
044                  HCY-32686                             97
045                  YXL-38878                            189
046                  TNA-63396                            149
047                  TXF-47848                             91
048                  KQA-89952                             12
049                  KQA-89952                            142
050                  ZKV-31415                             24
051                  RLT-57887                            183
052                  GBK-45859                             39
053                  EPX-87469                            141
054                  EFG-46945                             75
055                  URL-32968                              5
056                  YXL-38878                             76
057                  EFG-46945                             34
058                  KDV-97563                             41
059                  PZV-75529                             69
060                  TQC-49936                            131
061                  KMP-52243                             93
062                  BTG-65524                             31
063                  ZKV-31415                             79
064                  XJQ-35789                             15
065                  LWR-78574                            129
066                  VWM-74278                            176
067                  GUJ-74444                            123
068                  GZN-34688                             57
069                  VXR-68924                            145
070                  AAV-93236                            136
071                  ZXB-54692                             84
072                  HNB-76282                             36
073                  HCY-32686                             60
074                  HCY-32686                            140
075                  AAV-93236                            160
076                  KWH-94256                            148
077                  FNL-93857                            180
078                  LNC-68448                            186
079                  BTG-65524                            108
080                  PQJ-67335                            155
081                  ZPF-96697                             37
082                  HVE-32966                            161
083                  XBC-95594                             10
084                  BMN-57337                             59
085                  PWT-38779                             58
086                  WBB-69295                             17
087                  XJQ-35789                            146
088                  GBK-45859                            104
089                  ANR-65636                            194
090                  TXF-47848                            115
091                  PHE-99329                             30
092                  TLT-23593                            147
093                  FNL-93857                            120
094                  ZHA-83572                            172
095                  PHE-99329                            134
096                  VXR-68924                             62
097                  BMN-57337                             67
098                  NWL-28282                             54
099                  XBC-95594                             99
100                  GUJ-74444                            188
