User ID: 65101-47245

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EFG-46945                            165
002                  LZL-53762                             19
003                  PQJ-67335                            152
004                  HZF-45469                             22
005                  TRM-27792                             89
006                  TNG-52497                             86
007                  DHY-22445                            147
008                  FNL-93857                             58
009                  KQA-89952                            111
010                  YLW-92835                            184
011                  URL-32968                            197
012                  XBC-95594                              5
013                  TRM-27792                             40
014                  TNG-52497                             62
015                  HVE-32966                             65
016                  NWL-28282                             98
017                  ZPF-96697                            154
018                  NHP-43928                             95
019                  LNC-68448                            166
020                  NHP-43928                            187
021                  LNC-68448                             99
022                  HCY-32686                            200
023                  URL-32968                            182
024                  ZXB-54692                             83
025                  YXL-38878                             18
026                  QBZ-39849                             44
027                  NVE-67597                             60
028                  TNA-63396                             24
029                  BTN-83953                            140
030                  WBB-69295                             75
031                  NVE-67597                            136
032                  TNG-52497                             34
033                  GMS-89977                             51
034                  TNG-52497                             46
035                  KMP-52243                              9
036                  BCU-27839                             41
037                  PZV-75529                            150
038                  XRT-73276                            134
039                  YBD-67688                             36
040                  TXF-47848                             67
041                  BTG-65524                            156
042                  JVL-65247                             74
043                  KDV-97563                             31
044                  FNL-93857                            193
045                  TXF-47848                            117
046                  ZXB-54692                            185
047                  WQM-46249                             11
048                  JVL-65247                            113
049                  URL-32968                            118
050                  JVL-65247                            115
051                  DHY-22445                            188
052                  TRM-27792                             33
053                  WBB-69295                            142
054                  URL-32968                            186
055                  FNR-28782                             80
056                  WMD-65834                            120
057                  GUJ-74444                             16
058                  BTN-83953                            170
059                  CDC-36833                            153
060                  RGZ-73449                             23
061                  FNR-28782                            172
062                  XKG-42573                              8
063                  ZKV-31415                             87
064                  KWH-94256                            163
065                  GZN-34688                             78
066                  EPX-87469                            106
067                  JYL-79355                            124
068                  XJQ-35789                             85
069                  TNG-52497                            102
070                  ZHA-83572                            161
071                  VWM-74278                             70
072                  BTN-83953                            146
073                  VWM-74278                            133
074                  WQB-83823                            128
075                  TNG-52497                            126
076                  VJN-37687                             90
077                  URL-32968                             52
078                  ANR-65636                            162
079                  XJQ-35789                             39
080                  XKG-42573                             49
081                  SZA-87265                            137
082                  YLW-92835                            139
083                  WQB-83823                            138
084                  SPN-64546                             61
085                  HKZ-33728                             35
086                  XKG-42573                             57
087                  WBB-69295                             17
088                  CPU-63784                             32
089                  HVX-35287                             29
090                  WQB-83823                             84
091                  TRM-27792                            175
092                  JPJ-26459                             20
093                  RLT-57887                            132
094                  NHP-43928                            181
095                  NWL-28282                            171
096                  GMS-89977                             91
097                  BTG-65524                            135
098                  NMA-58554                             37
099                  DAU-26394                            119
100                  NMA-58554                            160
