User ID: 35036-62750

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PQJ-67335                            174
002                  TLT-23593                            101
003                  GUJ-74444                            110
004                  AAV-93236                            160
005                  XBC-95594                            132
006                  GUJ-74444                            118
007                  PWT-38779                            188
008                  YXL-38878                            181
009                  JPJ-26459                            109
010                  NXD-76943                             35
011                  TRM-27792                              5
012                  VJN-37687                            140
013                  NWL-28282                            145
014                  KDV-97563                             56
015                  WMD-65834                             69
016                  DHY-22445                             70
017                  TNX-51117                             58
018                  ZPF-96697                             28
019                  EPX-87469                            113
020                  AJA-56777                            115
021                  FYK-67999                             68
022                  QBD-79865                             17
023                  ZKV-31415                            173
024                  DAU-26394                            175
025                  QBZ-39849                             79
026                  LNC-68448                            114
027                  BTG-65524                             42
028                  ZKV-31415                             39
029                  SPN-64546                              2
030                  XKG-42573                            183
031                  PZV-75529                            134
032                  CQS-93978                            179
033                  NMA-58554                             45
034                  DHY-22445                            198
035                  XBC-95594                             61
036                  BMN-57337                             98
037                  BTN-83953                             50
038                  SZA-87265                            142
039                  TLT-23593                             84
040                  NMA-58554                             72
041                  FTD-84699                             27
042                  KMP-52243                            111
043                  DHY-22445                             65
044                  SPN-64546                             87
045                  QBD-79865                            151
046                  TLT-23593                              3
047                  VJN-37687                             92
048                  BMN-57337                            119
049                  LZL-53762                             85
050                  VXR-68924                             37
051                  ZHA-83572                             36
052                  ZKV-31415                             49
053                  GUJ-74444                             47
054                  XKG-42573                             44
055                  PHE-99329                            147
056                  BTG-65524                             99
057                  BTG-65524                            161
058                  BTG-65524                            199
059                  TLT-23593                            107
060                  TLT-23593                             59
061                  NMA-58554                             52
062                  ZPF-96697                             51
063                  CCG-95482                            136
064                  WQM-46249                            193
065                  ZKV-31415                             30
066                  VJN-37687                            102
067                  GBK-45859                             38
068                  KDV-97563                            172
069                  BMN-57337                              4
070                  XKG-42573                            148
071                  QBZ-39849                            138
072                  KLA-57296                             31
073                  BCU-27839                            123
074                  WQM-46249                            117
075                  FYK-67999                            116
076                  NXD-76943                            159
077                  VXR-68924                            106
078                  YLW-92835                            195
079                  HVE-32966                             22
080                  TRM-27792                            124
081                  DHY-22445                             75
082                  HVE-32966                            122
083                  PNF-53949                            100
084                  PZV-75529                            171
085                  BCU-27839                            143
086                  BMN-57337                             82
087                  AJA-56777                            168
088                  BTG-65524                             73
089                  DHY-22445                             95
090                  FTD-84699                             76
091                  JPJ-26459                             25
092                  PZV-75529                            184
093                  HNB-76282                             55
094                  PWT-38779                             16
095                  LNC-68448                             81
096                  ZXB-54692                            164
097                  NWL-28282                            187
098                  GZN-34688                             74
099                  PZV-75529                             18
100                  PNF-53949                            133
