User ID: 24293-80620

Trial                  Virus                             Units
---------------------------------------------------------------
001                  YXL-38878                             55
002                  URL-32968                            132
003                  CDC-36833                             54
004                  BTG-65524                            187
005                  TNA-63396                            143
006                  GZN-34688                            169
007                  CDC-36833                            140
008                  KMP-52243                             51
009                  FNR-28782                             82
010                  KWH-94256                             60
011                  CQS-93978                            165
012                  WQM-46249                             44
013                  PNF-53949                             86
014                  RLT-57887                            181
015                  NVE-67597                             49
016                  SPN-64546                            182
017                  TNX-51117                             22
018                  HZF-45469                             75
019                  XBC-95594                             88
020                  HKZ-33728                            130
021                  TNG-52497                             32
022                  PQJ-67335                            136
023                  HVX-35287                             36
024                  DAU-26394                             21
025                  CPU-63784                            175
026                  TNG-52497                            139
027                  WQM-46249                            184
028                  HVE-32966                             25
029                  TXF-47848                             85
030                  NWL-28282                            200
031                  BTG-65524                            199
032                  DAU-26394                            158
033                  JPJ-26459                             66
034                  SZA-87265                              2
035                  ANR-65636                            177
036                  NXD-76943                             87
037                  AAV-93236                             31
038                  AAV-93236                             76
039                  ZKV-31415                            171
040                  PHE-99329                             78
041                  CCG-95482                              1
042                  NWL-28282                             64
043                  EFG-46945                            117
044                  ZXB-54692                             71
045                  VJN-37687                             29
046                  ZPF-96697                            173
047                  FNR-28782                            144
048                  VWM-74278                             68
049                  WMD-65834                             73
050                  GZN-34688                              3
051                  XJQ-35789                            131
052                  ZXB-54692                            198
053                  LNC-68448                             96
054                  NMA-58554                            189
055                  NXD-76943                             28
056                  ZPF-96697                            145
057                  CPU-63784                             70
058                  LZL-53762                            102
059                  JVL-65247                              7
060                  VWM-74278                             19
061                  TNA-63396                            151
062                  URL-32968                            120
063                  FYK-67999                            149
064                  JVL-65247                             97
065                  BMN-57337                            148
066                  SZA-87265                            127
067                  WQM-46249                             50
068                  JVL-65247                             92
069                  TLT-23593                             39
070                  NXD-76943                            128
071                  WQB-83823                            133
072                  PWT-38779                            114
073                  QBD-79865                              6
074                  LNC-68448                            137
075                  HNB-76282                            118
076                  DHY-22445                              9
077                  HKZ-33728                            185
078                  TRM-27792                            115
079                  PNF-53949                             77
080                  GBK-45859                            190
081                  LZL-53762                            179
082                  GUJ-74444                             23
083                  CDC-36833                             46
084                  GBK-45859                            101
085                  NHP-43928                            161
086                  URL-32968                             74
087                  QBZ-39849                            159
088                  URL-32968                             90
089                  JYL-79355                             58
090                  URL-32968                             11
091                  URL-32968                            163
092                  BMN-57337                             33
093                  PWT-38779                            129
094                  XJQ-35789                             53
095                  VJN-37687                            194
096                  TNG-52497                             24
097                  TNG-52497                            153
098                  TQC-49936                            134
099                  PQJ-67335                            183
100                  KQA-89952                            154
