User ID: 57004-54761

Trial                  Virus                             Units
---------------------------------------------------------------
001                  BMN-57337                            162
002                  NVE-67597                            198
003                  GMS-89977                            107
004                  YLW-92835                            174
005                  VXR-68924                             48
006                  LNC-68448                             95
007                  VJN-37687                            180
008                  VJN-37687                            155
009                  XBC-95594                            120
010                  BCU-27839                             74
011                  YMA-56284                            104
012                  RLT-57887                             15
013                  GUJ-74444                             96
014                  TLT-23593                             38
015                  XBC-95594                             85
016                  URL-32968                              7
017                  HZF-45469                             65
018                  GUJ-74444                              3
019                  NXD-76943                             29
020                  YMA-56284                            151
021                  HZF-45469                             19
022                  YMA-56284                             30
023                  TRM-27792                             56
024                  YMA-56284                            181
025                  YLW-92835                             86
026                  NMA-58554                            146
027                  URL-32968                             49
028                  ZXB-54692                            105
029                  AJA-56777                            158
030                  YBD-67688                            127
031                  ZXB-54692                            113
032                  VXR-68924                            152
033                  BCU-27839                            185
034                  QBD-79865                             53
035                  HVX-35287                            148
036                  XJQ-35789                             81
037                  TNX-51117                              5
038                  VJN-37687                              6
039                  HVE-32966                             27
040                  BCU-27839                            114
041                  KWH-94256                             25
042                  NMA-58554                             42
043                  ZKV-31415                             70
044                  GBK-45859                            144
045                  NHP-43928                             58
046                  XRT-73276                            124
047                  XRT-73276                            199
048                  AJA-56777                             73
049                  WQB-83823                             10
050                  YMA-56284                            169
051                  HVX-35287                            122
052                  XKG-42573                             99
053                  PZV-75529                            197
054                  PZV-75529                             63
055                  CQS-93978                            173
056                  CCG-95482                            103
057                  AJA-56777                             52
058                  XBC-95594                            175
059                  BCU-27839                             55
060                  KDV-97563                             54
061                  AAV-93236                             88
062                  VXR-68924                            149
063                  DAU-26394                            159
064                  EPX-87469                            184
065                  SZA-87265                            178
066                  JPJ-26459                            101
067                  AJA-56777                             60
068                  NMA-58554                            116
069                  CCG-95482                            121
070                  LZL-53762                            150
071                  ZPF-96697                            100
072                  XKG-42573                             61
073                  NMA-58554                            177
074                  EFG-46945                            163
075                  JPJ-26459                            143
076                  ZXB-54692                            106
077                  FYK-67999                             45
078                  GBK-45859                            109
079                  PWT-38779                            140
080                  WQB-83823                            190
081                  LWR-78574                            171
082                  VXR-68924                            195
083                  WMD-65834                            126
084                  TQC-49936                             68
085                  BCU-27839                             79
086                  HZF-45469                            147
087                  NVE-67597                            102
088                  ZHA-83572                            138
089                  KMP-52243                            165
090                  TNG-52497                             41
091                  VXR-68924                            167
092                  LNC-68448                             37
093                  HVX-35287                            139
094                  KMP-52243                             94
095                  HZF-45469                             82
096                  CPU-63784                              1
097                  PNF-53949                            125
098                  KQA-89952                            193
099                  YXL-38878                              9
100                  HKZ-33728                             39
