User ID: 06139-33248

Trial                  Virus                             Units
---------------------------------------------------------------
001                  XRT-73276                            112
002                  BTG-65524                              1
003                  PHE-99329                            177
004                  WMD-65834                            142
005                  PQJ-67335                            158
006                  QBZ-39849                             70
007                  XKG-42573                             86
008                  BTN-83953                            153
009                  XJQ-35789                             64
010                  SPN-64546                            129
011                  TXF-47848                             85
012                  JPJ-26459                             16
013                  TNX-51117                            182
014                  SPN-64546                             28
015                  URL-32968                             41
016                  BTN-83953                            139
017                  PQJ-67335                              2
018                  KMP-52243                             21
019                  CPU-63784                            195
020                  TNX-51117                             55
021                  HVE-32966                            174
022                  TNG-52497                             98
023                  YMA-56284                             71
024                  FNR-28782                            122
025                  BCU-27839                            197
026                  TQC-49936                            130
027                  JPJ-26459                             58
028                  JVL-65247                            105
029                  NHP-43928                            168
030                  NMA-58554                            161
031                  JYL-79355                             13
032                  TQC-49936                            160
033                  KQA-89952                            149
034                  HVE-32966                            167
035                  ZPF-96697                              3
036                  BMN-57337                            155
037                  TRM-27792                            151
038                  KWH-94256                             93
039                  JYL-79355                             60
040                  HNB-76282                            200
041                  TNX-51117                            136
042                  WBB-69295                            164
043                  HNB-76282                            101
044                  ANR-65636                            115
045                  JYL-79355                             35
046                  BMN-57337                             72
047                  XBC-95594                            121
048                  TNG-52497                             59
049                  RLT-57887                            193
050                  DAU-26394                            199
051                  WMD-65834                            157
052                  FNR-28782                             54
053                  FNL-93857                             18
054                  VWM-74278                             34
055                  LWR-78574                             76
056                  ZXB-54692                            113
057                  PNF-53949                            104
058                  BCU-27839                             30
059                  QBZ-39849                            156
060                  PWT-38779                             40
061                  PWT-38779                             12
062                  EFG-46945                             69
063                  KQA-89952                             83
064                  GZN-34688                             24
065                  FTD-84699                             22
066                  JPJ-26459                            181
067                  PHE-99329                              8
068                  ZXB-54692                              7
069                  LWR-78574                            118
070                  QBZ-39849                             49
071                  HVX-35287                             57
072                  EFG-46945                             20
073                  KDV-97563                            152
074                  WBB-69295                            191
075                  PZV-75529                            128
076                  TLT-23593                            109
077                  CDC-36833                             89
078                  VXR-68924                            133
079                  HVX-35287                             10
080                  JPJ-26459                            166
081                  ANR-65636                            135
082                  XJQ-35789                            145
083                  WQB-83823                            198
084                  WQM-46249                            176
085                  EPX-87469                            127
086                  WMD-65834                             68
087                  PNF-53949                            169
088                  ZPF-96697                            132
089                  YLW-92835                            171
090                  WMD-65834                             37
091                  ZXB-54692                             29
092                  URL-32968                              6
093                  CDC-36833                             48
094                  FTD-84699                            180
095                  KDV-97563                             38
096                  EPX-87469                            162
097                  NHP-43928                            119
098                  VJN-37687                            111
099                  NVE-67597                             73
100                  EFG-46945                             46
