User ID: 05481-39385

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GZN-34688                            154
002                  NVE-67597                             56
003                  JYL-79355                            113
004                  HNB-76282                             12
005                  JPJ-26459                             83
006                  XJQ-35789                            143
007                  YBD-67688                            164
008                  WBB-69295                             97
009                  DHY-22445                            192
010                  BCU-27839                             50
011                  AJA-56777                            125
012                  BTN-83953                             93
013                  ZXB-54692                             71
014                  HZF-45469                            184
015                  NHP-43928                            101
016                  CPU-63784                              7
017                  CPU-63784                             32
018                  QBD-79865                             88
019                  TNA-63396                             69
020                  ZKV-31415                            157
021                  TNG-52497                            104
022                  BTG-65524                             67
023                  KWH-94256                             11
024                  WQM-46249                             72
025                  TRM-27792                             98
026                  ZHA-83572                            199
027                  CCG-95482                            187
028                  HNB-76282                             48
029                  FNL-93857                            153
030                  EPX-87469                            172
031                  BTG-65524                             40
032                  QBD-79865                              1
033                  ZHA-83572                              3
034                  YBD-67688                            169
035                  KMP-52243                            179
036                  HKZ-33728                            119
037                  BCU-27839                            180
038                  FYK-67999                            112
039                  PWT-38779                             78
040                  XKG-42573                             74
041                  CQS-93978                            146
042                  PZV-75529                             27
043                  XBC-95594                            167
044                  TNG-52497                             22
045                  VXR-68924                            114
046                  CCG-95482                            158
047                  CPU-63784                             38
048                  TQC-49936                             68
049                  CPU-63784                             66
050                  VJN-37687                             84
051                  WQB-83823                            138
052                  FYK-67999                             80
053                  XJQ-35789                             75
054                  HVE-32966                             85
055                  BCU-27839                             25
056                  GMS-89977                             51
057                  SPN-64546                            177
058                  NMA-58554                            134
059                  TLT-23593                            144
060                  AJA-56777                             90
061                  PNF-53949                             65
062                  TNX-51117                            132
063                  LWR-78574                             59
064                  YLW-92835                            148
065                  AJA-56777                             79
066                  SPN-64546                            195
067                  HNB-76282                            188
068                  TNG-52497                             35
069                  WMD-65834                            127
070                  XBC-95594                             52
071                  CQS-93978                            135
072                  VWM-74278                            123
073                  ZPF-96697                             81
074                  LWR-78574                             60
075                  QBD-79865                            100
076                  BCU-27839                             73
077                  KLA-57296                              8
078                  XBC-95594                             77
079                  RGZ-73449                             45
080                  WBB-69295                            122
081                  TXF-47848                             89
082                  NMA-58554                            102
083                  CPU-63784                            200
084                  RLT-57887                             19
085                  HZF-45469                            152
086                  CCG-95482                             30
087                  GUJ-74444                            193
088                  BTN-83953                            111
089                  YMA-56284                             92
090                  VXR-68924                            165
091                  BMN-57337                            142
092                  PHE-99329                            174
093                  TNG-52497                             87
094                  EFG-46945                             24
095                  YLW-92835                            163
096                  XJQ-35789                            105
097                  HZF-45469                             21
098                  NXD-76943                            121
099                  KMP-52243                             42
100                  FNL-93857                             28
