User ID: 44921-58069

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CPU-63784                            198
002                  QBD-79865                            177
003                  SPN-64546                            144
004                  VXR-68924                            140
005                  ZPF-96697                            174
006                  DHY-22445                              7
007                  WQM-46249                             11
008                  BCU-27839                             41
009                  GZN-34688                            196
010                  YLW-92835                             55
011                  GZN-34688                            153
012                  YLW-92835                            175
013                  LNC-68448                            197
014                  BMN-57337                             42
015                  GMS-89977                            104
016                  TXF-47848                            106
017                  HKZ-33728                            178
018                  BMN-57337                             25
019                  FNR-28782                            145
020                  KLA-57296                              8
021                  AAV-93236                             76
022                  BTG-65524                             15
023                  FNL-93857                            159
024                  KWH-94256                            192
025                  KWH-94256                             81
026                  HKZ-33728                            134
027                  NHP-43928                             49
028                  PHE-99329                             29
029                  TXF-47848                             43
030                  LNC-68448                            111
031                  QBZ-39849                            169
032                  URL-32968                            147
033                  QBD-79865                            114
034                  FNL-93857                             22
035                  PQJ-67335                            160
036                  FTD-84699                            168
037                  QBZ-39849                            186
038                  JYL-79355                            124
039                  SZA-87265                              1
040                  NXD-76943                             78
041                  CPU-63784                            179
042                  QBZ-39849                             75
043                  WBB-69295                             62
044                  TRM-27792                            109
045                  PZV-75529                             73
046                  NVE-67597                            108
047                  EPX-87469                             92
048                  FNL-93857                            135
049                  XBC-95594                            172
050                  VXR-68924                              2
051                  DHY-22445                            180
052                  PHE-99329                             82
053                  VJN-37687                            102
054                  JPJ-26459                             16
055                  ANR-65636                            129
056                  TQC-49936                             77
057                  HNB-76282                            165
058                  FTD-84699                             47
059                  TNA-63396                             39
060                  NWL-28282                             30
061                  PZV-75529                             74
062                  BTG-65524                             97
063                  YBD-67688                            141
064                  DAU-26394                            150
065                  VXR-68924                             89
066                  AAV-93236                             66
067                  EPX-87469                             46
068                  CQS-93978                            170
069                  YXL-38878                            122
070                  PWT-38779                            152
071                  FNL-93857                            188
072                  KDV-97563                            184
073                  NHP-43928                            126
074                  JVL-65247                            110
075                  WQB-83823                            127
076                  TNA-63396                             80
077                  HZF-45469                              5
078                  RLT-57887                             10
079                  LZL-53762                            183
080                  TNG-52497                             48
081                  KMP-52243                            161
082                  NHP-43928                             44
083                  VXR-68924                             33
084                  WQM-46249                             86
085                  LZL-53762                            148
086                  HZF-45469                            195
087                  RGZ-73449                            191
088                  GZN-34688                             23
089                  NVE-67597                             38
090                  CPU-63784                             85
091                  NXD-76943                            156
092                  PNF-53949                             91
093                  ANR-65636                            125
094                  ZKV-31415                             20
095                  LWR-78574                            151
096                  KQA-89952                              4
097                  WBB-69295                             51
098                  HCY-32686                            187
099                  GMS-89977                              6
100                  HVX-35287                             63
