User ID: 81461-39190

Trial                  Virus                             Units
---------------------------------------------------------------
001                  XJQ-35789                            122
002                  ZHA-83572                             52
003                  TLT-23593                             26
004                  DAU-26394                            127
005                  TNG-52497                            125
006                  BTG-65524                            197
007                  HNB-76282                             91
008                  BCU-27839                            162
009                  LZL-53762                             89
010                  TRM-27792                             90
011                  PQJ-67335                             70
012                  ZXB-54692                            131
013                  BTG-65524                            155
014                  AJA-56777                             10
015                  CPU-63784                            157
016                  FNL-93857                            163
017                  LWR-78574                            185
018                  ZXB-54692                             82
019                  CQS-93978                             11
020                  EFG-46945                              9
021                  ZKV-31415                            178
022                  GZN-34688                            120
023                  NHP-43928                            143
024                  AJA-56777                            200
025                  ZKV-31415                            171
026                  FNL-93857                            191
027                  ZPF-96697                             44
028                  BCU-27839                            124
029                  NVE-67597                            108
030                  DHY-22445                             79
031                  YLW-92835                             13
032                  GBK-45859                            103
033                  XJQ-35789                             83
034                  ZXB-54692                             71
035                  JPJ-26459                            121
036                  VJN-37687                             35
037                  WQM-46249                             27
038                  WMD-65834                            107
039                  ZPF-96697                             85
040                  RLT-57887                            182
041                  FYK-67999                            114
042                  DHY-22445                            147
043                  NWL-28282                             95
044                  JYL-79355                             37
045                  HCY-32686                            130
046                  TNX-51117                             63
047                  XKG-42573                            199
048                  DHY-22445                             98
049                  PHE-99329                             48
050                  ZKV-31415                            112
051                  NMA-58554                             24
052                  ZXB-54692                             41
053                  BMN-57337                             62
054                  BTN-83953                            119
055                  URL-32968                            174
056                  YLW-92835                              4
057                  WBB-69295                            194
058                  FNR-28782                             87
059                  GMS-89977                            113
060                  LWR-78574                             39
061                  JVL-65247                             67
062                  KLA-57296                              5
063                  AJA-56777                             74
064                  DHY-22445                             12
065                  LZL-53762                             17
066                  HCY-32686                             56
067                  BTN-83953                             30
068                  WQM-46249                             59
069                  FNR-28782                             22
070                  YBD-67688                            181
071                  GUJ-74444                             25
072                  URL-32968                            118
073                  HVE-32966                            195
074                  JPJ-26459                             81
075                  TNG-52497                            183
076                  PNF-53949                            138
077                  KMP-52243                             54
078                  TQC-49936                              8
079                  KDV-97563                            166
080                  FYK-67999                            111
081                  SZA-87265                             65
082                  FYK-67999                            105
083                  HVE-32966                            104
084                  AAV-93236                             31
085                  XRT-73276                            176
086                  AAV-93236                            175
087                  AAV-93236                             77
088                  ZPF-96697                            152
089                  FNL-93857                            189
090                  SPN-64546                            140
091                  DAU-26394                            165
092                  VXR-68924                            101
093                  RLT-57887                            184
094                  NWL-28282                            146
095                  NWL-28282                            106
096                  CCG-95482                            141
097                  VWM-74278                             47
098                  PZV-75529                              3
099                  LNC-68448                            177
100                  TQC-49936                             64
