User ID: 98705-63702

Trial                  Virus                             Units
---------------------------------------------------------------
001                  ZKV-31415                             43
002                  ZXB-54692                            100
003                  CQS-93978                            174
004                  TNG-52497                            126
005                  GMS-89977                            144
006                  CPU-63784                             11
007                  GMS-89977                            200
008                  VXR-68924                            186
009                  PZV-75529                            135
010                  SZA-87265                            191
011                  JPJ-26459                             57
012                  DAU-26394                             16
013                  HCY-32686                            199
014                  NMA-58554                            119
015                  CDC-36833                            131
016                  WQB-83823                             54
017                  WBB-69295                            162
018                  PZV-75529                            114
019                  JYL-79355                            115
020                  HCY-32686                             55
021                  NXD-76943                            113
022                  KWH-94256                              5
023                  CPU-63784                            137
024                  JVL-65247                             86
025                  VJN-37687                            130
026                  NWL-28282                            183
027                  TNX-51117                              9
028                  NVE-67597                            197
029                  KLA-57296                             15
030                  ANR-65636                            180
031                  JYL-79355                            157
032                  PNF-53949                            121
033                  YMA-56284                            108
034                  BTN-83953                             42
035                  GZN-34688                            145
036                  FNL-93857                            152
037                  KQA-89952                            128
038                  AJA-56777                             78
039                  ZXB-54692                             66
040                  XJQ-35789                              6
041                  SPN-64546                             29
042                  SPN-64546                             88
043                  TQC-49936                             65
044                  GBK-45859                             25
045                  WBB-69295                            110
046                  TXF-47848                             89
047                  LWR-78574                              3
048                  GBK-45859                             94
049                  GZN-34688                             24
050                  TNX-51117                             53
051                  VJN-37687                            188
052                  GBK-45859                            185
053                  TNG-52497                            175
054                  HKZ-33728                            118
055                  WQM-46249                             72
056                  YBD-67688                             18
057                  KLA-57296                             39
058                  QBD-79865                            189
059                  FYK-67999                             28
060                  LNC-68448                             48
061                  HCY-32686                            166
062                  ZXB-54692                             92
063                  LWR-78574                             45
064                  BTN-83953                            136
065                  VXR-68924                             38
066                  JPJ-26459                             70
067                  JVL-65247                            133
068                  GBK-45859                             87
069                  DAU-26394                             85
070                  AAV-93236                             52
071                  NVE-67597                             40
072                  FTD-84699                             35
073                  XKG-42573                             19
074                  BCU-27839                             91
075                  HCY-32686                             73
076                  CPU-63784                             46
077                  FNR-28782                            134
078                  BTG-65524                            181
079                  XJQ-35789                             23
080                  GMS-89977                            176
081                  EPX-87469                             50
082                  GZN-34688                             17
083                  PQJ-67335                            161
084                  GMS-89977                             27
085                  TNG-52497                            139
086                  KLA-57296                            148
087                  FTD-84699                              7
088                  KQA-89952                            195
089                  CCG-95482                             33
090                  VXR-68924                            105
091                  JYL-79355                             31
092                  KDV-97563                            158
093                  HVE-32966                              1
094                  BTG-65524                              8
095                  KDV-97563                             83
096                  DHY-22445                            198
097                  ZXB-54692                            129
098                  NWL-28282                             59
099                  TQC-49936                            156
100                  WMD-65834                             47
