User ID: 66537-00315

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TRM-27792                            109
002                  SPN-64546                            173
003                  WQM-46249                             20
004                  CQS-93978                             70
005                  VXR-68924                            117
006                  TNX-51117                            182
007                  PZV-75529                            100
008                  NHP-43928                             69
009                  XJQ-35789                            154
010                  AJA-56777                            119
011                  BTN-83953                             10
012                  VJN-37687                            143
013                  FYK-67999                             55
014                  VWM-74278                            124
015                  RGZ-73449                            178
016                  AJA-56777                            134
017                  GUJ-74444                             31
018                  SZA-87265                             57
019                  TNA-63396                             25
020                  GMS-89977                            198
021                  CDC-36833                            163
022                  ZPF-96697                              2
023                  YLW-92835                            193
024                  CDC-36833                             28
025                  BMN-57337                             29
026                  ANR-65636                            112
027                  TQC-49936                             87
028                  BCU-27839                            122
029                  TNX-51117                            174
030                  QBZ-39849                             74
031                  FTD-84699                            152
032                  FNR-28782                            149
033                  KDV-97563                             81
034                  GBK-45859                            129
035                  BCU-27839                            179
036                  KWH-94256                             32
037                  HCY-32686                             17
038                  QBD-79865                            170
039                  ZXB-54692                            123
040                  LWR-78574                            171
041                  FNR-28782                            140
042                  AJA-56777                            106
043                  SZA-87265                            104
044                  JVL-65247                            144
045                  YBD-67688                            175
046                  YXL-38878                             42
047                  YXL-38878                            153
048                  BCU-27839                             67
049                  QBD-79865                            199
050                  NMA-58554                             85
051                  VWM-74278                            101
052                  TQC-49936                            167
053                  QBD-79865                             18
054                  TNA-63396                            127
055                  QBD-79865                            191
056                  TNA-63396                             86
057                  YBD-67688                             43
058                  HVX-35287                            155
059                  GMS-89977                             88
060                  HNB-76282                            142
061                  CQS-93978                             47
062                  ZKV-31415                            196
063                  KLA-57296                            148
064                  YXL-38878                            107
065                  ZHA-83572                             56
066                  GBK-45859                             46
067                  YMA-56284                            186
068                  CCG-95482                            102
069                  TLT-23593                            137
070                  NVE-67597                             62
071                  GBK-45859                             73
072                  HCY-32686                             52
073                  NXD-76943                             33
074                  VXR-68924                            158
075                  JPJ-26459                            114
076                  YXL-38878                            125
077                  LWR-78574                            126
078                  RGZ-73449                            165
079                  CPU-63784                            194
080                  HZF-45469                            169
081                  KWH-94256                             68
082                  SZA-87265                             94
083                  NVE-67597                             34
084                  TNG-52497                            177
085                  YLW-92835                            116
086                  PHE-99329                            139
087                  HVX-35287                             37
088                  PNF-53949                            184
089                  FNL-93857                             75
090                  TRM-27792                             27
091                  PWT-38779                             41
092                  ZHA-83572                             77
093                  NWL-28282                            181
094                  BTN-83953                             40
095                  KLA-57296                             53
096                  VJN-37687                            162
097                  WQB-83823                            185
098                  URL-32968                             79
099                  PQJ-67335                             76
100                  TQC-49936                             64
