User ID: 41724-49926

Trial                  Virus                             Units
---------------------------------------------------------------
001                  RLT-57887                             23
002                  VWM-74278                             92
003                  TRM-27792                            111
004                  GZN-34688                            135
005                  WQM-46249                             82
006                  CDC-36833                             84
007                  WMD-65834                            131
008                  GUJ-74444                             21
009                  XBC-95594                             50
010                  EPX-87469                             15
011                  KQA-89952                             79
012                  LZL-53762                            118
013                  BTN-83953                             17
014                  WBB-69295                            195
015                  WBB-69295                            116
016                  BTN-83953                             64
017                  KDV-97563                            106
018                  RLT-57887                            120
019                  HVE-32966                            126
020                  SZA-87265                            177
021                  CQS-93978                            194
022                  ZXB-54692                            164
023                  HVX-35287                            183
024                  GZN-34688                            122
025                  YMA-56284                            185
026                  GMS-89977                            169
027                  NMA-58554                             61
028                  CDC-36833                             39
029                  TNG-52497                             87
030                  VWM-74278                             62
031                  KQA-89952                             24
032                  FYK-67999                            160
033                  BTG-65524                            137
034                  NXD-76943                             75
035                  RLT-57887                             36
036                  XKG-42573                             56
037                  ZXB-54692                            124
038                  LZL-53762                            190
039                  ZKV-31415                            163
040                  DHY-22445                            112
041                  KLA-57296                            182
042                  TLT-23593                             27
043                  HCY-32686                            168
044                  TNA-63396                             88
045                  CCG-95482                             98
046                  VXR-68924                             95
047                  ANR-65636                              1
048                  JYL-79355                             34
049                  NVE-67597                            150
050                  VXR-68924                            105
051                  HZF-45469                             94
052                  QBD-79865                            161
053                  SPN-64546                             20
054                  NHP-43928                             19
055                  CCG-95482                            115
056                  NMA-58554                            127
057                  JYL-79355                             66
058                  KLA-57296                            100
059                  CPU-63784                             41
060                  GZN-34688                            174
061                  ZXB-54692                              6
062                  RGZ-73449                             13
063                  KMP-52243                             69
064                  HVX-35287                             37
065                  ZXB-54692                             85
066                  GBK-45859                            123
067                  PHE-99329                             46
068                  ANR-65636                            191
069                  RGZ-73449                            133
070                  KMP-52243                             22
071                  WBB-69295                             68
072                  EFG-46945                            145
073                  VXR-68924                            117
074                  XBC-95594                            189
075                  LWR-78574                             35
076                  TNA-63396                             80
077                  CDC-36833                             59
078                  ZHA-83572                            154
079                  KQA-89952                            192
080                  XRT-73276                             97
081                  FNL-93857                            173
082                  QBD-79865                            134
083                  PZV-75529                             28
084                  ANR-65636                              2
085                  NWL-28282                            129
086                  XBC-95594                             32
087                  AJA-56777                             60
088                  VWM-74278                             81
089                  GBK-45859                             49
090                  CPU-63784                              8
091                  QBD-79865                            170
092                  VXR-68924                             18
093                  BCU-27839                            156
094                  SZA-87265                            125
095                  GUJ-74444                              9
096                  JVL-65247                            104
097                  YXL-38878                              3
098                  EFG-46945                             10
099                  EPX-87469                            162
100                  LZL-53762                            136
