User ID: 95100-67620

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HCY-32686                            164
002                  EPX-87469                            161
003                  TNA-63396                            147
004                  HNB-76282                             93
005                  XKG-42573                            172
006                  PHE-99329                            159
007                  HKZ-33728                            119
008                  HVE-32966                             84
009                  ZHA-83572                             72
010                  ANR-65636                             53
011                  CDC-36833                            126
012                  PWT-38779                             75
013                  XJQ-35789                             92
014                  TLT-23593                            179
015                  WMD-65834                             37
016                  GBK-45859                             71
017                  RGZ-73449                             99
018                  VJN-37687                             74
019                  XKG-42573                             58
020                  LWR-78574                            118
021                  BMN-57337                            135
022                  VWM-74278                            150
023                  KQA-89952                            171
024                  YMA-56284                             46
025                  PQJ-67335                              4
026                  KWH-94256                            167
027                  KDV-97563                            139
028                  PWT-38779                            105
029                  KDV-97563                             41
030                  KQA-89952                             38
031                  PZV-75529                            195
032                  PZV-75529                             30
033                  NVE-67597                             32
034                  URL-32968                            180
035                  DAU-26394                            166
036                  SZA-87265                            152
037                  KDV-97563                            127
038                  TRM-27792                             45
039                  GUJ-74444                            107
040                  VWM-74278                            183
041                  WBB-69295                             27
042                  NMA-58554                            144
043                  VWM-74278                            190
044                  PNF-53949                             57
045                  EFG-46945                             36
046                  GMS-89977                             31
047                  LNC-68448                             81
048                  BTN-83953                            182
049                  NWL-28282                             91
050                  AAV-93236                             10
051                  HZF-45469                            156
052                  LNC-68448                            136
053                  YXL-38878                             55
054                  NWL-28282                             90
055                  ZXB-54692                             85
056                  VJN-37687                             14
057                  WQB-83823                            115
058                  GBK-45859                             80
059                  ANR-65636                             35
060                  AAV-93236                            181
061                  TNG-52497                            194
062                  EFG-46945                             24
063                  BCU-27839                              7
064                  SPN-64546                              8
065                  PHE-99329                            148
066                  NVE-67597                             47
067                  PWT-38779                            157
068                  LNC-68448                            137
069                  SZA-87265                             42
070                  WQB-83823                            133
071                  RLT-57887                             52
072                  GUJ-74444                             33
073                  TRM-27792                            163
074                  HVE-32966                             66
075                  KDV-97563                            128
076                  RGZ-73449                             78
077                  FYK-67999                            169
078                  TNA-63396                             40
079                  PQJ-67335                            124
080                  JVL-65247                            131
081                  CDC-36833                             73
082                  CDC-36833                             98
083                  KLA-57296                            185
084                  KQA-89952                             69
085                  EFG-46945                            109
086                  TNA-63396                             29
087                  KMP-52243                            160
088                  PNF-53949                             67
089                  PHE-99329                            143
090                  LWR-78574                             77
091                  CQS-93978                             50
092                  XBC-95594                             25
093                  WMD-65834                              1
094                  EPX-87469                             62
095                  JVL-65247                            191
096                  XJQ-35789                            110
097                  URL-32968                            101
098                  YMA-56284                             64
099                  LNC-68448                             23
100                  WMD-65834                             88
