User ID: 17047-26190

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PZV-75529                            115
002                  AAV-93236                            102
003                  NXD-76943                            118
004                  KMP-52243                            125
005                  FTD-84699                              6
006                  NVE-67597                            171
007                  KQA-89952                             56
008                  ZKV-31415                             98
009                  TNX-51117                             33
010                  LNC-68448                            158
011                  VXR-68924                            193
012                  ZPF-96697                             40
013                  HKZ-33728                             71
014                  DAU-26394                            134
015                  HVX-35287                            128
016                  LZL-53762                            145
017                  BTG-65524                            120
018                  BTN-83953                             50
019                  DHY-22445                             97
020                  JYL-79355                             14
021                  KDV-97563                            194
022                  FNR-28782                            126
023                  RGZ-73449                            165
024                  GBK-45859                             75
025                  LZL-53762                             60
026                  TRM-27792                            160
027                  GUJ-74444                             87
028                  TNG-52497                            162
029                  VXR-68924                            151
030                  CQS-93978                            167
031                  AAV-93236                            166
032                  JVL-65247                             46
033                  DHY-22445                             26
034                  ZPF-96697                             36
035                  HVX-35287                             80
036                  QBD-79865                             90
037                  QBD-79865                             91
038                  HZF-45469                             45
039                  RLT-57887                             17
040                  WQM-46249                             18
041                  PZV-75529                             78
042                  KDV-97563                             57
043                  NXD-76943                              1
044                  HZF-45469                             65
045                  KDV-97563                            187
046                  RLT-57887                            178
047                  WQM-46249                             25
048                  TNA-63396                             59
049                  VXR-68924                            190
050                  VWM-74278                             28
051                  AJA-56777                             95
052                  HNB-76282                            140
053                  EFG-46945                            139
054                  FNL-93857                            191
055                  KMP-52243                            172
056                  BCU-27839                            159
057                  JVL-65247                             72
058                  KDV-97563                             37
059                  PWT-38779                            188
060                  BTN-83953                            154
061                  PWT-38779                             66
062                  VXR-68924                             83
063                  YMA-56284                            110
064                  NWL-28282                            143
065                  XRT-73276                            173
066                  PWT-38779                             23
067                  CQS-93978                            148
068                  KLA-57296                            186
069                  YBD-67688                            116
070                  BCU-27839                             94
071                  LWR-78574                             93
072                  TNG-52497                            103
073                  XKG-42573                             34
074                  WQM-46249                            150
075                  ZKV-31415                             19
076                  FTD-84699                            153
077                  NHP-43928                             10
078                  TRM-27792                             41
079                  XBC-95594                             61
080                  PHE-99329                            111
081                  URL-32968                             64
082                  FNR-28782                            117
083                  RLT-57887                            113
084                  TNX-51117                             76
085                  WQM-46249                             42
086                  JYL-79355                             63
087                  ZKV-31415                            114
088                  PNF-53949                            100
089                  YMA-56284                            175
090                  GUJ-74444                            184
091                  GMS-89977                            149
092                  VJN-37687                            141
093                  CQS-93978                            106
094                  TNA-63396                              9
095                  NWL-28282                            137
096                  LZL-53762                             85
097                  QBZ-39849                             67
098                  PNF-53949                             44
099                  YLW-92835                             27
100                  PWT-38779                            195
