User ID: 52477-58076

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HVE-32966                            141
002                  DHY-22445                            165
003                  TXF-47848                            148
004                  VWM-74278                             85
005                  FTD-84699                             51
006                  NHP-43928                             66
007                  NHP-43928                            156
008                  GBK-45859                            179
009                  CDC-36833                            134
010                  SZA-87265                             57
011                  ANR-65636                            169
012                  HKZ-33728                             86
013                  GMS-89977                            195
014                  LNC-68448                            166
015                  LNC-68448                             13
016                  WBB-69295                            177
017                  CCG-95482                            188
018                  ZHA-83572                            110
019                  ZHA-83572                             75
020                  NVE-67597                             98
021                  XKG-42573                             34
022                  VXR-68924                            143
023                  JPJ-26459                            116
024                  PZV-75529                             18
025                  KLA-57296                            126
026                  HKZ-33728                             95
027                  PNF-53949                            162
028                  TNA-63396                            194
029                  HVE-32966                              8
030                  BTG-65524                             26
031                  GZN-34688                              4
032                  GBK-45859                             93
033                  XJQ-35789                              1
034                  FNR-28782                            160
035                  HNB-76282                              2
036                  KLA-57296                             99
037                  QBD-79865                             63
038                  ZPF-96697                              5
039                  BMN-57337                              6
040                  VJN-37687                            133
041                  WBB-69295                            189
042                  VJN-37687                             61
043                  ZKV-31415                             97
044                  KLA-57296                             17
045                  FTD-84699                             74
046                  ZKV-31415                             46
047                  HCY-32686                             44
048                  ZXB-54692                            135
049                  HCY-32686                             20
050                  XKG-42573                            191
051                  FYK-67999                            121
052                  YXL-38878                             28
053                  YMA-56284                            100
054                  BTN-83953                             64
055                  GBK-45859                             62
056                  AJA-56777                            146
057                  QBD-79865                            200
058                  TLT-23593                             84
059                  WBB-69295                             39
060                  ZHA-83572                            132
061                  TXF-47848                             78
062                  CQS-93978                            158
063                  PQJ-67335                            182
064                  ZHA-83572                            192
065                  LNC-68448                            120
066                  HNB-76282                             70
067                  YXL-38878                             36
068                  FTD-84699                            129
069                  HNB-76282                            185
070                  KLA-57296                             87
071                  WQM-46249                             45
072                  XKG-42573                            108
073                  ZKV-31415                             47
074                  ANR-65636                            114
075                  HKZ-33728                            193
076                  PWT-38779                             76
077                  ZHA-83572                            199
078                  QBZ-39849                             90
079                  ZXB-54692                             14
080                  JVL-65247                            167
081                  WQM-46249                             77
082                  YBD-67688                            151
083                  VJN-37687                             27
084                  GBK-45859                            154
085                  AAV-93236                            159
086                  DAU-26394                            173
087                  EPX-87469                             94
088                  NXD-76943                            184
089                  WMD-65834                            187
090                  NVE-67597                             89
091                  RGZ-73449                            117
092                  TLT-23593                            186
093                  VJN-37687                             32
094                  AJA-56777                            130
095                  HCY-32686                             55
096                  URL-32968                             16
097                  XKG-42573                             80
098                  LZL-53762                             31
099                  CCG-95482                             48
100                  YMA-56284                              7
