User ID: 79398-24475

Trial                  Virus                             Units
---------------------------------------------------------------
001                  YBD-67688                             86
002                  PNF-53949                            159
003                  ZHA-83572                             21
004                  ZXB-54692                             52
005                  KMP-52243                             67
006                  BTN-83953                             47
007                  FNR-28782                             46
008                  XJQ-35789                            133
009                  FNL-93857                            132
010                  GMS-89977                             23
011                  URL-32968                             11
012                  WQM-46249                             40
013                  YMA-56284                            188
014                  FYK-67999                            116
015                  NMA-58554                             32
016                  PHE-99329                             59
017                  LNC-68448                            166
018                  KLA-57296                            128
019                  ZKV-31415                              7
020                  KLA-57296                            194
021                  WQM-46249                             62
022                  HNB-76282                             72
023                  QBD-79865                            145
024                  FNR-28782                              3
025                  YXL-38878                             75
026                  NWL-28282                            110
027                  YXL-38878                             91
028                  HCY-32686                             79
029                  VXR-68924                              8
030                  HVE-32966                             44
031                  CCG-95482                            146
032                  HVE-32966                            127
033                  ZXB-54692                            120
034                  PNF-53949                             92
035                  SZA-87265                             94
036                  PHE-99329                            105
037                  KWH-94256                             76
038                  VXR-68924                            129
039                  ANR-65636                            171
040                  GUJ-74444                            168
041                  ZKV-31415                             64
042                  HVE-32966                            134
043                  JPJ-26459                            131
044                  TLT-23593                             55
045                  XRT-73276                             83
046                  YXL-38878                            176
047                  WBB-69295                            160
048                  BTN-83953                             24
049                  TRM-27792                            138
050                  NHP-43928                             39
051                  LNC-68448                            103
052                  HZF-45469                             10
053                  GMS-89977                             38
054                  YLW-92835                             65
055                  KQA-89952                             27
056                  EFG-46945                             30
057                  RGZ-73449                            197
058                  VWM-74278                            170
059                  PWT-38779                            154
060                  PQJ-67335                             54
061                  NMA-58554                              5
062                  VXR-68924                             34
063                  XBC-95594                            173
064                  XRT-73276                            101
065                  PWT-38779                            108
066                  BMN-57337                             66
067                  GZN-34688                            157
068                  AJA-56777                            158
069                  HVX-35287                            184
070                  VXR-68924                            104
071                  SZA-87265                            162
072                  RLT-57887                            164
073                  WQB-83823                            109
074                  FTD-84699                            121
075                  PHE-99329                            190
076                  QBZ-39849                            161
077                  XBC-95594                            196
078                  QBZ-39849                             37
079                  XRT-73276                             26
080                  DAU-26394                            174
081                  BTN-83953                             36
082                  HVX-35287                             93
083                  GUJ-74444                              6
084                  PQJ-67335                             96
085                  VXR-68924                             60
086                  ZKV-31415                            106
087                  CDC-36833                            112
088                  PWT-38779                            122
089                  URL-32968                              2
090                  RLT-57887                             51
091                  HVX-35287                             13
092                  HNB-76282                            126
093                  LZL-53762                            102
094                  TNX-51117                            124
095                  HCY-32686                             42
096                  NHP-43928                             78
097                  TQC-49936                            149
098                  XJQ-35789                             25
099                  NXD-76943                            156
100                  DAU-26394                             41
