User ID: 30575-77344

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PZV-75529                             19
002                  JPJ-26459                            139
003                  PQJ-67335                            134
004                  TXF-47848                             93
005                  KDV-97563                            122
006                  NWL-28282                            132
007                  ZXB-54692                            156
008                  BCU-27839                              5
009                  FYK-67999                             99
010                  FYK-67999                            115
011                  FTD-84699                             29
012                  GZN-34688                            185
013                  HKZ-33728                            197
014                  ZPF-96697                            124
015                  RLT-57887                             28
016                  JVL-65247                             45
017                  CDC-36833                            155
018                  VWM-74278                             38
019                  YLW-92835                             53
020                  TRM-27792                            160
021                  TRM-27792                            180
022                  WQB-83823                            158
023                  CCG-95482                            128
024                  CDC-36833                             12
025                  CQS-93978                            198
026                  CQS-93978                            196
027                  TLT-23593                             56
028                  NMA-58554                             35
029                  HVE-32966                            169
030                  TNX-51117                              4
031                  PQJ-67335                             27
032                  FNR-28782                            161
033                  FNR-28782                            138
034                  WMD-65834                            150
035                  PNF-53949                             74
036                  TRM-27792                            117
037                  TXF-47848                             79
038                  ZKV-31415                             15
039                  RLT-57887                            135
040                  QBZ-39849                            190
041                  ZXB-54692                            166
042                  VJN-37687                            200
043                  DAU-26394                            159
044                  EPX-87469                              7
045                  NWL-28282                            148
046                  ANR-65636                             76
047                  CQS-93978                            182
048                  YXL-38878                             24
049                  PQJ-67335                             98
050                  TXF-47848                            140
051                  FNL-93857                            162
052                  NVE-67597                             55
053                  LNC-68448                             40
054                  ZHA-83572                             22
055                  FTD-84699                            143
056                  LNC-68448                            168
057                  NXD-76943                             67
058                  BCU-27839                            113
059                  WBB-69295                             80
060                  CDC-36833                            108
061                  SZA-87265                            105
062                  HVE-32966                            100
063                  ZKV-31415                             50
064                  XRT-73276                             20
065                  DHY-22445                              8
066                  FTD-84699                             41
067                  XRT-73276                             68
068                  CDC-36833                             11
069                  QBD-79865                            126
070                  YBD-67688                            116
071                  RGZ-73449                            103
072                  CDC-36833                             77
073                  VJN-37687                             43
074                  PQJ-67335                            172
075                  ZXB-54692                            125
076                  FNL-93857                            142
077                  KDV-97563                            179
078                  PNF-53949                             91
079                  FTD-84699                             88
080                  NMA-58554                            184
081                  LNC-68448                             14
082                  KQA-89952                            195
083                  SZA-87265                            189
084                  XJQ-35789                             44
085                  ZPF-96697                            110
086                  EPX-87469                            141
087                  YLW-92835                              1
088                  CQS-93978                            194
089                  TLT-23593                             72
090                  YBD-67688                            147
091                  LNC-68448                            145
092                  CCG-95482                             81
093                  BCU-27839                             42
094                  KQA-89952                            102
095                  XRT-73276                             30
096                  KLA-57296                             33
097                  YBD-67688                            177
098                  RLT-57887                            112
099                  CQS-93978                            106
100                  ZHA-83572                             84
