User ID: 30768-54860

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CCG-95482                             81
002                  RGZ-73449                             37
003                  YLW-92835                             76
004                  XJQ-35789                             77
005                  EPX-87469                            130
006                  YMA-56284                             14
007                  FNR-28782                             41
008                  BMN-57337                             26
009                  FNL-93857                              6
010                  VJN-37687                            193
011                  LZL-53762                            136
012                  AJA-56777                             72
013                  LZL-53762                            133
014                  HVE-32966                            143
015                  FNR-28782                            176
016                  GMS-89977                            125
017                  VWM-74278                            109
018                  FTD-84699                             90
019                  TNG-52497                            195
020                  KMP-52243                            163
021                  GMS-89977                            128
022                  TNA-63396                            135
023                  ZKV-31415                            102
024                  HCY-32686                             89
025                  ANR-65636                            105
026                  ZHA-83572                            120
027                  QBD-79865                            155
028                  FNR-28782                            190
029                  GMS-89977                            117
030                  CPU-63784                             51
031                  RGZ-73449                             91
032                  ANR-65636                              4
033                  XBC-95594                            149
034                  HVX-35287                              3
035                  JYL-79355                             42
036                  EFG-46945                            188
037                  PQJ-67335                             60
038                  KQA-89952                             11
039                  KWH-94256                            146
040                  CQS-93978                             40
041                  WBB-69295                            114
042                  NXD-76943                             80
043                  TNX-51117                            118
044                  XBC-95594                            173
045                  TLT-23593                            121
046                  TXF-47848                            108
047                  JPJ-26459                             33
048                  HVE-32966                            140
049                  YMA-56284                             25
050                  WQB-83823                             66
051                  NMA-58554                            165
052                  QBZ-39849                            181
053                  XBC-95594                             75
054                  HVX-35287                            168
055                  DAU-26394                            112
056                  XKG-42573                            111
057                  VXR-68924                            175
058                  CQS-93978                             94
059                  YMA-56284                             86
060                  GZN-34688                             17
061                  TQC-49936                             92
062                  PWT-38779                            196
063                  SPN-64546                            129
064                  TQC-49936                            152
065                  ANR-65636                            161
066                  PQJ-67335                             69
067                  ZXB-54692                            197
068                  YLW-92835                             46
069                  JYL-79355                             35
070                  XJQ-35789                             87
071                  TXF-47848                            157
072                  TXF-47848                            182
073                  XRT-73276                            132
074                  AJA-56777                            162
075                  SPN-64546                             20
076                  FNR-28782                             88
077                  JPJ-26459                             34
078                  FNL-93857                             57
079                  WQM-46249                             74
080                  PHE-99329                             28
081                  JPJ-26459                            167
082                  TNA-63396                            158
083                  HKZ-33728                             78
084                  XRT-73276                             52
085                  PZV-75529                             65
086                  XBC-95594                            106
087                  TQC-49936                            145
088                  JYL-79355                              7
089                  FNR-28782                            169
090                  PQJ-67335                            192
091                  TNA-63396                             85
092                  TNA-63396                             36
093                  YXL-38878                             96
094                  LWR-78574                             71
095                  CPU-63784                            170
096                  JYL-79355                             67
097                  TNX-51117                             62
098                  CQS-93978                              8
099                  KLA-57296                             18
100                  RLT-57887                             53
