User ID: 28739-05933

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TNX-51117                            108
002                  PWT-38779                            149
003                  NXD-76943                             65
004                  GMS-89977                            154
005                  CQS-93978                             37
006                  NWL-28282                            125
007                  WMD-65834                             59
008                  TNG-52497                            186
009                  ZPF-96697                              4
010                  CPU-63784                             69
011                  NXD-76943                            107
012                  TNG-52497                            102
013                  ZPF-96697                             36
014                  XRT-73276                              2
015                  GZN-34688                             71
016                  KMP-52243                             89
017                  TNG-52497                             80
018                  LWR-78574                            129
019                  HVE-32966                             72
020                  PWT-38779                            113
021                  KMP-52243                             29
022                  FTD-84699                            197
023                  ZPF-96697                            194
024                  CCG-95482                            175
025                  VJN-37687                            114
026                  VWM-74278                            182
027                  NVE-67597                            112
028                  BCU-27839                            138
029                  FNR-28782                            142
030                  TLT-23593                             16
031                  BTN-83953                             67
032                  TXF-47848                             61
033                  TRM-27792                             95
034                  NVE-67597                              7
035                  ZXB-54692                            131
036                  CQS-93978                             97
037                  HVE-32966                             28
038                  RGZ-73449                             58
039                  WBB-69295                             62
040                  ANR-65636                             99
041                  SZA-87265                            100
042                  QBZ-39849                             82
043                  KDV-97563                            127
044                  KDV-97563                             86
045                  WMD-65834                            156
046                  WQB-83823                             98
047                  YMA-56284                            189
048                  FNL-93857                             96
049                  KLA-57296                            145
050                  GUJ-74444                            116
051                  BTG-65524                            187
052                  TNX-51117                             56
053                  LWR-78574                             10
054                  CQS-93978                            150
055                  NVE-67597                             47
056                  TNX-51117                             60
057                  WMD-65834                            143
058                  LZL-53762                            176
059                  NVE-67597                            193
060                  RGZ-73449                            101
061                  GZN-34688                            161
062                  YBD-67688                            188
063                  FNL-93857                            134
064                  JVL-65247                            137
065                  HKZ-33728                            130
066                  HCY-32686                             45
067                  LZL-53762                             12
068                  HVE-32966                             40
069                  KQA-89952                             41
070                  QBZ-39849                             13
071                  XBC-95594                             25
072                  CQS-93978                             64
073                  BTN-83953                            172
074                  QBZ-39849                            139
075                  PHE-99329                            164
076                  YMA-56284                            177
077                  KLA-57296                            155
078                  CCG-95482                             77
079                  YMA-56284                             48
080                  JVL-65247                             90
081                  DHY-22445                            163
082                  DAU-26394                             46
083                  EPX-87469                            105
084                  FNR-28782                             87
085                  LZL-53762                             79
086                  LZL-53762                              8
087                  KWH-94256                            170
088                  VJN-37687                            132
089                  TNG-52497                            153
090                  HVE-32966                             51
091                  EFG-46945                            157
092                  AJA-56777                             63
093                  CCG-95482                            199
094                  WMD-65834                            123
095                  AAV-93236                            195
096                  ZPF-96697                              9
097                  PNF-53949                            148
098                  DAU-26394                            141
099                  FYK-67999                            190
100                  ANR-65636                            179
