User ID: 69652-84270

Trial                  Virus                             Units
---------------------------------------------------------------
001                  FYK-67999                             38
002                  SPN-64546                              5
003                  WQB-83823                            159
004                  XRT-73276                            107
005                  XJQ-35789                            163
006                  LZL-53762                             26
007                  FYK-67999                            143
008                  LNC-68448                             84
009                  NVE-67597                             36
010                  GZN-34688                            112
011                  BCU-27839                             22
012                  XJQ-35789                            184
013                  ANR-65636                             91
014                  LZL-53762                            187
015                  AJA-56777                             54
016                  YBD-67688                            175
017                  TLT-23593                             15
018                  RGZ-73449                              9
019                  SPN-64546                             97
020                  SZA-87265                            147
021                  RGZ-73449                             68
022                  BMN-57337                             33
023                  AAV-93236                            183
024                  NWL-28282                            117
025                  SPN-64546                            141
026                  TNG-52497                             30
027                  NMA-58554                             31
028                  NWL-28282                            101
029                  TQC-49936                             75
030                  PWT-38779                             78
031                  ZKV-31415                            135
032                  YXL-38878                             52
033                  LZL-53762                            106
034                  KLA-57296                              1
035                  VWM-74278                            140
036                  EFG-46945                             72
037                  TRM-27792                             10
038                  BMN-57337                            152
039                  CQS-93978                             23
040                  TQC-49936                             90
041                  YLW-92835                             25
042                  PZV-75529                            160
043                  HVE-32966                            195
044                  LZL-53762                            173
045                  AAV-93236                             37
046                  NMA-58554                             88
047                  HKZ-33728                            179
048                  TNA-63396                             29
049                  PWT-38779                            192
050                  GMS-89977                             61
051                  TNX-51117                            133
052                  XJQ-35789                             89
053                  NXD-76943                              2
054                  WQM-46249                             49
055                  TNG-52497                            151
056                  YXL-38878                            124
057                  JVL-65247                            196
058                  DHY-22445                            102
059                  HKZ-33728                            154
060                  FTD-84699                             20
061                  VXR-68924                              4
062                  BCU-27839                             11
063                  TNA-63396                            118
064                  HCY-32686                             42
065                  QBD-79865                             60
066                  NVE-67597                            108
067                  TNG-52497                            105
068                  FNR-28782                            103
069                  LWR-78574                            186
070                  FTD-84699                            198
071                  TNG-52497                             46
072                  TLT-23593                             57
073                  KMP-52243                             79
074                  RGZ-73449                            120
075                  TLT-23593                            134
076                  PQJ-67335                            191
077                  XKG-42573                            190
078                  HCY-32686                             59
079                  HZF-45469                            161
080                  WBB-69295                            114
081                  AAV-93236                             48
082                  LZL-53762                            153
083                  QBD-79865                             35
084                  XRT-73276                             92
085                  HNB-76282                             50
086                  HVX-35287                            150
087                  RLT-57887                            110
088                  RLT-57887                              8
089                  PWT-38779                            176
090                  QBD-79865                             32
091                  HKZ-33728                             63
092                  NVE-67597                             53
093                  TXF-47848                            199
094                  TNX-51117                            182
095                  TXF-47848                            168
096                  ZKV-31415                            113
097                  DHY-22445                             98
098                  YMA-56284                            122
099                  DHY-22445                            149
100                  QBZ-39849                             86
