User ID: 52403-12854

Trial                  Virus                             Units
---------------------------------------------------------------
001                  JVL-65247                            135
002                  NVE-67597                            192
003                  HZF-45469                            123
004                  ZKV-31415                            158
005                  HVE-32966                             91
006                  VWM-74278                            195
007                  NHP-43928                            166
008                  GUJ-74444                             72
009                  KWH-94256                            144
010                  XKG-42573                            170
011                  TRM-27792                            171
012                  YLW-92835                            173
013                  ZPF-96697                             69
014                  XKG-42573                             67
015                  CPU-63784                              5
016                  VXR-68924                            153
017                  TNA-63396                            145
018                  QBZ-39849                            167
019                  JYL-79355                            169
020                  TXF-47848                            164
021                  AAV-93236                            162
022                  WQB-83823                             81
023                  XJQ-35789                             38
024                  TNG-52497                             15
025                  FTD-84699                             13
026                  ZKV-31415                             48
027                  TLT-23593                            101
028                  KWH-94256                            165
029                  FNR-28782                            138
030                  GBK-45859                            187
031                  ANR-65636                            185
032                  PQJ-67335                            186
033                  YLW-92835                             73
034                  XJQ-35789                            154
035                  AAV-93236                            142
036                  KWH-94256                             35
037                  LNC-68448                            141
038                  AJA-56777                             92
039                  KWH-94256                            199
040                  NXD-76943                            127
041                  JPJ-26459                             34
042                  PQJ-67335                             20
043                  FNL-93857                             89
044                  QBD-79865                             16
045                  NXD-76943                            110
046                  GMS-89977                             21
047                  YLW-92835                             30
048                  GBK-45859                             71
049                  PZV-75529                              2
050                  BTN-83953                             98
051                  KMP-52243                            194
052                  SZA-87265                             63
053                  PHE-99329                            160
054                  TQC-49936                            148
055                  PNF-53949                            102
056                  CPU-63784                             25
057                  TNA-63396                             52
058                  LWR-78574                            140
059                  CPU-63784                            106
060                  AAV-93236                            137
061                  VJN-37687                            151
062                  NVE-67597                             80
063                  ZHA-83572                            163
064                  PNF-53949                             19
065                  RLT-57887                             49
066                  LNC-68448                             79
067                  CCG-95482                             26
068                  KMP-52243                             54
069                  PHE-99329                            108
070                  FNL-93857                             28
071                  KWH-94256                            180
072                  NXD-76943                            113
073                  KWH-94256                            117
074                  KMP-52243                            168
075                  HNB-76282                            103
076                  KLA-57296                            150
077                  QBZ-39849                             45
078                  GBK-45859                            128
079                  NXD-76943                            133
080                  WMD-65834                            104
081                  FNR-28782                            155
082                  NMA-58554                             55
083                  WBB-69295                            115
084                  BMN-57337                              7
085                  TQC-49936                            107
086                  YLW-92835                            125
087                  VWM-74278                             32
088                  LZL-53762                             10
089                  JYL-79355                            136
090                  HVE-32966                            118
091                  FYK-67999                             40
092                  NXD-76943                              9
093                  TNX-51117                             11
094                  YBD-67688                            152
095                  XRT-73276                             53
096                  FTD-84699                             17
097                  YLW-92835                             14
098                  KWH-94256                             58
099                  URL-32968                             31
100                  AJA-56777                              4
