User ID: 10592-17540

Trial                  Virus                             Units
---------------------------------------------------------------
001                  ZPF-96697                            147
002                  TNA-63396                            161
003                  ZXB-54692                             49
004                  HNB-76282                            130
005                  PHE-99329                            150
006                  LZL-53762                            100
007                  GZN-34688                             79
008                  HVX-35287                            142
009                  JVL-65247                             50
010                  YMA-56284                            173
011                  CDC-36833                            195
012                  TRM-27792                            128
013                  GMS-89977                             70
014                  TNX-51117                             59
015                  WQM-46249                            194
016                  HNB-76282                              8
017                  URL-32968                            152
018                  PQJ-67335                            103
019                  LWR-78574                             19
020                  JPJ-26459                            125
021                  ZHA-83572                             63
022                  EPX-87469                             45
023                  XKG-42573                            106
024                  GUJ-74444                            169
025                  JVL-65247                            101
026                  YXL-38878                            186
027                  FTD-84699                            164
028                  FNL-93857                             83
029                  YBD-67688                            132
030                  RGZ-73449                             27
031                  QBZ-39849                             36
032                  ZHA-83572                            177
033                  YXL-38878                             24
034                  ZPF-96697                            141
035                  FYK-67999                              9
036                  ZKV-31415                            171
037                  GBK-45859                             96
038                  PZV-75529                             90
039                  FNR-28782                             68
040                  TQC-49936                             52
041                  GMS-89977                            112
042                  PQJ-67335                             77
043                  NHP-43928                            124
044                  GZN-34688                            137
045                  FYK-67999                            126
046                  YMA-56284                            133
047                  ZKV-31415                              5
048                  VJN-37687                             74
049                  GBK-45859                            193
050                  RGZ-73449                            151
051                  TNG-52497                            140
052                  ANR-65636                             37
053                  CCG-95482                             76
054                  HVE-32966                            189
055                  GZN-34688                            110
056                  FNR-28782                            149
057                  NHP-43928                            198
058                  VXR-68924                             46
059                  QBZ-39849                            116
060                  XJQ-35789                            163
061                  PHE-99329                             73
062                  ANR-65636                             12
063                  NXD-76943                            148
064                  HNB-76282                            199
065                  KMP-52243                             54
066                  ZXB-54692                             53
067                  GZN-34688                             42
068                  FNL-93857                             48
069                  HNB-76282                              1
070                  BMN-57337                            160
071                  QBD-79865                             25
072                  XKG-42573                             87
073                  KMP-52243                              3
074                  BTN-83953                             80
075                  FYK-67999                            180
076                  YBD-67688                            143
077                  BMN-57337                             13
078                  TNG-52497                             15
079                  TRM-27792                            156
080                  GZN-34688                             39
081                  LWR-78574                            122
082                  TRM-27792                             84
083                  FNL-93857                             95
084                  ZKV-31415                            105
085                  KDV-97563                              7
086                  PNF-53949                            108
087                  NVE-67597                            158
088                  BTG-65524                            118
089                  AAV-93236                            200
090                  PWT-38779                             10
091                  LZL-53762                            159
092                  WBB-69295                             26
093                  GUJ-74444                             75
094                  TRM-27792                             62
095                  AJA-56777                             65
096                  HZF-45469                            107
097                  YXL-38878                            181
098                  TNG-52497                            138
099                  NWL-28282                            139
100                  KWH-94256                             43
