User ID: 65279-11004

Trial                  Virus                             Units
---------------------------------------------------------------
001                  AJA-56777                            164
002                  WQB-83823                             14
003                  CDC-36833                            107
004                  LNC-68448                             49
005                  KLA-57296                            146
006                  TRM-27792                            154
007                  RLT-57887                            116
008                  DAU-26394                             19
009                  XKG-42573                            111
010                  BTN-83953                            144
011                  KQA-89952                              4
012                  LWR-78574                            128
013                  EFG-46945                            186
014                  VWM-74278                             45
015                  ZKV-31415                             61
016                  NXD-76943                            159
017                  BTN-83953                            136
018                  BMN-57337                             48
019                  GMS-89977                            113
020                  WQM-46249                             50
021                  KWH-94256                            170
022                  EFG-46945                             54
023                  URL-32968                            114
024                  JYL-79355                            184
025                  QBD-79865                             40
026                  WBB-69295                             73
027                  YXL-38878                            151
028                  KDV-97563                             39
029                  WBB-69295                            117
030                  AAV-93236                             11
031                  WMD-65834                             35
032                  QBZ-39849                            162
033                  EPX-87469                             57
034                  YBD-67688                             30
035                  NHP-43928                             65
036                  FNR-28782                             24
037                  YXL-38878                            149
038                  GBK-45859                            131
039                  NWL-28282                            134
040                  GZN-34688                            191
041                  KQA-89952                            189
042                  ZKV-31415                            130
043                  NXD-76943                            124
044                  TRM-27792                             25
045                  TNX-51117                            165
046                  XJQ-35789                            110
047                  KLA-57296                            133
048                  PWT-38779                             43
049                  LZL-53762                             68
050                  HZF-45469                            161
051                  BTN-83953                             72
052                  WBB-69295                             42
053                  GUJ-74444                             96
054                  YBD-67688                            176
055                  GZN-34688                             41
056                  WQB-83823                            181
057                  GMS-89977                            187
058                  PZV-75529                             66
059                  URL-32968                            127
060                  GMS-89977                             28
061                  WQB-83823                            185
062                  WQB-83823                            109
063                  WBB-69295                             77
064                  ZXB-54692                              2
065                  VWM-74278                             80
066                  GMS-89977                              7
067                  JVL-65247                             52
068                  VXR-68924                              5
069                  KLA-57296                            193
070                  WQB-83823                             37
071                  CPU-63784                            115
072                  PQJ-67335                            118
073                  FTD-84699                             59
074                  GUJ-74444                            105
075                  BMN-57337                            103
076                  YMA-56284                             38
077                  FNL-93857                             89
078                  DHY-22445                             98
079                  JYL-79355                             88
080                  CCG-95482                             79
081                  XKG-42573                              1
082                  ZPF-96697                             94
083                  NXD-76943                            169
084                  HCY-32686                             97
085                  YXL-38878                            153
086                  HKZ-33728                            120
087                  QBD-79865                            168
088                  GUJ-74444                            100
089                  BMN-57337                              8
090                  TNA-63396                             99
091                  PNF-53949                            122
092                  TNA-63396                             76
093                  XKG-42573                            182
094                  YMA-56284                             36
095                  EFG-46945                            156
096                  PWT-38779                            123
097                  YXL-38878                            106
098                  CDC-36833                            195
099                  LZL-53762                            148
100                  CDC-36833                             10
