User ID: 98514-63691

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WMD-65834                             53
002                  QBZ-39849                             81
003                  CPU-63784                            122
004                  CDC-36833                             16
005                  NMA-58554                             27
006                  TLT-23593                            123
007                  ZHA-83572                             21
008                  HKZ-33728                             60
009                  WQB-83823                            176
010                  KQA-89952                             63
011                  TXF-47848                             78
012                  ZXB-54692                            150
013                  CCG-95482                            140
014                  TNA-63396                            111
015                  YLW-92835                             12
016                  BTN-83953                             86
017                  YXL-38878                            175
018                  PQJ-67335                            119
019                  HVX-35287                             38
020                  CQS-93978                             85
021                  YXL-38878                            114
022                  ZPF-96697                            149
023                  KDV-97563                            127
024                  JVL-65247                            165
025                  ZPF-96697                            108
026                  BTN-83953                            101
027                  WMD-65834                             65
028                  KMP-52243                            121
029                  CPU-63784                            112
030                  PZV-75529                             84
031                  SZA-87265                            169
032                  BTG-65524                            158
033                  WQM-46249                            133
034                  FNL-93857                            141
035                  HVE-32966                             98
036                  JPJ-26459                            136
037                  GMS-89977                             18
038                  TNX-51117                             75
039                  GZN-34688                             42
040                  JYL-79355                             40
041                  GZN-34688                            126
042                  NXD-76943                             29
043                  GZN-34688                            170
044                  ANR-65636                             46
045                  YMA-56284                             87
046                  HVX-35287                             49
047                  RLT-57887                            181
048                  HNB-76282                             37
049                  YLW-92835                            130
050                  TLT-23593                            188
051                  SZA-87265                             77
052                  GMS-89977                            115
053                  BTG-65524                            186
054                  EPX-87469                            135
055                  XRT-73276                             56
056                  TLT-23593                            116
057                  KLA-57296                             79
058                  ANR-65636                            105
059                  XJQ-35789                             71
060                  CCG-95482                             58
061                  VJN-37687                              5
062                  WBB-69295                             62
063                  HNB-76282                             82
064                  FYK-67999                             24
065                  KMP-52243                            138
066                  XKG-42573                             72
067                  KLA-57296                            117
068                  ANR-65636                            197
069                  KWH-94256                             68
070                  QBD-79865                            124
071                  HVX-35287                            200
072                  RGZ-73449                             90
073                  HZF-45469                              8
074                  FNL-93857                              7
075                  CPU-63784                             36
076                  AJA-56777                             25
077                  KLA-57296                            134
078                  FNL-93857                            173
079                  GZN-34688                            159
080                  FNR-28782                              4
081                  VXR-68924                            168
082                  GZN-34688                             33
083                  PQJ-67335                            198
084                  FYK-67999                            155
085                  CPU-63784                            189
086                  TNG-52497                             22
087                  HZF-45469                            166
088                  TLT-23593                            178
089                  TNG-52497                            187
090                  AAV-93236                            190
091                  VXR-68924                            100
092                  LNC-68448                             89
093                  WQM-46249                             54
094                  YBD-67688                            191
095                  HKZ-33728                             74
096                  HZF-45469                             23
097                  TNA-63396                            137
098                  VWM-74278                            113
099                  HKZ-33728                             80
100                  YBD-67688                             83
