User ID: 19372-45052

Trial                  Virus                             Units
---------------------------------------------------------------
001                  QBD-79865                             16
002                  FTD-84699                             82
003                  BTG-65524                             28
004                  PHE-99329                            177
005                  PZV-75529                             76
006                  XRT-73276                             98
007                  GBK-45859                             20
008                  TQC-49936                             86
009                  NWL-28282                            185
010                  WQB-83823                             41
011                  YLW-92835                            146
012                  PHE-99329                            121
013                  QBZ-39849                            174
014                  LNC-68448                             96
015                  LZL-53762                            136
016                  GBK-45859                             92
017                  FNL-93857                             73
018                  YBD-67688                            159
019                  FNR-28782                            190
020                  HKZ-33728                             19
021                  WQB-83823                             91
022                  TNG-52497                            180
023                  GMS-89977                             24
024                  HCY-32686                            102
025                  LWR-78574                            103
026                  EFG-46945                             70
027                  XRT-73276                             15
028                  FNL-93857                              9
029                  HVX-35287                             26
030                  SZA-87265                             57
031                  EPX-87469                            192
032                  LNC-68448                             33
033                  TNG-52497                             50
034                  TNA-63396                             83
035                  FTD-84699                             56
036                  YMA-56284                            128
037                  NVE-67597                             42
038                  ZHA-83572                            101
039                  QBD-79865                            164
040                  CPU-63784                             62
041                  LNC-68448                            167
042                  CCG-95482                            178
043                  PHE-99329                             12
044                  HCY-32686                             67
045                  AJA-56777                            107
046                  PZV-75529                              3
047                  WQM-46249                             13
048                  SPN-64546                            171
049                  GBK-45859                            196
050                  HZF-45469                             90
051                  PZV-75529                             37
052                  XBC-95594                             18
053                  DHY-22445                             69
054                  ZKV-31415                             81
055                  PZV-75529                            125
056                  XBC-95594                             59
057                  PHE-99329                             21
058                  BTN-83953                             45
059                  DAU-26394                             77
060                  VWM-74278                             63
061                  XBC-95594                            147
062                  DAU-26394                            193
063                  QBD-79865                            117
064                  KLA-57296                            108
065                  NXD-76943                             95
066                  PWT-38779                             23
067                  ZHA-83572                             31
068                  TXF-47848                             84
069                  AAV-93236                            187
070                  NWL-28282                            120
071                  RGZ-73449                             10
072                  TLT-23593                            194
073                  KQA-89952                             66
074                  BMN-57337                             40
075                  VWM-74278                              6
076                  XBC-95594                            105
077                  BCU-27839                            133
078                  RGZ-73449                            176
079                  YLW-92835                            135
080                  JYL-79355                            148
081                  DHY-22445                            139
082                  AJA-56777                             38
083                  WMD-65834                            143
084                  TNA-63396                             65
085                  WMD-65834                            199
086                  ZKV-31415                             29
087                  TLT-23593                            111
088                  TRM-27792                            106
089                  PZV-75529                            186
090                  FNL-93857                             53
091                  URL-32968                            158
092                  URL-32968                            134
093                  TNG-52497                             87
094                  QBD-79865                              8
095                  PHE-99329                             22
096                  LZL-53762                            118
097                  YMA-56284                             85
098                  JPJ-26459                            104
099                  KLA-57296                            113
100                  PNF-53949                            152
