User ID: 23694-74441

Trial                  Virus                             Units
---------------------------------------------------------------
001                  VJN-37687                             77
002                  SZA-87265                             69
003                  TNX-51117                            141
004                  PWT-38779                            105
005                  BTN-83953                             56
006                  XJQ-35789                             59
007                  NHP-43928                            127
008                  VWM-74278                             89
009                  WBB-69295                            197
010                  YMA-56284                            115
011                  CCG-95482                             46
012                  KMP-52243                            140
013                  QBZ-39849                              9
014                  HNB-76282                            198
015                  HVX-35287                            153
016                  ZXB-54692                             16
017                  NVE-67597                             17
018                  DHY-22445                            129
019                  HVX-35287                             94
020                  FTD-84699                            146
021                  BCU-27839                             18
022                  YLW-92835                             26
023                  ZXB-54692                             67
024                  KLA-57296                            193
025                  EFG-46945                            178
026                  CQS-93978                             43
027                  KLA-57296                            131
028                  VXR-68924                             58
029                  ZKV-31415                            134
030                  ZPF-96697                             95
031                  WQM-46249                             50
032                  XKG-42573                            132
033                  NHP-43928                            159
034                  CDC-36833                             48
035                  LZL-53762                            148
036                  KWH-94256                             81
037                  ZPF-96697                             44
038                  XRT-73276                            156
039                  XBC-95594                              7
040                  RLT-57887                             12
041                  JPJ-26459                            149
042                  WBB-69295                             73
043                  EPX-87469                            190
044                  JYL-79355                            173
045                  PQJ-67335                             51
046                  HVX-35287                            145
047                  DAU-26394                            120
048                  SZA-87265                             86
049                  JYL-79355                             45
050                  CCG-95482                            152
051                  XKG-42573                             22
052                  FNR-28782                              3
053                  TQC-49936                            195
054                  NVE-67597                              2
055                  NXD-76943                             39
056                  FNR-28782                             27
057                  XJQ-35789                            163
058                  XRT-73276                             29
059                  TLT-23593                            102
060                  LZL-53762                            165
061                  KQA-89952                            101
062                  GMS-89977                             98
063                  WQM-46249                             41
064                  GBK-45859                            167
065                  NWL-28282                            122
066                  AJA-56777                            111
067                  BCU-27839                             32
068                  CQS-93978                            185
069                  GUJ-74444                             13
070                  KDV-97563                            166
071                  KMP-52243                             49
072                  WQB-83823                             35
073                  ZKV-31415                             31
074                  XRT-73276                            130
075                  XKG-42573                            169
076                  QBD-79865                             75
077                  HVX-35287                            135
078                  PZV-75529                            118
079                  BMN-57337                            114
080                  LZL-53762                            133
081                  TNG-52497                             97
082                  DHY-22445                             53
083                  ZHA-83572                            181
084                  TNG-52497                            162
085                  NMA-58554                            121
086                  CPU-63784                            147
087                  TRM-27792                             63
088                  VWM-74278                              5
089                  HCY-32686                            164
090                  VXR-68924                            161
091                  VWM-74278                             85
092                  KLA-57296                             64
093                  YBD-67688                             24
094                  KQA-89952                            177
095                  YXL-38878                            139
096                  HVE-32966                             47
097                  KWH-94256                             60
098                  HCY-32686                             80
099                  WBB-69295                             52
100                  TLT-23593                             36
