User ID: 32489-57596

Trial                  Virus                             Units
---------------------------------------------------------------
001                  VXR-68924                             50
002                  PNF-53949                            197
003                  HVX-35287                             45
004                  HNB-76282                            120
005                  PHE-99329                            101
006                  CQS-93978                             35
007                  FYK-67999                            192
008                  TNX-51117                             47
009                  TNG-52497                            167
010                  CDC-36833                              9
011                  PQJ-67335                             32
012                  LZL-53762                             24
013                  HKZ-33728                             62
014                  LNC-68448                            126
015                  TRM-27792                            121
016                  TNA-63396                             92
017                  KLA-57296                             57
018                  ZXB-54692                             43
019                  LNC-68448                             21
020                  HVE-32966                            176
021                  CQS-93978                            170
022                  DHY-22445                            102
023                  NVE-67597                             51
024                  EFG-46945                             60
025                  VWM-74278                            143
026                  WMD-65834                             46
027                  AAV-93236                            117
028                  YLW-92835                             97
029                  TQC-49936                            171
030                  LWR-78574                             65
031                  PZV-75529                             68
032                  FNL-93857                            130
033                  PNF-53949                            160
034                  JYL-79355                             74
035                  TNA-63396                             99
036                  ZKV-31415                             31
037                  AAV-93236                            148
038                  ZXB-54692                             78
039                  JVL-65247                             15
040                  XKG-42573                             61
041                  HNB-76282                            157
042                  FNR-28782                            100
043                  LZL-53762                            112
044                  KLA-57296                             56
045                  CDC-36833                            173
046                  HVE-32966                            190
047                  HVE-32966                             12
048                  HNB-76282                             37
049                  YBD-67688                            116
050                  JYL-79355                            107
051                  BMN-57337                            158
052                  XJQ-35789                             85
053                  XBC-95594                            104
054                  ZXB-54692                              8
055                  TLT-23593                            131
056                  SZA-87265                             95
057                  ANR-65636                            199
058                  NWL-28282                            105
059                  TNG-52497                            108
060                  PNF-53949                            139
061                  VXR-68924                            183
062                  BTG-65524                            142
063                  TNX-51117                            163
064                  GBK-45859                            133
065                  RLT-57887                             27
066                  WQB-83823                            196
067                  WBB-69295                             59
068                  YMA-56284                             53
069                  LNC-68448                             84
070                  JPJ-26459                            179
071                  KLA-57296                            155
072                  ZPF-96697                             14
073                  ZKV-31415                            146
074                  WBB-69295                            145
075                  NXD-76943                             54
076                  EPX-87469                              7
077                  KMP-52243                             93
078                  XBC-95594                             98
079                  PWT-38779                            161
080                  LZL-53762                            162
081                  TXF-47848                            127
082                  QBZ-39849                            118
083                  RLT-57887                            191
084                  KQA-89952                             33
085                  DHY-22445                             55
086                  NWL-28282                             41
087                  YMA-56284                             88
088                  PNF-53949                            106
089                  BMN-57337                             81
090                  HKZ-33728                             49
091                  WBB-69295                             72
092                  YXL-38878                             80
093                  WQM-46249                             86
094                  VJN-37687                             26
095                  WBB-69295                            182
096                  VJN-37687                            178
097                  TXF-47848                             36
098                  JYL-79355                             75
099                  XBC-95594                             22
100                  KWH-94256                             69
