User ID: 35036-62750

Trial                  Virus                             Units
---------------------------------------------------------------
001                  AAV-93236                             10
002                  DHY-22445                            151
003                  GMS-89977                            166
004                  EPX-87469                             58
005                  XKG-42573                             99
006                  JVL-65247                            186
007                  YXL-38878                            112
008                  NHP-43928                            198
009                  TRM-27792                            140
010                  HKZ-33728                            108
011                  BMN-57337                             79
012                  XBC-95594                            200
013                  RLT-57887                            102
014                  BMN-57337                            165
015                  AAV-93236                            116
016                  LNC-68448                            195
017                  NWL-28282                             69
018                  GMS-89977                            182
019                  TNA-63396                            143
020                  ANR-65636                             20
021                  KWH-94256                            171
022                  AJA-56777                            113
023                  WQM-46249                            124
024                  PNF-53949                            194
025                  HVE-32966                             57
026                  BMN-57337                            101
027                  TNX-51117                              2
028                  VWM-74278                             48
029                  WBB-69295                             28
030                  RLT-57887                            131
031                  WQM-46249                            137
032                  NWL-28282                            148
033                  XRT-73276                            174
034                  WQB-83823                             95
035                  ZKV-31415                            109
036                  YLW-92835                             83
037                  XRT-73276                             91
038                  WQB-83823                            141
039                  NVE-67597                             60
040                  YBD-67688                            118
041                  ANR-65636                             39
042                  NHP-43928                             31
043                  GBK-45859                            159
044                  BTN-83953                             97
045                  BMN-57337                             93
046                  QBZ-39849                              5
047                  BMN-57337                            153
048                  FTD-84699                             29
049                  TNX-51117                             42
050                  EFG-46945                             64
051                  ZPF-96697                            133
052                  TNG-52497                             44
053                  BTN-83953                            107
054                  LWR-78574                            184
055                  DHY-22445                            173
056                  FYK-67999                             85
057                  FYK-67999                             22
058                  BTG-65524                             68
059                  BTN-83953                             41
060                  XRT-73276                            185
061                  LWR-78574                             80
062                  TNA-63396                             98
063                  FNL-93857                            149
064                  YMA-56284                            179
065                  TRM-27792                             73
066                  BTN-83953                            189
067                  BCU-27839                             62
068                  RGZ-73449                            144
069                  XKG-42573                             45
070                  SZA-87265                             47
071                  EFG-46945                             67
072                  NWL-28282                            178
073                  YMA-56284                            168
074                  NWL-28282                              9
075                  NHP-43928                             36
076                  WMD-65834                             81
077                  TXF-47848                            111
078                  HNB-76282                            192
079                  HZF-45469                            196
080                  YXL-38878                            115
081                  DAU-26394                            176
082                  CCG-95482                            120
083                  PNF-53949                             53
084                  BMN-57337                            146
085                  FTD-84699                             82
086                  ZXB-54692                             26
087                  PQJ-67335                            169
088                  HKZ-33728                            119
089                  QBD-79865                              6
090                  NWL-28282                            193
091                  GBK-45859                              1
092                  JYL-79355                            155
093                  GZN-34688                             90
094                  BMN-57337                             40
095                  NXD-76943                             30
096                  HVX-35287                             87
097                  PNF-53949                            180
098                  GUJ-74444                            152
099                  YMA-56284                             35
100                  TNX-51117                             51
