User ID: 28404-21206

Trial                  Virus                             Units
---------------------------------------------------------------
001                  EFG-46945                            137
002                  KQA-89952                            111
003                  LWR-78574                              9
004                  HCY-32686                             66
005                  AAV-93236                            149
006                  CPU-63784                            179
007                  WQM-46249                            186
008                  EFG-46945                              8
009                  ANR-65636                             82
010                  ZXB-54692                             50
011                  RLT-57887                            129
012                  XBC-95594                             20
013                  PQJ-67335                             56
014                  EPX-87469                            123
015                  EFG-46945                            168
016                  JPJ-26459                            183
017                  KMP-52243                             16
018                  BTG-65524                            157
019                  FNL-93857                             86
020                  ZPF-96697                             94
021                  GBK-45859                             30
022                  KLA-57296                              6
023                  GMS-89977                            132
024                  AAV-93236                             17
025                  BCU-27839                             63
026                  ANR-65636                            148
027                  EFG-46945                             21
028                  WBB-69295                            199
029                  KDV-97563                              2
030                  GBK-45859                             23
031                  JPJ-26459                            182
032                  FTD-84699                             15
033                  FNR-28782                            174
034                  NWL-28282                            136
035                  ZHA-83572                            161
036                  FYK-67999                             48
037                  VWM-74278                             54
038                  WQM-46249                             59
039                  NXD-76943                            167
040                  LZL-53762                            163
041                  NXD-76943                            119
042                  LWR-78574                            159
043                  EPX-87469                            192
044                  TNA-63396                             91
045                  XKG-42573                            101
046                  ZPF-96697                            107
047                  HVX-35287                            190
048                  BCU-27839                            110
049                  XBC-95594                            146
050                  PNF-53949                            127
051                  WBB-69295                            125
052                  NMA-58554                              1
053                  RLT-57887                             18
054                  TNA-63396                            170
055                  LNC-68448                            166
056                  EFG-46945                            164
057                  GMS-89977                             90
058                  JPJ-26459                             27
059                  PZV-75529                            195
060                  HNB-76282                             81
061                  LWR-78574                            106
062                  BTN-83953                            115
063                  TXF-47848                            173
064                  XKG-42573                            158
065                  URL-32968                            178
066                  JYL-79355                             80
067                  FTD-84699                            113
068                  AJA-56777                             37
069                  HKZ-33728                             26
070                  BMN-57337                             35
071                  ZKV-31415                             29
072                  GMS-89977                            175
073                  TXF-47848                             68
074                  HVE-32966                             69
075                  ZKV-31415                             67
076                  BTG-65524                            147
077                  BTG-65524                            121
078                  ANR-65636                            139
079                  BTN-83953                             44
080                  FYK-67999                             75
081                  XBC-95594                            151
082                  TLT-23593                             53
083                  LZL-53762                             22
084                  YLW-92835                            197
085                  TXF-47848                            188
086                  HNB-76282                            138
087                  QBZ-39849                             89
088                  PHE-99329                             62
089                  TXF-47848                            142
090                  NWL-28282                             98
091                  FYK-67999                            120
092                  EPX-87469                            143
093                  NHP-43928                             96
094                  AAV-93236                            144
095                  WQB-83823                            200
096                  LWR-78574                            152
097                  GMS-89977                             65
098                  JPJ-26459                             61
099                  QBD-79865                             38
100                  XKG-42573                            140
