User ID: 68589-74799

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TLT-23593                            119
002                  GUJ-74444                            156
003                  TNG-52497                             43
004                  EFG-46945                            134
005                  NWL-28282                             99
006                  LNC-68448                            182
007                  GUJ-74444                            121
008                  YBD-67688                             26
009                  BMN-57337                              5
010                  ZKV-31415                            180
011                  FYK-67999                            196
012                  XKG-42573                             20
013                  EFG-46945                            169
014                  ANR-65636                            170
015                  GMS-89977                            143
016                  LNC-68448                            200
017                  PNF-53949                            108
018                  HKZ-33728                            161
019                  CPU-63784                            163
020                  PZV-75529                            116
021                  HCY-32686                             90
022                  PQJ-67335                             75
023                  HCY-32686                             35
024                  GBK-45859                            127
025                  KQA-89952                            165
026                  FYK-67999                             68
027                  TXF-47848                              3
028                  JPJ-26459                              6
029                  YBD-67688                            157
030                  TNG-52497                            125
031                  CCG-95482                            195
032                  GMS-89977                            131
033                  CPU-63784                              9
034                  AJA-56777                             25
035                  PNF-53949                             91
036                  GBK-45859                            142
037                  VWM-74278                             53
038                  WMD-65834                            122
039                  YMA-56284                            199
040                  TNA-63396                            124
041                  ZKV-31415                             55
042                  JPJ-26459                             36
043                  WQM-46249                             19
044                  FNR-28782                             79
045                  HVX-35287                            114
046                  CQS-93978                            154
047                  DHY-22445                             40
048                  RLT-57887                            115
049                  TQC-49936                             38
050                  BMN-57337                            152
051                  SPN-64546                            103
052                  YMA-56284                              4
053                  WMD-65834                            190
054                  RGZ-73449                            197
055                  PQJ-67335                             88
056                  VJN-37687                              1
057                  TQC-49936                            126
058                  WMD-65834                             14
059                  HKZ-33728                            109
060                  XBC-95594                             76
061                  KLA-57296                            189
062                  GZN-34688                            175
063                  YBD-67688                             51
064                  SPN-64546                            173
065                  HNB-76282                             64
066                  KMP-52243                             22
067                  NXD-76943                             97
068                  LZL-53762                            100
069                  JPJ-26459                             89
070                  NVE-67597                             10
071                  NHP-43928                            146
072                  GBK-45859                            179
073                  AJA-56777                            187
074                  ZHA-83572                            136
075                  KMP-52243                             37
076                  ZHA-83572                            162
077                  EFG-46945                             46
078                  AAV-93236                            177
079                  VWM-74278                            129
080                  YXL-38878                            139
081                  YMA-56284                             83
082                  BTG-65524                              8
083                  BTG-65524                            135
084                  BCU-27839                            151
085                  YXL-38878                            164
086                  TQC-49936                            160
087                  CPU-63784                             42
088                  GBK-45859                            110
089                  TQC-49936                             45
090                  YLW-92835                            176
091                  NVE-67597                             50
092                  KDV-97563                             95
093                  PZV-75529                            104
094                  TRM-27792                             78
095                  NMA-58554                             72
096                  LZL-53762                             62
097                  XBC-95594                             84
098                  EPX-87469                             63
099                  GZN-34688                            155
100                  TLT-23593                             18
