User ID: 90411-88509

Trial                  Virus                             Units
---------------------------------------------------------------
001                  HZF-45469                            117
002                  YXL-38878                             56
003                  TXF-47848                            138
004                  VJN-37687                            106
005                  QBZ-39849                            105
006                  FTD-84699                            176
007                  DHY-22445                            134
008                  HZF-45469                              4
009                  XKG-42573                             52
010                  GZN-34688                             59
011                  EPX-87469                             94
012                  PWT-38779                             78
013                  FYK-67999                            156
014                  SPN-64546                              1
015                  BTN-83953                            198
016                  PHE-99329                            121
017                  RGZ-73449                             27
018                  QBZ-39849                            137
019                  LNC-68448                             76
020                  YBD-67688                             26
021                  JPJ-26459                             12
022                  FNR-28782                            115
023                  XBC-95594                            128
024                  GBK-45859                             14
025                  ZKV-31415                             13
026                  NMA-58554                              9
027                  KMP-52243                             57
028                  QBD-79865                            141
029                  TNA-63396                            173
030                  HCY-32686                            177
031                  HCY-32686                            149
032                  YLW-92835                            133
033                  HNB-76282                            174
034                  BTN-83953                            199
035                  SPN-64546                            100
036                  AAV-93236                            196
037                  SPN-64546                             87
038                  VXR-68924                             39
039                  YLW-92835                            200
040                  JYL-79355                            136
041                  SZA-87265                             81
042                  QBD-79865                            178
043                  FYK-67999                             84
044                  ZXB-54692                              7
045                  PQJ-67335                            161
046                  ZXB-54692                            182
047                  VJN-37687                              2
048                  TNX-51117                             79
049                  HVX-35287                              8
050                  RGZ-73449                              5
051                  URL-32968                            125
052                  LNC-68448                            193
053                  QBZ-39849                             43
054                  FYK-67999                             42
055                  HVE-32966                            194
056                  WQM-46249                            142
057                  JVL-65247                             51
058                  AJA-56777                             32
059                  NMA-58554                            129
060                  LWR-78574                             90
061                  FYK-67999                            135
062                  KQA-89952                             29
063                  WQB-83823                             24
064                  TXF-47848                             69
065                  PZV-75529                            197
066                  AAV-93236                             61
067                  JPJ-26459                            103
068                  NWL-28282                             54
069                  KWH-94256                             10
070                  URL-32968                             63
071                  FNR-28782                             47
072                  TNG-52497                            172
073                  KQA-89952                             35
074                  YLW-92835                             31
075                  BTN-83953                             33
076                  TRM-27792                            107
077                  ANR-65636                             93
078                  TNA-63396                            102
079                  TXF-47848                            112
080                  WQM-46249                            163
081                  NXD-76943                            183
082                  PNF-53949                             15
083                  WQB-83823                            160
084                  HKZ-33728                             23
085                  KWH-94256                            116
086                  XRT-73276                            139
087                  LZL-53762                             97
088                  VWM-74278                            145
089                  TNA-63396                             72
090                  ANR-65636                            157
091                  JVL-65247                             20
092                  SPN-64546                             77
093                  PWT-38779                             11
094                  NWL-28282                            132
095                  JPJ-26459                            185
096                  AJA-56777                            159
097                  JVL-65247                            111
098                  CCG-95482                            150
099                  NVE-67597                            148
100                  HZF-45469                              6
