User ID: 35036-62750

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TRM-27792                             53
002                  HVE-32966                            122
003                  GZN-34688                             10
004                  QBZ-39849                             33
005                  QBD-79865                             71
006                  HCY-32686                            135
007                  TRM-27792                            184
008                  AAV-93236                             95
009                  BTG-65524                             44
010                  AJA-56777                             70
011                  FYK-67999                            193
012                  ZKV-31415                            125
013                  PHE-99329                             30
014                  KWH-94256                            157
015                  WMD-65834                            191
016                  BCU-27839                            102
017                  KLA-57296                             40
018                  XJQ-35789                            153
019                  NWL-28282                             85
020                  HKZ-33728                            177
021                  AAV-93236                            138
022                  WMD-65834                             48
023                  TNA-63396                            174
024                  WQM-46249                            120
025                  HNB-76282                             58
026                  ANR-65636                             38
027                  URL-32968                            139
028                  WQM-46249                             16
029                  WMD-65834                             35
030                  NWL-28282                            107
031                  CCG-95482                             94
032                  YXL-38878                             42
033                  TLT-23593                            147
034                  ZHA-83572                             67
035                  RGZ-73449                            105
036                  HCY-32686                             47
037                  NMA-58554                            187
038                  GUJ-74444                            132
039                  CQS-93978                             43
040                  WQB-83823                             61
041                  TNG-52497                            156
042                  NVE-67597                             81
043                  CCG-95482                            116
044                  TQC-49936                             62
045                  ZPF-96697                            198
046                  LNC-68448                            199
047                  RGZ-73449                            163
048                  TNX-51117                            133
049                  SPN-64546                             78
050                  JVL-65247                             74
051                  BTG-65524                            121
052                  HZF-45469                             83
053                  TXF-47848                             49
054                  YLW-92835                            101
055                  WQM-46249                             59
056                  NHP-43928                             45
057                  FNR-28782                            159
058                  XBC-95594                            114
059                  TXF-47848                            172
060                  LNC-68448                             27
061                  PNF-53949                              6
062                  SZA-87265                            148
063                  JVL-65247                            108
064                  ZXB-54692                             72
065                  ZHA-83572                            128
066                  HCY-32686                             99
067                  HVE-32966                              8
068                  PNF-53949                            143
069                  YBD-67688                            161
070                  QBD-79865                             92
071                  FNL-93857                             25
072                  LZL-53762                            123
073                  DAU-26394                            119
074                  CPU-63784                            149
075                  ANR-65636                            192
076                  WQM-46249                             52
077                  TQC-49936                             29
078                  YLW-92835                            126
079                  HNB-76282                            112
080                  WQB-83823                            196
081                  YMA-56284                            130
082                  BTN-83953                             54
083                  BMN-57337                            100
084                  KMP-52243                            160
085                  CCG-95482                             69
086                  FTD-84699                              9
087                  EPX-87469                             46
088                  YXL-38878                             80
089                  HNB-76282                            178
090                  DAU-26394                             37
091                  SPN-64546                            173
092                  KMP-52243                            179
093                  NMA-58554                             86
094                  DHY-22445                              1
095                  PNF-53949                            129
096                  GBK-45859                             77
097                  RGZ-73449                             97
098                  TNA-63396                            155
099                  AAV-93236                             21
100                  JPJ-26459                            151
