User ID: 93445-12424

Trial                  Virus                             Units
---------------------------------------------------------------
001                  SPN-64546                             36
002                  FTD-84699                            192
003                  FTD-84699                            160
004                  FTD-84699                             55
005                  LZL-53762                             77
006                  FTD-84699                            118
007                  JVL-65247                            104
008                  KWH-94256                            148
009                  EFG-46945                            161
010                  URL-32968                             27
011                  CQS-93978                              8
012                  ZKV-31415                             17
013                  JVL-65247                             19
014                  KMP-52243                            140
015                  WBB-69295                             40
016                  CCG-95482                             99
017                  SZA-87265                             44
018                  GUJ-74444                             95
019                  FYK-67999                             29
020                  BTN-83953                            121
021                  XJQ-35789                             12
022                  PWT-38779                             51
023                  BTG-65524                            173
024                  YXL-38878                             25
025                  SZA-87265                            159
026                  YBD-67688                            112
027                  HVX-35287                             13
028                  TNA-63396                            117
029                  TLT-23593                             90
030                  BCU-27839                            129
031                  EFG-46945                            177
032                  SPN-64546                             34
033                  CDC-36833                            146
034                  CQS-93978                             94
035                  LZL-53762                            135
036                  YMA-56284                             47
037                  ZKV-31415                             68
038                  ZKV-31415                            164
039                  SZA-87265                            133
040                  YMA-56284                             83
041                  KDV-97563                            172
042                  GMS-89977                             35
043                  EFG-46945                            110
044                  YBD-67688                             78
045                  XRT-73276                            127
046                  TNX-51117                             65
047                  ZXB-54692                             82
048                  HCY-32686                             48
049                  VJN-37687                             72
050                  TLT-23593                            150
051                  AJA-56777                              1
052                  LZL-53762                            181
053                  ZHA-83572                            193
054                  DAU-26394                              5
055                  TNA-63396                             80
056                  LWR-78574                            114
057                  SZA-87265                             31
058                  KLA-57296                            178
059                  PWT-38779                            198
060                  JVL-65247                            116
061                  NWL-28282                             92
062                  ZPF-96697                            102
063                  XJQ-35789                             54
064                  HCY-32686                             23
065                  TRM-27792                            124
066                  CCG-95482                             76
067                  XJQ-35789                             62
068                  BTN-83953                            120
069                  KWH-94256                            182
070                  YXL-38878                              6
071                  AAV-93236                            185
072                  NWL-28282                            190
073                  CQS-93978                             61
074                  XJQ-35789                            144
075                  YXL-38878                            180
076                  URL-32968                             91
077                  URL-32968                            176
078                  PZV-75529                             43
079                  VJN-37687                            122
080                  PHE-99329                            130
081                  XBC-95594                            167
082                  NXD-76943                            152
083                  RLT-57887                            155
084                  FNR-28782                            188
085                  TRM-27792                             49
086                  YMA-56284                             98
087                  NMA-58554                            138
088                  GUJ-74444                             63
089                  URL-32968                             30
090                  EFG-46945                             64
091                  CCG-95482                             15
092                  NVE-67597                              2
093                  NXD-76943                            105
094                  KMP-52243                             11
095                  URL-32968                            141
096                  KMP-52243                            183
097                  NXD-76943                            156
098                  HZF-45469                            200
099                  HVX-35287                             89
100                  GUJ-74444                             79
