User ID: 87049-31809

Trial                  Virus                             Units
---------------------------------------------------------------
001                  DAU-26394                            112
002                  VJN-37687                            187
003                  SPN-64546                            127
004                  JVL-65247                             49
005                  NHP-43928                             81
006                  GMS-89977                            171
007                  PHE-99329                            173
008                  HCY-32686                            133
009                  HNB-76282                             97
010                  KQA-89952                             29
011                  FYK-67999                             51
012                  TXF-47848                            149
013                  EPX-87469                            164
014                  BTN-83953                            186
015                  JYL-79355                             74
016                  NHP-43928                            142
017                  HKZ-33728                             14
018                  DHY-22445                            113
019                  TNX-51117                            136
020                  WMD-65834                             42
021                  WBB-69295                            185
022                  ZKV-31415                            178
023                  FNL-93857                             56
024                  URL-32968                            152
025                  TRM-27792                              6
026                  VJN-37687                             55
027                  NHP-43928                            200
028                  NVE-67597                             63
029                  HZF-45469                            124
030                  TRM-27792                            139
031                  WQB-83823                             38
032                  YMA-56284                             79
033                  PNF-53949                            104
034                  KLA-57296                             75
035                  NXD-76943                            195
036                  CPU-63784                             77
037                  PQJ-67335                             76
038                  XJQ-35789                            161
039                  JPJ-26459                              5
040                  FYK-67999                            151
041                  ANR-65636                             48
042                  NXD-76943                             84
043                  KQA-89952                              3
044                  WBB-69295                            101
045                  NVE-67597                            188
046                  KMP-52243                             91
047                  DAU-26394                            145
048                  XBC-95594                            111
049                  PQJ-67335                             52
050                  WQB-83823                            157
051                  HVX-35287                             94
052                  HKZ-33728                              1
053                  AAV-93236                             23
054                  ANR-65636                             92
055                  WQM-46249                             26
056                  WQB-83823                            197
057                  BTG-65524                            174
058                  QBZ-39849                            153
059                  FNR-28782                             25
060                  TLT-23593                             99
061                  FTD-84699                             11
062                  NMA-58554                            183
063                  TRM-27792                            193
064                  FNR-28782                             70
065                  CDC-36833                            131
066                  BTG-65524                             54
067                  JPJ-26459                            175
068                  CCG-95482                             85
069                  NMA-58554                            159
070                  XRT-73276                            163
071                  BTN-83953                            184
072                  HKZ-33728                            158
073                  WMD-65834                            199
074                  PZV-75529                             69
075                  GBK-45859                            110
076                  JVL-65247                            176
077                  GBK-45859                            162
078                  KQA-89952                             53
079                  TQC-49936                            191
080                  ZPF-96697                            117
081                  LWR-78574                             21
082                  YXL-38878                            172
083                  FNL-93857                            146
084                  QBZ-39849                             50
085                  TQC-49936                            121
086                  YMA-56284                            116
087                  NHP-43928                             19
088                  EFG-46945                             80
089                  XJQ-35789                             32
090                  JPJ-26459                            167
091                  WQB-83823                             34
092                  FYK-67999                             27
093                  RLT-57887                             18
094                  WQM-46249                            106
095                  PNF-53949                            160
096                  XRT-73276                            180
097                  HCY-32686                            123
098                  LNC-68448                            137
099                  NVE-67597                            169
100                  PWT-38779                            103
