User ID: 87049-31809

Trial                  Virus                             Units
---------------------------------------------------------------
001                  FNL-93857                             11
002                  PHE-99329                             74
003                  EPX-87469                            144
004                  HCY-32686                            118
005                  HKZ-33728                             38
006                  PHE-99329                            116
007                  BCU-27839                             28
008                  HVE-32966                             46
009                  WQB-83823                             65
010                  BMN-57337                            127
011                  KMP-52243                            103
012                  ZHA-83572                              7
013                  NHP-43928                             99
014                  HKZ-33728                            167
015                  YXL-38878                            196
016                  FTD-84699                            175
017                  JPJ-26459                             29
018                  LWR-78574                             61
019                  KDV-97563                            162
020                  HKZ-33728                            153
021                  LNC-68448                             96
022                  SZA-87265                             44
023                  WMD-65834                             26
024                  ZPF-96697                             52
025                  HZF-45469                            142
026                  HZF-45469                             86
027                  LNC-68448                            152
028                  WBB-69295                             41
029                  NXD-76943                            128
030                  PZV-75529                             12
031                  AAV-93236                             88
032                  DHY-22445                             91
033                  HVE-32966                            177
034                  TQC-49936                            111
035                  KMP-52243                            124
036                  FYK-67999                            155
037                  VWM-74278                            110
038                  NHP-43928                            156
039                  BMN-57337                            188
040                  WMD-65834                             94
041                  KQA-89952                            170
042                  TNX-51117                            173
043                  QBZ-39849                              8
044                  WQM-46249                            132
045                  HVX-35287                            148
046                  CCG-95482                            157
047                  VXR-68924                             69
048                  QBD-79865                            169
049                  JYL-79355                            139
050                  GBK-45859                             63
051                  AJA-56777                            120
052                  NHP-43928                             62
053                  HVE-32966                            187
054                  BTN-83953                             54
055                  CPU-63784                             72
056                  BTG-65524                             85
057                  PHE-99329                             39
058                  LZL-53762                            182
059                  XJQ-35789                            180
060                  GBK-45859                            143
061                  DAU-26394                            138
062                  KMP-52243                            102
063                  KDV-97563                            104
064                  EPX-87469                            119
065                  ZKV-31415                             67
066                  YMA-56284                             43
067                  JPJ-26459                            151
068                  WMD-65834                             57
069                  VWM-74278                             47
070                  TRM-27792                            160
071                  JPJ-26459                            130
072                  HCY-32686                            172
073                  JVL-65247                            134
074                  ZXB-54692                             30
075                  RLT-57887                             73
076                  CCG-95482                            129
077                  LNC-68448                             53
078                  CQS-93978                             22
079                  HVE-32966                             42
080                  WQB-83823                            137
081                  WQM-46249                             40
082                  RLT-57887                             95
083                  KWH-94256                             71
084                  TXF-47848                             93
085                  ZXB-54692                             16
086                  AAV-93236                             23
087                  YMA-56284                            195
088                  HVE-32966                             21
089                  HZF-45469                             66
090                  TLT-23593                             48
091                  NXD-76943                             36
092                  CDC-36833                            105
093                  NWL-28282                             49
094                  KLA-57296                            125
095                  HVX-35287                            145
096                  QBD-79865                              1
097                  PQJ-67335                             60
098                  BCU-27839                             59
099                  RLT-57887                            141
100                  JYL-79355                             31
