User ID: 95658-86799

Trial                  Virus                             Units
---------------------------------------------------------------
001                  QBZ-39849                             28
002                  KWH-94256                            175
003                  GMS-89977                             52
004                  XBC-95594                             19
005                  LZL-53762                             62
006                  YBD-67688                             37
007                  WQB-83823                            111
008                  XRT-73276                            109
009                  JYL-79355                            200
010                  BCU-27839                             17
011                  KLA-57296                             39
012                  ZHA-83572                            101
013                  TNX-51117                             24
014                  QBD-79865                            151
015                  NXD-76943                            134
016                  DAU-26394                            157
017                  GMS-89977                            129
018                  HZF-45469                              9
019                  BMN-57337                             84
020                  JVL-65247                            130
021                  CDC-36833                             72
022                  RLT-57887                             82
023                  FYK-67999                            183
024                  CDC-36833                             78
025                  HVE-32966                            171
026                  PZV-75529                            138
027                  HKZ-33728                             88
028                  PZV-75529                            136
029                  TQC-49936                             89
030                  XJQ-35789                             60
031                  FNR-28782                             69
032                  EPX-87469                             49
033                  TLT-23593                             61
034                  RLT-57887                            172
035                  HCY-32686                             81
036                  JPJ-26459                            103
037                  ZHA-83572                             86
038                  CQS-93978                             99
039                  PZV-75529                             16
040                  DAU-26394                            104
041                  NVE-67597                            115
042                  JYL-79355                             40
043                  GBK-45859                             70
044                  RGZ-73449                             36
045                  WMD-65834                            143
046                  WQM-46249                            170
047                  TNA-63396                             63
048                  FNL-93857                            173
049                  KLA-57296                            196
050                  YLW-92835                             33
051                  PQJ-67335                            163
052                  SZA-87265                            187
053                  BTG-65524                            178
054                  GZN-34688                            113
055                  VWM-74278                             23
056                  HKZ-33728                            167
057                  XBC-95594                            122
058                  BTN-83953                            192
059                  KMP-52243                             32
060                  DHY-22445                              5
061                  TQC-49936                             96
062                  TNG-52497                             38
063                  LNC-68448                            191
064                  TNG-52497                            166
065                  AAV-93236                             90
066                  FTD-84699                            161
067                  RLT-57887                             21
068                  CQS-93978                             41
069                  WMD-65834                             29
070                  ANR-65636                             76
071                  GMS-89977                            140
072                  JVL-65247                             92
073                  WMD-65834                            162
074                  TLT-23593                            132
075                  NXD-76943                            139
076                  WBB-69295                            126
077                  QBZ-39849                             53
078                  EFG-46945                             83
079                  PNF-53949                            188
080                  HNB-76282                             85
081                  TXF-47848                              3
082                  TRM-27792                             71
083                  QBZ-39849                             14
084                  BTN-83953                             75
085                  HNB-76282                             97
086                  TRM-27792                            156
087                  WMD-65834                            137
088                  CPU-63784                            176
089                  ZHA-83572                             20
090                  HVX-35287                            198
091                  KMP-52243                            144
092                  HKZ-33728                            107
093                  KLA-57296                            100
094                  BTG-65524                             31
095                  YBD-67688                            168
096                  HKZ-33728                            190
097                  DHY-22445                            164
098                  HCY-32686                             34
099                  WMD-65834                             15
100                  NWL-28282                              1
