User ID: 84209-46116

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NXD-76943                            119
002                  CPU-63784                            196
003                  PZV-75529                             14
004                  GMS-89977                            166
005                  AAV-93236                            187
006                  DAU-26394                             79
007                  HKZ-33728                             25
008                  FYK-67999                             21
009                  TNA-63396                             78
010                  TNG-52497                            128
011                  HVE-32966                            175
012                  KMP-52243                             20
013                  LNC-68448                             85
014                  QBZ-39849                             36
015                  KLA-57296                             76
016                  ZHA-83572                            112
017                  GMS-89977                             55
018                  XKG-42573                             68
019                  HKZ-33728                            143
020                  CDC-36833                            161
021                  HCY-32686                              3
022                  ZXB-54692                            197
023                  YMA-56284                             32
024                  KLA-57296                             41
025                  GBK-45859                            185
026                  FNL-93857                             56
027                  FYK-67999                             26
028                  NVE-67597                             29
029                  CDC-36833                            124
030                  TXF-47848                             90
031                  CQS-93978                             40
032                  VJN-37687                            169
033                  LNC-68448                            168
034                  TNA-63396                            109
035                  DHY-22445                              6
036                  KLA-57296                             23
037                  NHP-43928                            116
038                  EFG-46945                             19
039                  YXL-38878                             80
040                  PQJ-67335                             99
041                  BMN-57337                            162
042                  ANR-65636                             42
043                  WBB-69295                            106
044                  VXR-68924                             52
045                  ZXB-54692                              2
046                  JPJ-26459                            199
047                  HNB-76282                             47
048                  BTG-65524                            157
049                  GMS-89977                            117
050                  HVE-32966                            164
051                  HKZ-33728                            150
052                  JPJ-26459                             74
053                  JYL-79355                             97
054                  ZPF-96697                            149
055                  WMD-65834                             13
056                  BCU-27839                             53
057                  KMP-52243                            153
058                  CDC-36833                             11
059                  AJA-56777                            155
060                  BTG-65524                            129
061                  FNR-28782                            195
062                  HVE-32966                            192
063                  NXD-76943                             73
064                  LWR-78574                             61
065                  NWL-28282                             66
066                  NWL-28282                            160
067                  NVE-67597                            165
068                  DHY-22445                             15
069                  NXD-76943                            137
070                  KWH-94256                            131
071                  LNC-68448                            132
072                  TNA-63396                             88
073                  XRT-73276                            146
074                  XRT-73276                              4
075                  XJQ-35789                            140
076                  GBK-45859                            182
077                  QBD-79865                             64
078                  HKZ-33728                             69
079                  BCU-27839                             96
080                  CQS-93978                            104
081                  TNG-52497                            188
082                  WBB-69295                             63
083                  KLA-57296                             44
084                  XBC-95594                              7
085                  SPN-64546                            138
086                  HCY-32686                            190
087                  NWL-28282                             54
088                  VWM-74278                             17
089                  HZF-45469                            100
090                  PNF-53949                            163
091                  XBC-95594                             92
092                  ZPF-96697                            105
093                  KLA-57296                            122
094                  CCG-95482                            102
095                  HVE-32966                            130
096                  LZL-53762                             91
097                  CDC-36833                            184
098                  VJN-37687                            176
099                  CCG-95482                             30
100                  KLA-57296                            180
