User ID: 49650-25644

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WQM-46249                             99
002                  GZN-34688                            182
003                  NHP-43928                            137
004                  BTN-83953                            148
005                  GUJ-74444                             59
006                  GMS-89977                            149
007                  HNB-76282                            187
008                  KLA-57296                            141
009                  PWT-38779                             23
010                  EFG-46945                             68
011                  WQB-83823                             91
012                  DAU-26394                            122
013                  AJA-56777                             44
014                  ZHA-83572                            195
015                  LZL-53762                            188
016                  VXR-68924                            118
017                  CQS-93978                            114
018                  XJQ-35789                              7
019                  ZKV-31415                            161
020                  ZHA-83572                            200
021                  TQC-49936                             43
022                  HCY-32686                             32
023                  KDV-97563                              1
024                  TNX-51117                             26
025                  FNR-28782                             31
026                  RGZ-73449                            189
027                  SZA-87265                             21
028                  WMD-65834                            131
029                  ZHA-83572                            140
030                  GMS-89977                            104
031                  RLT-57887                             96
032                  VWM-74278                             71
033                  AJA-56777                             58
034                  TNX-51117                            150
035                  LZL-53762                             15
036                  XBC-95594                            165
037                  TRM-27792                            177
038                  ZHA-83572                            194
039                  GMS-89977                             85
040                  QBD-79865                             37
041                  AAV-93236                            108
042                  ANR-65636                            132
043                  HVX-35287                            193
044                  BCU-27839                            180
045                  NHP-43928                            185
046                  KDV-97563                            116
047                  CPU-63784                            199
048                  FYK-67999                             33
049                  PZV-75529                              5
050                  TLT-23593                            119
051                  PHE-99329                            163
052                  GMS-89977                            130
053                  PNF-53949                            111
054                  TNX-51117                             92
055                  HZF-45469                             17
056                  GZN-34688                            121
057                  YXL-38878                            124
058                  NVE-67597                             39
059                  NHP-43928                             53
060                  SZA-87265                             22
061                  GZN-34688                             74
062                  PQJ-67335                            113
063                  JYL-79355                            152
064                  HKZ-33728                             84
065                  BTN-83953                             52
066                  GZN-34688                             67
067                  RGZ-73449                             50
068                  YLW-92835                             98
069                  HVX-35287                            136
070                  DHY-22445                              3
071                  YLW-92835                             82
072                  RGZ-73449                             30
073                  KQA-89952                            106
074                  HZF-45469                             45
075                  NMA-58554                             61
076                  WQB-83823                             75
077                  LWR-78574                            191
078                  URL-32968                            101
079                  XRT-73276                            184
080                  NXD-76943                            144
081                  HVE-32966                              9
082                  LNC-68448                             27
083                  XKG-42573                            170
084                  AJA-56777                            103
085                  JVL-65247                             19
086                  CCG-95482                             36
087                  ANR-65636                            145
088                  FNR-28782                             72
089                  URL-32968                             60
090                  AJA-56777                             77
091                  YMA-56284                            176
092                  LZL-53762                            154
093                  LNC-68448                             79
094                  PZV-75529                            159
095                  FYK-67999                             49
096                  HVE-32966                            151
097                  CCG-95482                             66
098                  KMP-52243                            109
099                  GZN-34688                             55
100                  KMP-52243                             29
