User ID: 79398-24475

Trial                  Virus                             Units
---------------------------------------------------------------
001                  JYL-79355                            182
002                  GZN-34688                            103
003                  BMN-57337                             36
004                  EFG-46945                             40
005                  CDC-36833                             55
006                  SPN-64546                            184
007                  BTN-83953                            172
008                  WQM-46249                             91
009                  YMA-56284                             72
010                  PNF-53949                            118
011                  BTN-83953                            186
012                  HZF-45469                            129
013                  LZL-53762                              3
014                  JYL-79355                            160
015                  WBB-69295                             28
016                  XKG-42573                            166
017                  YXL-38878                            194
018                  YBD-67688                             85
019                  YBD-67688                             98
020                  XBC-95594                            109
021                  SZA-87265                            189
022                  ZPF-96697                            176
023                  FNL-93857                            169
024                  BTN-83953                            102
025                  BTN-83953                              8
026                  PQJ-67335                             45
027                  TXF-47848                             42
028                  WBB-69295                             15
029                  SPN-64546                             50
030                  BTN-83953                            164
031                  NVE-67597                              1
032                  YXL-38878                             97
033                  BTN-83953                             41
034                  HZF-45469                            135
035                  HKZ-33728                            100
036                  DAU-26394                            183
037                  TNG-52497                            108
038                  DAU-26394                            141
039                  BMN-57337                            158
040                  KWH-94256                             64
041                  ANR-65636                             88
042                  HVE-32966                            191
043                  DHY-22445                            154
044                  JVL-65247                            180
045                  JVL-65247                             86
046                  NVE-67597                            149
047                  CQS-93978                            187
048                  TNG-52497                             21
049                  GBK-45859                             37
050                  TNG-52497                             51
051                  PQJ-67335                             24
052                  QBD-79865                             56
053                  YXL-38878                            104
054                  BTN-83953                            119
055                  TQC-49936                            110
056                  TRM-27792                             90
057                  ZKV-31415                            126
058                  HVE-32966                            197
059                  HNB-76282                             67
060                  HVE-32966                            117
061                  HVX-35287                             92
062                  SZA-87265                             77
063                  PWT-38779                             32
064                  WQB-83823                             65
065                  AJA-56777                             17
066                  DAU-26394                              6
067                  GMS-89977                            179
068                  VJN-37687                            113
069                  SZA-87265                             22
070                  KLA-57296                            167
071                  YLW-92835                             54
072                  GBK-45859                             29
073                  KQA-89952                             23
074                  XBC-95594                            151
075                  CQS-93978                            134
076                  PZV-75529                            107
077                  HVX-35287                              7
078                  FTD-84699                            130
079                  WBB-69295                            125
080                  TNA-63396                             83
081                  FNL-93857                             87
082                  CCG-95482                              9
083                  GMS-89977                            156
084                  KLA-57296                             26
085                  NWL-28282                              2
086                  YXL-38878                            190
087                  RLT-57887                             96
088                  LZL-53762                            116
089                  TXF-47848                             44
090                  LZL-53762                            101
091                  NVE-67597                            112
092                  DHY-22445                            132
093                  BTG-65524                             49
094                  TNG-52497                             46
095                  QBZ-39849                             38
096                  NVE-67597                             30
097                  VXR-68924                            159
098                  RGZ-73449                             11
099                  JVL-65247                            181
100                  WMD-65834                             27
