User ID: 17047-26190

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TNA-63396                             19
002                  TNG-52497                            183
003                  WMD-65834                            156
004                  SZA-87265                             84
005                  NVE-67597                             42
006                  NWL-28282                             74
007                  RGZ-73449                            107
008                  PQJ-67335                            103
009                  KMP-52243                             23
010                  TNA-63396                             41
011                  FTD-84699                            197
012                  BCU-27839                            118
013                  TQC-49936                            149
014                  EPX-87469                             78
015                  NMA-58554                             72
016                  BCU-27839                              5
017                  KWH-94256                             70
018                  RLT-57887                              9
019                  ANR-65636                             82
020                  DAU-26394                            192
021                  YBD-67688                            167
022                  XJQ-35789                             36
023                  KLA-57296                            148
024                  LNC-68448                             98
025                  BCU-27839                             39
026                  TLT-23593                             53
027                  DAU-26394                            169
028                  LNC-68448                             31
029                  BCU-27839                            161
030                  KQA-89952                              1
031                  PQJ-67335                             59
032                  JPJ-26459                             33
033                  SPN-64546                            178
034                  HZF-45469                            122
035                  AAV-93236                             57
036                  SZA-87265                            185
037                  LZL-53762                            162
038                  KMP-52243                            175
039                  NHP-43928                             54
040                  BMN-57337                            180
041                  AJA-56777                             58
042                  DAU-26394                            104
043                  ZPF-96697                            135
044                  ANR-65636                            154
045                  NWL-28282                            114
046                  LZL-53762                            194
047                  HVE-32966                             32
048                  FYK-67999                            153
049                  DAU-26394                             44
050                  ZPF-96697                            177
051                  CCG-95482                            115
052                  GMS-89977                             63
053                  ZXB-54692                            160
054                  SZA-87265                             60
055                  VJN-37687                            150
056                  FNL-93857                            200
057                  HZF-45469                             27
058                  JYL-79355                            109
059                  JYL-79355                            130
060                  BTG-65524                            141
061                  BCU-27839                            168
062                  TNG-52497                            193
063                  PWT-38779                             35
064                  XRT-73276                             76
065                  BMN-57337                              8
066                  PZV-75529                            140
067                  GUJ-74444                            171
068                  FTD-84699                             80
069                  TXF-47848                             45
070                  GBK-45859                            132
071                  JVL-65247                             47
072                  DAU-26394                             83
073                  SPN-64546                            146
074                  XBC-95594                            145
075                  ANR-65636                             71
076                  PNF-53949                            182
077                  ZPF-96697                            196
078                  KMP-52243                            190
079                  PWT-38779                             10
080                  ZPF-96697                              6
081                  RLT-57887                            143
082                  PQJ-67335                            121
083                  YLW-92835                            134
084                  URL-32968                             85
085                  KMP-52243                            112
086                  BTG-65524                             17
087                  PHE-99329                            170
088                  NHP-43928                            152
089                  TXF-47848                             55
090                  KDV-97563                             77
091                  TRM-27792                            195
092                  KWH-94256                            155
093                  LZL-53762                             90
094                  FNL-93857                             29
095                  CCG-95482                             12
096                  XRT-73276                             52
097                  KLA-57296                            125
098                  GZN-34688                             65
099                  ZPF-96697                             81
100                  NMA-58554                            199
