User ID: 93168-04662

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CCG-95482                            177
002                  YXL-38878                            151
003                  VWM-74278                             34
004                  GUJ-74444                              3
005                  VJN-37687                             69
006                  HVE-32966                             97
007                  TNA-63396                             67
008                  AAV-93236                             40
009                  URL-32968                            156
010                  TRM-27792                            155
011                  GMS-89977                            194
012                  WQB-83823                             80
013                  EFG-46945                             37
014                  GBK-45859                            174
015                  BTN-83953                             32
016                  WMD-65834                            190
017                  JYL-79355                            164
018                  XJQ-35789                            185
019                  AAV-93236                             84
020                  YBD-67688                             70
021                  RGZ-73449                             71
022                  GBK-45859                             92
023                  FNL-93857                            196
024                  ZHA-83572                            186
025                  KWH-94256                             26
026                  LNC-68448                             24
027                  PWT-38779                            108
028                  HVX-35287                            193
029                  HNB-76282                            129
030                  WQM-46249                             91
031                  XKG-42573                            135
032                  WQM-46249                            133
033                  AAV-93236                              5
034                  FNL-93857                            197
035                  LWR-78574                             23
036                  GMS-89977                             94
037                  CPU-63784                             33
038                  CCG-95482                            149
039                  GZN-34688                            137
040                  PNF-53949                             27
041                  KDV-97563                             57
042                  DHY-22445                            161
043                  XRT-73276                             21
044                  QBZ-39849                            191
045                  NVE-67597                            102
046                  RGZ-73449                             43
047                  RLT-57887                              8
048                  NVE-67597                            103
049                  KQA-89952                             90
050                  AJA-56777                            157
051                  PHE-99329                            154
052                  LNC-68448                             30
053                  VWM-74278                             10
054                  PNF-53949                             18
055                  WBB-69295                            170
056                  CDC-36833                            104
057                  EFG-46945                            121
058                  TRM-27792                            101
059                  KDV-97563                             83
060                  RGZ-73449                            122
061                  AAV-93236                            105
062                  VXR-68924                             55
063                  PHE-99329                            114
064                  NWL-28282                            130
065                  CPU-63784                             78
066                  BMN-57337                            198
067                  WBB-69295                             68
068                  ZHA-83572                            160
069                  JPJ-26459                            171
070                  TNA-63396                            110
071                  BTN-83953                             20
072                  KQA-89952                             63
073                  PNF-53949                             50
074                  YMA-56284                              7
075                  GUJ-74444                             14
076                  TXF-47848                             54
077                  XKG-42573                            139
078                  GZN-34688                            127
079                  BCU-27839                              2
080                  YLW-92835                              6
081                  NHP-43928                            145
082                  CQS-93978                             35
083                  LZL-53762                            166
084                  VJN-37687                             51
085                  JYL-79355                             29
086                  VXR-68924                             38
087                  YLW-92835                             12
088                  BCU-27839                            184
089                  NWL-28282                            106
090                  KDV-97563                             28
091                  LNC-68448                            124
092                  KDV-97563                            120
093                  TNX-51117                             88
094                  WBB-69295                             73
095                  TNG-52497                             82
096                  CQS-93978                            113
097                  AAV-93236                             45
098                  PZV-75529                             66
099                  LZL-53762                            200
100                  NMA-58554                             64
