User ID: 69282-33425

Trial                  Virus                             Units
---------------------------------------------------------------
001                  VJN-37687                            116
002                  KDV-97563                            102
003                  KMP-52243                             85
004                  AAV-93236                              9
005                  SZA-87265                            140
006                  SZA-87265                            149
007                  URL-32968                            168
008                  ZXB-54692                            122
009                  WBB-69295                            121
010                  CCG-95482                            187
011                  TNX-51117                             10
012                  LNC-68448                            101
013                  FNL-93857                             22
014                  GZN-34688                             47
015                  XRT-73276                            166
016                  PNF-53949                            195
017                  GZN-34688                             97
018                  ZKV-31415                            106
019                  JYL-79355                            163
020                  LWR-78574                             77
021                  CPU-63784                            127
022                  NVE-67597                            108
023                  CPU-63784                             39
024                  NHP-43928                             28
025                  LNC-68448                            100
026                  HZF-45469                            112
027                  HVX-35287                            126
028                  JYL-79355                            105
029                  GUJ-74444                            194
030                  KQA-89952                            169
031                  GUJ-74444                            158
032                  SPN-64546                             29
033                  TNG-52497                            104
034                  PWT-38779                             17
035                  HZF-45469                            181
036                  YBD-67688                            193
037                  GBK-45859                            188
038                  JVL-65247                            178
039                  WBB-69295                            129
040                  LNC-68448                             40
041                  SPN-64546                            171
042                  CQS-93978                            174
043                  LZL-53762                             66
044                  CCG-95482                            143
045                  LNC-68448                            113
046                  SPN-64546                            118
047                  WMD-65834                             65
048                  PNF-53949                             15
049                  HNB-76282                             44
050                  ANR-65636                             73
051                  TNX-51117                             62
052                  ZHA-83572                            138
053                  NMA-58554                             87
054                  SZA-87265                             24
055                  QBD-79865                            133
056                  VXR-68924                             50
057                  AJA-56777                             88
058                  ZXB-54692                            110
059                  RGZ-73449                            172
060                  AAV-93236                            154
061                  GMS-89977                             32
062                  WQM-46249                            176
063                  CDC-36833                             45
064                  TRM-27792                            152
065                  TNG-52497                             74
066                  TLT-23593                             35
067                  HVE-32966                             99
068                  JPJ-26459                             25
069                  BTG-65524                             96
070                  CDC-36833                             51
071                  XJQ-35789                             60
072                  KMP-52243                              4
073                  JPJ-26459                              2
074                  DAU-26394                            175
075                  EFG-46945                            117
076                  BCU-27839                             83
077                  JVL-65247                             55
078                  TNA-63396                            146
079                  VXR-68924                            120
080                  JPJ-26459                             64
081                  CPU-63784                             92
082                  PQJ-67335                            141
083                  KWH-94256                             18
084                  RLT-57887                            131
085                  SPN-64546                            147
086                  AAV-93236                            191
087                  YMA-56284                            200
088                  VJN-37687                             72
089                  TNG-52497                            183
090                  XJQ-35789                             67
091                  WQM-46249                            115
092                  BMN-57337                             68
093                  TXF-47848                             82
094                  SZA-87265                            142
095                  KLA-57296                            125
096                  RLT-57887                             52
097                  HVE-32966                             59
098                  AAV-93236                            160
099                  XJQ-35789                            137
100                  VWM-74278                             95
