User ID: 19372-45052

Trial                  Virus                             Units
---------------------------------------------------------------
001                  YMA-56284                            175
002                  KLA-57296                             80
003                  QBD-79865                             54
004                  JYL-79355                            126
005                  VXR-68924                            168
006                  FNR-28782                            123
007                  BTN-83953                             67
008                  BMN-57337                             46
009                  CCG-95482                             16
010                  XRT-73276                             33
011                  SPN-64546                             15
012                  PWT-38779                             48
013                  PNF-53949                            118
014                  AJA-56777                              5
015                  TQC-49936                             56
016                  YXL-38878                             76
017                  CDC-36833                             93
018                  KLA-57296                            191
019                  URL-32968                             65
020                  GBK-45859                            184
021                  ZPF-96697                            110
022                  QBZ-39849                            157
023                  ZPF-96697                             11
024                  EPX-87469                              2
025                  FYK-67999                            151
026                  GZN-34688                            154
027                  QBD-79865                             52
028                  ZHA-83572                            130
029                  LNC-68448                            138
030                  QBZ-39849                            176
031                  NMA-58554                            193
032                  PQJ-67335                            141
033                  DAU-26394                             36
034                  TRM-27792                            159
035                  ZPF-96697                             86
036                  KDV-97563                            187
037                  BTN-83953                             89
038                  BTG-65524                            139
039                  XRT-73276                            112
040                  JYL-79355                             14
041                  FTD-84699                            195
042                  JPJ-26459                             59
043                  FYK-67999                            124
044                  JYL-79355                            181
045                  WBB-69295                              7
046                  KLA-57296                             83
047                  NWL-28282                            183
048                  LWR-78574                            145
049                  ZHA-83572                            185
050                  FNL-93857                            129
051                  EFG-46945                             69
052                  TQC-49936                             12
053                  KLA-57296                            120
054                  NWL-28282                            153
055                  TQC-49936                             99
056                  RGZ-73449                            108
057                  XJQ-35789                            179
058                  WMD-65834                             25
059                  PWT-38779                             34
060                  HZF-45469                            164
061                  ZKV-31415                            165
062                  DHY-22445                            177
063                  NVE-67597                             98
064                  YBD-67688                             91
065                  AAV-93236                            155
066                  DHY-22445                             39
067                  YMA-56284                             32
068                  KLA-57296                             72
069                  CPU-63784                             24
070                  AJA-56777                             23
071                  ZKV-31415                            127
072                  KMP-52243                            178
073                  LWR-78574                            114
074                  NHP-43928                             74
075                  AAV-93236                            121
076                  BCU-27839                            163
077                  RGZ-73449                            105
078                  GBK-45859                             60
079                  QBD-79865                            198
080                  VJN-37687                            133
081                  AJA-56777                              8
082                  ZPF-96697                             68
083                  KQA-89952                            100
084                  PQJ-67335                             37
085                  WMD-65834                            109
086                  JVL-65247                             10
087                  TXF-47848                             77
088                  NWL-28282                            174
089                  RLT-57887                            200
090                  LNC-68448                            158
091                  SZA-87265                             28
092                  ANR-65636                            169
093                  HZF-45469                             73
094                  URL-32968                            134
095                  CCG-95482                            143
096                  AJA-56777                            104
097                  WQM-46249                            156
098                  JPJ-26459                             79
099                  RGZ-73449                            162
100                  TRM-27792                             44
